     J98B13T* c1998 01 24.40315 09 16 42.39 +17 12 27.8          18.4 Via0453691
     J98B13T  c1998 01 24.41854 09 17 24.70 +17 10 27.4          18.4 Via0453691
     J98B13T  c1998 01 24.49811 09 21 03.03 +16 59 45.7          18.3 Via0453691
     J98B13T  c1998 01 25.25596 09 54 42.41 +15 20 22.8          19.1 Via0453691
     J98B13T  c1998 01 25.26393 09 55 00.44 +15 19 23.0          19.1 Via0453691
     J98B13T  c1998 01 25.27383 09 55 22.91 +15 18 07.6          19.2 Via0453691
     J98B13T  c1998 01 25.43875 10 01 22.49 +14 56 38.9          19.2 Via0453691
     J98B13T  c1998 01 25.51878 10 04 13.29 +14 45 46.7          19.3 Via0453691
     J98B13T  c1998 01 26.28692 10 30 36.15 +13 09 16.6          19.4 Via0453691
     J98B13T  c1998 01 26.29170 10 30 44.40 +13 08 44.0          19.4 Via0453691
     J98B13T  c1998 01 26.45684 10 35 18.04 +12 49 16.4          19.5 Via0453691
     J98B13T  c1998 01 27.41359 10 59 55.71 +11 05 28.9          19.9 Via0453691
     J98B13T  c1998 01 28.30416 11 18 03.31 +09 43 38.5          20.2 Via0453691
     J98B13T  C1998 01 30.51354 11 48 50.21 +07 14 19.9                aa0453568
     J98B13T  C1998 01 30.52031 11 48 54.01 +07 13 58.0                aa0453568
     J98B13T  C1998 01 30.62751 11 49 53.09 +07 08 11.2                aa0453568
     J98B13T  C1998 01 30.62914 11 49 53.98 +07 08 06.0                aa0453568
