     J98U18S* c1998 10 25.13526 22 23 44.12 -07 05 29.6          18.3 Via2893691
     J98U18S  c1998 10 25.14398 22 23 52.91 -07 05 26.7          18.2 Via2893691
     J98U18S  c1998 10 25.15245 22 24 01.56 -07 05 23.7          18.2 Via2893691
     J98U18S  c1998 10 25.15819 22 24 07.38 -07 05 21.8          18.2 Via2893691
     J98U18S  c1998 10 25.17983 22 24 29.33 -07 05 13.5          18.2 Via2893691
     J98U18S  c1998 10 25.20115 22 24 50.81 -07 05 05.6          18.2 Via2893691
     J98U18S  c1998 10 25.24484 22 25 34.80 -07 04 47.9          18.2 Via2893691
     J98U18S  c1998 10 25.25796 22 25 48.18 -07 04 42.3          18.2 Via2893691
     J98U18S  c1998 10 27.09377 22 55 01.74 -06 49 54.4          19.0 Via2893691
     J98U18S  c1998 10 28.27575 23 11 24.10 -06 37 50.2          18.6 Via2893691
     J98U18S  C1998 10 29.46944 23 26 19.37 -06 24 33.1          18.6 V a2893360
     J98U18S  C1998 10 29.47188 23 26 21.07 -06 24 31.8                 a2893360
     J98U18S  C1998 10 29.47448 23 26 22.84 -06 24 30.4                 a2893360
     J98U18S  C1998 10 29.47708 23 26 24.60 -06 24 28.4                 a2893360
     J98U18S  C1998 10 30.20772 23 34 43.37 -06 16 07.6                 a2893658
     J98U18S  C1998 10 30.20927 23 34 44.33 -06 16 06.2                 a2893658
     J98U18S  C1998 10 30.21565 23 34 48.45 -06 16 01.6                 a2893658
     J98U18S  C1998 10 30.45781 23 37 27.10 -06 12 05.9          18.0 Rba2893426
     J98U18S  C1998 10 30.46170 23 37 29.55 -06 12 04.7          18.4 Rba2893426
     J98U18S  C1998 10 30.46560 23 37 32.06 -06 12 02.3          18.2 Rba2893426
     J98U18S  C1998 11 08.50642 00 44 28.57 -04 28 16.2          19.8 V a3096360
     J98U18S  C1998 11 08.51042 00 44 29.68 -04 28 14.0                 a3096360
     J98U18S  C1998 11 08.51458 00 44 30.85 -04 28 11.3                 a3096360
