     K02P00N* C2002 08 02.36352 21 25 24.95 -14 59 36.8          17.4 Rmg0117G78
     K02P00N  C2002 08 02.36943 21 25 18.65 -14 56 43.8          17.3 Rmg0117G78
     K02P00N  C2002 08 02.37507 21 25 12.73 -14 53 57.1          17.2 Rmg0118G78
     K02P00N tC2002 08 02.67034 21 20 39.36 -12 15 48.2          16.1 Rcg0118474
     K02P00N tC2002 08 02.67176 21 20 37.88 -12 15 02.9          16.2 Rcg0118474
     K02P00N  C2002 08 02.67350 21 20 36.14 -12 14 10.1          15.9 Rcg0118474
     K02P00N  C2002 08 02.67465 21 20 34.96 -12 13 34.4          16.0 Rcg0118474
     K02P00N  C2002 08 02.67789 21 20 31.72 -12 11 54.9          16.0 Rcg0118474
     K02P00N  C2002 08 02.68507 21 20 24.51 -12 08 12.8          16.3 Rcg0118474
     K02P00N  C2002 08 02.68669 21 20 22.93 -12 07 22.8          16.7 Rcg0118474
     K02P00N  C2002 08 02.68854 21 20 21.03 -12 06 25.4          16.7 Rcg0118474
     K02P00N  C2002 08 02.68935 21 20 20.24 -12 06 00.2          16.4 Rcg0118474
     K02P00N  C2002 08 02.72639 21 19 43.90 -11 46 50.7          16.2 Rcg0118474
     K02P00N  C2002 08 02.72774 21 19 42.66 -11 46 09.7          16.4 Rcg0118474
     K02P00N  C2002 08 02.84522 21 18 40.31 -10 57 46.0          16.4 Rcg0118587
     K02P00N  C2002 08 02.84600 21 18 39.59 -10 57 21.6          16.2 Rcg0118587
     K02P00N  C2002 08 02.84677 21 18 38.81 -10 56 58.1          16.2 Rcg0118587
     K02P00N  C2002 08 02.84755 21 18 38.01 -10 56 34.6          16.3 Rcg0118587
     K02P00N  C2002 08 02.84832 21 18 37.24 -10 56 10.7          16.5 Rcg0118587
     K02P00N  C2002 08 02.89433 21 17 50.31 -10 32 19.5          16.4 Rcg0118599
     K02P00N  C2002 08 02.89736 21 17 47.15 -10 30 45.4          16.3 Rcg0118599
     K02P00N  C2002 08 02.94728 21 16 53.30 -10 05 27.4                dg0118557
     K02P00N  C2002 08 02.94972 21 16 50.76 -10 04 11.5                dg0118557
     K02P00N  C2002 08 02.95086 21 16 51.96 -10 03 34.0                mg0118611
     K02P00N  C2002 08 02.95167 21 16 51.10 -10 03 09.4                mg0118611
     K02P00N  C2002 08 02.95431 21 16 45.97 -10 01 47.7                dg0118557
     K02P00N  C2002 08 02.95800 21 16 42.08 -09 59 52.2                dg0118557
