     K03A69J* C2003 01 10.30671 06 21 01.68 +34 36 48.7          18.7  ch1835704
     K03A69J  C2003 01 10.32301 06 21 37.53 +34 34 18.1          18.7  ch1835704
     K03A69J  C2003 01 10.33918 06 22 12.98 +34 31 48.0          18.6  ch1835704
     K03A69J  C2003 01 10.35500 06 22 47.51 +34 29 19.8          18.8  ch1835704
     K03A69J  C2003 01 11.25457 06 52 52.73 +32 14 00.6          18.3 Rch1835649
     K03A69J  C2003 01 11.25517 06 52 53.73 +32 13 55.2          18.4 Rch1835649
     K03A69J  C2003 01 11.25578 06 52 54.72 +32 13 49.6          18.1 Rch1835649
     K03A69J  C2003 01 11.78779 07 07 24.65 +30 55 27.5                dh1835557
     K03A69J  C2003 01 11.78814 07 07 25.09 +30 55 23.7                dh1835557
     K03A69J  C2003 01 11.78953 07 07 27.23 +30 55 13.0                dh1835557
     K03A69J  C2003 01 11.79022 07 07 28.14 +30 55 07.0                dh1835557
     K03A69J  C2003 01 11.79127 07 07 29.90 +30 54 59.6                dh1835557
     K03A69J  C2003 01 11.80234 07 07 45.80 +30 53 30.1                dh1835557
     K03A69J  C2003 01 11.80270 07 07 46.27 +30 53 26.4                dh1835557
     K03A69J  C2003 01 11.80339 07 07 47.36 +30 53 20.9                dh1835557
     K03A69J  C2003 01 11.80409 07 07 48.37 +30 53 14.2                dh1835557
     K03A69J  C2003 01 11.80443 07 07 48.81 +30 53 11.8                dh1835557
     K03A69J  C2003 01 11.80478 07 07 49.33 +30 53 08.5                dh1835557
     K03A69J  C2003 01 11.80687 07 07 52.37 +30 52 52.8                dh1835557
     K03A69J  C2003 01 11.80828 07 07 54.37 +30 52 42.0                dh1835557
     K03A69J  C2003 01 11.80898 07 07 55.40 +30 52 36.3                dh1836557
     K03A69J  C2003 01 11.80933 07 07 55.89 +30 52 33.2                dh1836557
     K03A69J  C2003 01 11.80968 07 07 56.33 +30 52 30.8                dh1836557
     K03A69J  C2003 01 11.81002 07 07 56.79 +30 52 27.1                dh1836557
     K03A69J  C2003 01 12.01698 07 12 45.60 +30 23 58.7          17.9 Rdh1836J95
     K03A69J  C2003 01 12.02231 07 12 52.63 +30 23 14.2          18.4 Rdh1836J95
     K03A69J  C2003 01 13.30451 07 38 03.98 +27 42 06.5          18.4 Rch1836649
     K03A69J  C2003 01 13.30558 07 38 04.98 +27 41 58.8          18.3 Rch1836649
     K03A69J  C2003 01 23.31425 08 47 09.12 +17 56 03.8          20.0 Rch1836448
     K03A69J  C2003 01 23.31949 08 47 09.81 +17 55 54.7          20.6 Rch1836448
     K03A69J  C2003 01 23.34018 08 47 12.50 +17 55 21.4          20.3 Rch1836448
