     K03K04F* C2003 05 25.17122 11 26 57.25 -06 52 06.7          16.8 Rci0298333
     K03K04F  C2003 05 25.18174 11 27 15.89 -07 00 29.5          16.4 Rci0298333
     K03K04F  C2003 05 25.19226 11 27 34.58 -07 08 50.3          16.4 Rci0298333
     K03K04F  C2003 05 25.20272 11 27 53.30 -07 17 09.3          16.6 Rci0298333
     K03K04F  C2003 05 25.85488 11 50 12.87 -16 16 08.9          16.5 Rci0298106
     K03K04F  C2003 05 25.85558 11 50 14.46 -16 16 48.0          16.2 Rci0298106
     K03K04F  C2003 05 25.85626 11 50 15.78 -16 17 19.2          16.6 Rci0298106
     K03K04F  C2003 05 26.15652 12 01 37.24 -20 29 24.1          16.6  ii0298854
     K03K04F  C2003 05 26.15801 12 01 40.46 -20 30 40.7          16.8  ii0298854
     K03K04F  C2003 05 26.16580 12 01 57.28 -20 37 11.4          16.7  ii0298854
     K03K04F  C2003 05 26.16656 12 01 58.89 -20 37 49.9          16.5  ii0298854
     K03K04F  C2003 05 26.17252 12 02 11.69 -20 42 47.0          16.9 Rmi0298333
     K03K04F  C2003 05 26.17293 12 02 12.53 -20 43 06.4          16.0 Rmi0298333
     K03K04F  C2003 05 26.17333 12 02 13.37 -20 43 26.5          16.0 Rmi0298333
     K03K04F  C2003 05 26.17372 12 02 14.28 -20 43 47.2          16.9 Rmi0298333
     K03K04F  C2003 05 26.17413 12 02 15.20 -20 44 07.9          16.2 Rmi0298333
     K03K04F  C2003 05 26.17451 12 02 15.99 -20 44 26.4          16.8 Rmi0298333
     K03K04F  C2003 05 26.17492 12 02 16.84 -20 44 46.7          16.0 Rmi0298333
     K03K04F  C2003 05 26.17530 12 02 17.73 -20 45 06.1          16.8 Rmi0298333
     K03K04F  C2003 05 26.19903 12 03 09.66 -21 04 58.3                ci0298G90
     K03K04F  C2003 05 26.20257 12 03 17.40 -21 07 55.6                ci0298G90
     K03K04F  C2003 05 26.20836 12 03 30.05 -21 12 44.4                ci0298G90
     K03K04F  C2003 05 26.47874012 14 16.66 -24 50 52.1          16.6 Vmi0298428
     K03K04F  C2003 05 26.47982912 14 19.16 -24 51 45.3          16.6 Vmi0298428
     K03K04F  C2003 05 26.48093512 14 21.67 -24 52 39.6          16.6 Vmi0298428
     K03K04F  C2003 05 26.48209712 14 24.37 -24 53 36.1          16.5 Vmi0298428
     K03K04F  C2003 05 26.94398 12 34 00.84 -31 07 20.91         16.0 Rci0298938
     K03K04F  C2003 05 26.95459 12 34 27.32 -31 15 20.38         16.2 Rci0298938
     K03K04F  C2003 05 27.14440 12 43 10.30 -33 37 10.0          16.8 Rmi0298333
     K03K04F  C2003 05 27.14470 12 43 11.03 -33 37 22.9          17.1 Rmi0298333
     K03K04F  C2003 05 27.14495 12 43 11.70 -33 37 34.4          17.0 Rmi0298333
     K03K04F  C2003 05 27.14523 12 43 12.40 -33 37 47.0          16.9 Rmi0298333
     K03K04F  C2003 05 27.14551 12 43 13.09 -33 37 58.7          17.0 Rmi0298333
     K03K04F  C2003 05 27.14579 12 43 13.80 -33 38 10.4          16.9 Rmi0298333
