G3818K03R07X* C2003 09 06.26545 22 54 08.97 +25 11 23.6          18.2 Roi4170699
G3818K03R07X  C2003 09 06.28040 22 54 06.93 +25 11 21.6                oi4170699
G3818K03R07X  C2003 09 06.29535 22 54 04.85 +25 11 17.8                oi4170699
G3818K03R07X  C2003 09 06.31028 22 54 02.76 +25 11 13.5                oi4170699
G3818K03R07X  C2003 09 06.82728 22 52 55.68 +25 09 12.6          18.5 Rci4170461
G3818K03R07X  C2003 09 06.83763 22 52 54.30 +25 09 10.0                ci4170461
G3818K03R07X  C2003 09 06.83914 22 52 54.11 +25 09 09.6                ci4170461
G3818K03R07X  C2003 09 06.84065 22 52 53.88 +25 09 09.2                ci4170461
G3818K03R07X  C2003 09 06.86416 22 52 50.92 +25 09 02.0          18.4 Rri4170J95
G3818K03R07X  C2003 09 06.88115 22 52 48.69 +25 08 57.3          18.7 Rri4170J95
G3818K03R07X  C2003 09 06.88596 22 52 47.99 +25 08 57.0          18.9 Rri4170J95
G3818K03R07X  C2003 09 06.92605 22 52 42.26 +25 08 49.6                di4170118
G3818K03R07X  C2003 09 06.93160 22 52 41.52 +25 08 48.5          18.7 Rdi4170118
G3818K03R07X  C2003 09 06.93654 22 52 40.81 +25 08 46.8                di4170118
G3818K03R07X  C2003 09 06.94115 22 52 40.35 +25 08 46.0          18.3 Vci4170130
G3818K03R07X  C2003 09 06.94710 22 52 39.51 +25 08 44.2          18.5 Vci4170130
G3818K03R07X  C2003 09 07.01712 22 52 29.71 +25 08 25.9                di4170A50
G3818K03R07X  C2003 09 07.01821 22 52 29.71 +25 08 27.7          18.6 Vci4170130
G3818K03R07X  C2003 09 07.02137 22 52 29.13 +25 08 24.7          18.4 Vdi4170A50
G3818K03R07X  C2003 09 07.02348 22 52 28.80 +25 08 23.7                di4170A50
G3818K03R07X  C2003 09 07.02572 22 52 28.68 +25 08 25.5          18.7 Vci4171130
G3818K03R07X  C2003 09 07.02852 22 52 28.12 +25 08 22.7                di4171A50
G3818K03R07X  C2003 09 07.02940 22 52 28.18 +25 08 22.8                di4171557
G3818K03R07X  C2003 09 07.03064 22 52 27.86 +25 08 22.8                di4171A50
G3818K03R07X  C2003 09 07.03275 22 52 27.54 +25 08 21.7                di4171A50
G3818K03R07X  C2003 09 07.03488 22 52 27.28 +25 08 21.3                di4171A50
G3818K03R07X  C2003 09 07.03700 22 52 26.96 +25 08 19.8                di4171A50
G3818K03R07X  C2003 09 07.03913 22 52 26.71 +25 08 19.3                di4171A50
G3818K03R07X  C2003 09 07.04125 22 52 26.45 +25 08 19.2                di4171A50
G3818K03R07X  C2003 09 07.04338 22 52 26.16 +25 08 19.1                di4171A50
G3818K03R07X  C2003 09 07.06837 22 52 22.87 +25 08 12.6                di4171557
G3818K03R07X  C2003 09 07.08865 22 52 20.12 +25 08 07.0                di4171557
G3818K03R07X  C2003 09 07.09061 22 52 20.65 +25 08 26.2          19.1 Rmi4171859
G3818K03R07X  C2003 09 07.09481 22 52 20.01 +25 08 25.4          19.6 Rmi4171859
G3818K03R07X  C2003 09 07.26137 22 51 57.71 +25 07 26.8          17.6 Rci4171785
G3818K03R07X  C2003 09 07.31520 22 51 50.65 +25 07 14.5          17.5 Rci4171G90
G3818K03R07X  C2003 09 07.31687 22 51 50.45 +25 07 14.2          17.8 Rci4171G90
G3818K03R07X  C2003 09 07.32083 22 51 49.56 +25 07 08.0          18.1 Rci4171785
G3818K03R07X  C2003 09 07.32392 22 51 49.46 +25 07 12.3          17.5 Rci4171G90
G3818K03R07X  C2003 09 07.33676 22 51 47.66 +25 07 09.3          18.9 Rci4171854
G3818K03R07X  C2003 09 07.33763 22 51 47.04 +25 07 03.4          17.3 Rci4171785
G3818K03R07X  C2003 09 07.34038 22 51 47.18 +25 07 08.0          18.8 Rci4171854
G3818K03R07X  C2003 09 07.34575 22 51 46.54 +25 07 06.6          18.8 Rci4171854
G3818K03R07X  C2003 09 07.35984 22 51 44.03 +25 06 59.2          17.5 Rci4171785
G3818K03R07X 1C2003 09 07.58177 22 51 15.33 +25 06 17.2          18.7 Rri4596413
G3818K03R07X  C2003 09 07.92648 22 50 29.71 +25 04 15.5          18.8 Rri4171J95
G3818K03R07X  C2003 09 07.93111 22 50 29.06 +25 04 14.5          18.3 Rri4171J95
G3818K03R07X  C2003 09 07.93603 22 50 28.41 +25 04 12.7          18.3 Rri4171J95
G3818K03R07X 1C2003 09 10.60004 22 44 25.03 +24 48 05.2          18.8 Rri4596413
G3818K03R07X 1C2003 09 10.60420 22 44 24.41 +24 48 03.5          18.6 Rri4596413
G3818K03R07X  C2003 09 10.96410 22 43 34.88 +24 45 00.3          18.3 Rri4596170
G3818K03R07X  C2003 09 10.96569 22 43 34.65 +24 44 59.9          18.3 Rri4596170
G3818K03R07X  C2003 09 10.96665 22 43 34.51 +24 44 59.7          18.3 Rri4596170
G3818K03R07X  C2003 09 10.96849 22 43 34.26 +24 44 58.8          18.2 Rri4596170
G3818K03R07X  C2003 09 12.98238 22 38 51.93 +24 27 29.2          18.1 Rri4596941
G3818K03R07X  C2003 09 12.98318 22 38 51.84 +24 27 28.8          18.1 Rri4596941
G3818K03R07X  C2003 09 12.98476 22 38 51.68 +24 27 27.9          18.1 Rri4596941
G3818K03R07X  C2003 09 12.98555 22 38 51.57 +24 27 27.2          18.1 Rri4596941
G3818K03R07X  C2003 09 12.98713 22 38 51.37 +24 27 26.3          18.1 Rri4596941
G3818K03R07X  C2003 09 12.98994 22 38 50.94 +24 27 24.9          18.1 Rri4596941
G3818K03R07X  C2003 09 13.02329 22 38 46.06 +24 27 03.3          18.6 Rri4596170
G3818K03R07X  C2003 09 13.02914 22 38 45.10 +24 27 00.2          18.5 Rri4596170
G3818K03R07X  C2003 09 13.03802 22 38 43.73 +24 26 56.3          17.9 Rri4596170
G3818K03R07X  C2003 09 13.18862 22 38 23.50 +24 25 30.2          18.7 Rri4596715
G3818K03R07X  C2003 09 13.19480 22 38 22.57 +24 25 26.6          18.5 Rri4596715
G3818K03R07X  C2003 09 13.20098 22 38 21.66 +24 25 22.9          18.3 Rri4596715
G3818K03R07X  C2003 09 13.38660 22 37 54.21 +24 23 30.8          18.6 Roi4596699
G3818K03R07X  C2003 09 13.39163 22 37 53.57 +24 23 25.8                oi4596699
G3818K03R07X  C2003 09 13.39664 22 37 52.99 +24 23 25.2                oi4596699
G3818K03R07X  C2003 09 13.40164 22 37 52.12 +24 23 20.0                oi4596699
G3818K03R07X  C2003 09 15.31207 22 33 21.32 +24 02 33.2          18.3  ci4596644
G3818K03R07X  C2003 09 15.33510 22 33 17.89 +24 02 16.8          18.3  ci4596644
G3818K03R07X  C2003 09 15.36477 22 33 13.51 +24 01 53.7          17.4  ci4596644
G3818K03R07X  C2003 09 15.79229 22 32 13.82 +23 56 40.3          18.6 Vri4596151
G3818K03R07X  C2003 09 15.79367 22 32 13.62 +23 56 39.6          18.7 Vri4596151
G3818K03R07X  C2003 09 15.79519 22 32 13.38 +23 56 38.3          18.8 Vri4596151
G3818K03R07X  C2003 09 15.79701 22 32 13.11 +23 56 37.3          18.8 Vri4596151
G3818K03R07X  C2003 09 15.79857 22 32 12.87 +23 56 36.4          18.7 Vri4596151
G3818K03R07X  C2003 09 15.79984 22 32 12.67 +23 56 35.6          18.5 Vri4596151
G3818K03R07X  C2003 09 15.80046 22 32 12.57 +23 56 35.2          18.6 Vri4596151
G3818K03R07X  C2003 09 15.80080 22 32 12.52 +23 56 34.9          18.4 Vri4596151
G3818K03R07X  C2003 09 15.85005 22 32 05.21 +23 55 59.1                ci4596246
G3818K03R07X  C2003 09 15.85156 22 32 04.99 +23 55 57.8                ci4596246
G3818K03R07X  C2003 09 15.85245 22 32 04.81 +23 55 57.9                ci4596246
G3818K03R07X  C2003 09 15.85390 22 32 04.65 +23 55 56.5                ci4596246
G3818K03R07X  C2003 09 15.85493 22 32 04.50 +23 55 55.3                ci4596246
G3818K03R07X  C2003 09 15.85647 22 32 04.28 +23 55 54.5                ci4596246
