     K04B01Y* C2004 01 17.54889 10 09 29.96 +11 47 53.1          20.3  cj7089608
     K04B01Y  C2004 01 17.55948 10 09 23.41 +11 47 54.9          20.7  cj7089608
     K04B01Y  C2004 01 17.56985 10 09 16.95 +11 47 56.2          20.3  cj7089608
     K04B01Y  C2004 01 17.98244 10 05 25.12 +11 48 05.3                rj7089557
     K04B01Y  C2004 01 17.98308 10 05 24.77 +11 48 05.0                rj7089557
     K04B01Y  C2004 01 17.98565 10 05 23.21 +11 48 05.5                rj7089557
     K04B01Y  C2004 01 17.98693 10 05 22.41 +11 48 06.4                rj7089557
     K04B01Y  C2004 01 18.05991 10 04 39.56 +11 48 16.0                rj7089J95
     K04B01Y  C2004 01 18.06919 10 04 33.91 +11 48 17.6          19.6 Rrj7089J95
     K04B01Y  C2004 01 18.07698 10 04 29.16 +11 48 18.6                rj7089J95
     K04B01Y  C2004 01 18.08519 10 04 24.24 +11 48 21.4          19.2 Rrj7089J95
     K04B01Y  C2004 01 18.39115 10 01 28.09 +11 49 43.4          20.0 Rcj7089651
     K04B01Y  C2004 01 18.39275 10 01 27.10 +11 49 43.3          19.9 Rcj7089651
     K04B01Y  C2004 01 18.39415 10 01 26.16 +11 49 43.5          20.6 Rcj7089651
     K04B01Y  C2004 01 19.28367 09 52 53.94 +11 51 15.2          19.6 Rrj7089649
     K04B01Y  C2004 01 19.28527 09 52 52.93 +11 51 15.4          19.4 Rrj7089649
     K04B01Y  C2004 01 19.28687 09 52 51.93 +11 51 15.6          19.7 Rrj7089649
     K04B01Y  C2004 01 22.30646 09 23 35.28 +11 52 42.0          19.4 Rrj7089649
     K04B01Y  C2004 01 22.30837 09 23 34.11 +11 52 41.8          19.6 Rrj7089649
     K04B01Y  C2004 01 22.31027 09 23 32.91 +11 52 41.7          19.3 Rrj7089649
     K04B01Y  C2004 01 22.31218 09 23 31.76 +11 52 41.6          19.3 Rrj7089649
     K04B01Y  C2004 01 23.30858 09 14 00.13 +11 51 33.7          19.1 Rrj7089649
     K04B01Y  C2004 01 23.31000 09 13 59.24 +11 51 33.5          19.3 Rrj7089649
     K04B01Y  C2004 01 23.31142 09 13 58.39 +11 51 33.1          19.1 Rrj7089649
     K04B01Y  C2004 01 24.03745 09 07 06.29 +11 49 55.7                cj7089246
     K04B01Y  C2004 01 24.03787 09 07 06.05 +11 49 55.6                cj7089246
     K04B01Y  C2004 01 24.03833 09 07 05.78 +11 49 56.0                cj7089246
     K04B01Y  C2004 01 24.03917 09 07 05.26 +11 49 55.2                cj7089246
     K04B01Y  C2004 01 24.03986 09 07 04.87 +11 49 56.8                cj7089246
     K04B01Y  C2004 01 24.04081 09 07 04.29 +11 49 56.3                cj7089246
     K04B01Y  C2004 01 24.04134 09 07 03.99 +11 49 55.6                cj7089246
     K04B01Y  C2004 01 28.30532 08 29 18.76 +11 35 48.4          19.1 Rcj7880926
     K04B01Y  C2004 01 28.30597 08 29 18.42 +11 35 48.5          18.9 Rcj7880926
     K04B01Y  C2004 01 28.30664 08 29 17.96 +11 35 48.1          19.1 Rcj7880926
     K04B01Y  C2004 02 14.12856 06 59 03.48 +10 17 09.1          20.8 Rrj8832715
     K04B01Y  C2004 02 14.13783 06 59 01.77 +10 17 08.0          21.5 Rrj8832715
     K04B01Y  C2004 02 14.14715 06 58 59.79 +10 17 06.0          21.2 Rrj8832715
