     K04L00B* C2004 06 07.22136 14 43 45.08 -16 10 27.1          17.5 Rok8720699
     K04L00B  C2004 06 07.23995 14 43 43.44 -16 03 27.0                ok8720699
     K04L00B  C2004 06 07.25852 14 43 41.63 -15 56 26.2                ok8720699
     K04L00B  C2004 06 07.27712 14 43 40.07 -15 49 26.5                ok8720699
     K04L00B  C2004 06 08.87339 14 42 20.66 -06 17 45.1                ck8720246
     K04L00B  C2004 06 08.87399 14 42 20.65 -06 17 33.1                ck8720246
     K04L00B  C2004 06 08.87444 14 42 20.64 -06 17 23.8                ck8720246
     K04L00B  C2004 06 08.87492 14 42 20.61 -06 17 14.7                ck8720246
     K04L00B  C2004 06 08.87554 14 42 20.54 -06 17 02.3                ck8720246
     K04L00B  C2004 06 08.87650 14 42 20.50 -06 16 42.2                ck8720246
     K04L00B  C2004 06 08.87694 14 42 20.46 -06 16 33.6                ck8720246
     K04L00B  C2004 06 08.87733 14 42 20.44 -06 16 25.0                ck8720246
     K04L00B  C2004 06 08.87786 14 42 20.39 -06 16 15.0                ck8720246
     K04L00B  C2004 06 08.88866 14 42 20.00 -06 12 36.7          18.3 Vrk8720611
     K04L00B  C2004 06 08.89171 14 42 19.84 -06 11 33.3                rk8720611
     K04L00B  C2004 06 08.89447 14 42 20.04 -06 10 29.2          18.1 Rrk8720620
     K04L00B  C2004 06 08.89477 14 42 19.61 -06 10 32.5                rk8720611
     K04L00B  C2004 06 08.89762 14 42 19.45 -06 09 33.7                rk8720611
     K04L00B  C2004 06 08.89799 14 42 18.72 -06 09 22.9                rk8720118
     K04L00B  C2004 06 08.89916 14 42 18.71 -06 09 03.3                rk8720118
     K04L00B  C2004 06 08.90034 14 42 18.62 -06 08 37.3                rk8720118
     K04L00B  C2004 06 08.90091 14 42 19.51 -06 08 17.6          18.7 Rrk8720620
     K04L00B  C2004 06 08.90270 14 42 18.56 -06 07 55.1                rk8720118
     K04L00B  C2004 06 08.93027 14 42 16.85 -05 58 34.0                rk8720557
     K04L00B  C2004 06 08.93096 14 42 16.97 -05 58 19.8                rk8720557
     K04L00B  C2004 06 08.93131 14 42 16.92 -05 58 13.2                rk8720557
     K04L00B  C2004 06 08.93166 14 42 16.81 -05 58 06.7                rk8720557
     K04L00B  C2004 06 08.93375 14 42 16.66 -05 57 24.6                rk8720557
     K04L00B  C2004 06 08.93514 14 42 16.56 -05 56 56.3                rk8720557
     K04L00B  C2004 06 09.14712 14 42 11.22 -04 45 54.7          17.7 Rck8720G90
     K04L00B  C2004 06 09.14859 14 42 11.13 -04 45 25.4          17.9 Rck8720G90
     K04L00B  C2004 06 09.15000 14 42 11.06 -04 44 57.8          17.7 Rck8720G90
     K04L00B  C2004 06 09.15725 14 42 10.56 -04 42 32.5          17.8 Rck8720926
     K04L00B  C2004 06 09.15769 14 42 10.58 -04 42 23.9          17.7 Rck8720926
     K04L00B  C2004 06 09.15812 14 42 10.52 -04 42 15.6          17.7 Rck8720926
     K04L00B  C2004 06 09.16350 14 42 10.20 -04 40 32.3          17.9 Rok8720699
     K04L00B  C2004 06 09.16425 14 42 10.06 -04 40 17.8                ok8720699
     K04L00B  C2004 06 09.16502 14 42 09.99 -04 40 02.6                ok8720699
     K04L00B  C2004 06 09.16577 14 42 09.97 -04 39 48.3                ok8720699
     K04L00B  C2004 06 09.17234 14 42 09.46 -04 37 34.1          18.5 Rck8720854
     K04L00B  C2004 06 09.17408 14 42 09.37 -04 37 00.3          18.5 Rck8720854
     K04L00B  C2004 06 09.17443 14 42 09.39 -04 36 53.1          18.5 Rck8720854
     K04L00B  C2004 06 09.17652 14 42 09.18 -04 36 11.3          18.5 Rck8720854
     K04L00B  C2004 06 09.17827 14 42 09.07 -04 35 37.8          18.5 Rck8720854
     K04L00B  C2004 06 09.18248 14 42 08.72 -04 34 14.8          18.5 Rck8720854
     K04L00B  C2004 06 09.25304 14 42 03.73 -04 11 02.3          17.6 Rck8720926
     K04L00B  C2004 06 09.25348 14 42 03.71 -04 10 53.1          17.7 Rck8720926
     K04L00B  C2004 06 09.25395 14 42 03.65 -04 10 45.1          17.5 Rck8720926
