     K05EG9E* C2005 03 10.24082 09 05 17.63 +17 31 27.0          21.3 Rrm9291G96
     K05EG9E  C2005 03 10.24881 09 05 16.98 +17 31 36.5          21.0 Rrm9291G96
     K05EG9E  C2005 03 10.25684 09 05 16.36 +17 31 45.0          19.5 Rrm9291G96
     K05EG9E  C2005 03 10.26479 09 05 15.62 +17 31 53.8          20.0 Rrm9291G96
     K05EG9E  C2005 03 10.30000 09 05 12.85 +17 32 31.0          20.7 Rrm9291G96
     K05EG9E  C2005 03 10.30774 09 05 12.27 +17 32 39.9          21.1 Rrm9291G96
     K05EG9E  C2005 03 10.32292 09 05 11.07 +17 32 55.6          20.6 Rrm9291G96
     K05EG9E  C2005 03 11.21836 09 04 22.86 +17 50 00.6          20.7 Rrm9291G96
     K05EG9E  C2005 03 11.22500 09 04 22.35 +17 50 08.4          20.7 Rrm9291G96
     K05EG9E  C2005 03 11.23168 09 04 21.80 +17 50 15.8          20.9 Rrm9291G96
     K05EG9E  C2005 03 11.23832 09 04 21.24 +17 50 23.3          20.9 Rrm9291G96
     K05EG9E  C2005 03 13.24309 09 02 29.68 +18 31 53.7          21.3 Rrm9291G96
     K05EG9E  C2005 03 13.25034 09 02 29.11 +18 32 02.9          20.2 Rrm9291G96
     K05EG9E  C2005 03 13.25752 09 02 28.48 +18 32 12.4          19.9 Rrm9291G96
     K05EG9E  C2005 03 13.26472 09 02 27.88 +18 32 21.7          20.7 Rrm9291G96
     K05EG9E  C2005 03 17.15004 08 59 02.88 +20 10 14.2          20.7 Rom9291715
     K05EG9E  C2005 03 17.15921 08 59 02.19 +20 10 29.6          20.2 Rom9291715
     K05EG9E  C2005 03 17.16838 08 59 01.33 +20 10 45.6          20.7 Rom9291715
     K05EG9E  C2005 03 26.88200 08 49 41.25 +28 17 07.2          20.5 Vrn0276941
     K05EG9E  C2005 03 26.88429 08 49 40.94 +28 17 19.5          20.4 Vrn0276941
     K05EG9E  C2005 03 26.88567 08 49 40.75 +28 17 26.7          20.2 Vrn0276941
     K05EG9E  C2005 03 26.88933 08 49 40.25 +28 17 46.3          20.4 Vrn0276941
     K05EG9E  C2005 03 26.89116 08 49 40.02 +28 17 55.9          20.4 Vrn0276941
     K05EG9E  C2005 03 27.17963 08 49 17.25 +28 44 44.3          19.9 Rrn0276448
     K05EG9E  C2005 03 27.19265 08 49 15.31 +28 45 56.3          20.4 Rrn0276448
     K05EG9E  C2005 03 27.20793 08 49 13.13 +28 47 20.3          19.6 Rrn0276448
     K05EG9E  C2005 04 01.82671 08 33 35.10 +45 29 51.0                cn0276246
     K05EG9E  C2005 04 01.82799 08 33 34.40 +45 30 16.6                cn0276246
     K05EG9E  C2005 04 01.82844 08 33 34.24 +45 30 25.4                cn0276246
     K05EG9E  C2005 04 01.82891 08 33 34.07 +45 30 34.6                cn0276246
     K05EG9E  C2005 04 01.82950 08 33 33.73 +45 30 45.4                cn0276246
