     K05E70L* C2005 03 08.30580 10 56 43.69 +05 54 46.5          18.9 Rrm8144G96
     K05E70L  C2005 03 08.31295 10 56 37.51 +05 56 09.0          19.0 Rrm8144G96
     K05E70L  C2005 03 08.32008 10 56 31.38 +05 57 30.8          19.1 Rrm8144G96
     K05E70L  C2005 03 08.32718 10 56 25.31 +05 58 52.2          19.1 Rrm8144G96
     K05E70L  C2005 03 08.36262 10 55 55.16 +06 05 35.4          19.5 Rrm8144G96
     K05E70L  C2005 03 08.36437 10 55 53.66 +06 05 54.4                rm8144G96
     K05E70L  C2005 03 08.36615 10 55 52.22 +06 06 15.3          18.5 Rrm8144G96
     K05E70L  C2005 03 08.36792 10 55 50.72 +06 06 33.7          19.4 Rrm8144G96
     K05E70L  C2005 03 09.28750 10 45 16.64 +08 32 33.4          19.7 Rrm8144G96
     K05E70L  C2005 03 09.28838 10 45 16.09 +08 32 40.3          20.0 Rrm8144G96
     K05E70L  C2005 03 09.28926 10 45 15.59 +08 32 46.9          19.7 Rrm8144G96
     K05E70L  C2005 03 09.29014 10 45 14.96 +08 32 55.1          19.6 Rrm8144G96
     K05E70L  C2005 03 10.16515 10 37 47.93 +10 14 25.2          20.8 Rcm8144651
     K05E70L  C2005 03 10.16919 10 37 46.11 +10 14 49.5          20.8 Rcm8144651
     K05E70L  C2005 03 10.17319 10 37 44.41 +10 15 13.3          20.8 Rcm8144651
     K05E70L  C2005 03 10.30101 10 36 45.17 +10 27 49.5          20.3 Rrm8144G96
     K05E70L  C2005 03 10.30875 10 36 41.70 +10 28 34.4          19.5 Rrm8144G96
     K05E70L  C2005 03 10.31634 10 36 38.27 +10 29 18.1          19.9 Rrm8144G96
     K05E70L  C2005 03 10.32392 10 36 34.70 +10 30 01.5          19.7 Rrm8144G96
