     K05J81Q* C2005 05 10.27049 14 38 33.19 -13 17 45.8          20.6 Rrn4137G96
     K05J81Q  C2005 05 10.27734 14 38 32.20 -13 17 35.9          21.2 Rrn4137G96
     K05J81Q  C2005 05 10.28420 14 38 31.20 -13 17 25.8          20.4 Rrn4137G96
     K05J81Q  C2005 05 10.29105 14 38 30.15 -13 17 15.2          20.4 Rrn4137G96
     K05J81Q  C2005 05 11.32558 14 36 02.43 -12 51 24.8          20.9 Rrn4137G96
     K05J81Q  C2005 05 11.32682 14 36 02.24 -12 51 22.6          20.8 Rrn4137G96
     K05J81Q  C2005 05 11.32804 14 36 02.05 -12 51 21.0          20.5 Rrn4137G96
     K05J81Q  C2005 05 11.32927 14 36 01.85 -12 51 18.8          20.5 Rrn4137G96
     K05J81Q  C2005 05 12.30640 14 33 39.85 -12 26 14.5          21.2 Rrn4137G96
     K05J81Q  C2005 05 12.30904 14 33 39.49 -12 26 10.8          21.2 Rrn4137G96
     K05J81Q  C2005 05 12.31171 14 33 39.07 -12 26 07.3          21.3 Rrn4137G96
     K05J81Q  C2005 05 12.31442 14 33 38.68 -12 26 03.1          20.4 Rrn4137G96
     K05J81Q  C2005 05 13.30344 14 31 12.41 -12 00 02.4          20.5 Rrn4137G96
     K05J81Q  C2005 05 13.31086 14 31 11.28 -11 59 50.9          20.5 Rrn4137G96
     K05J81Q  C2005 05 13.31822 14 31 10.16 -11 59 38.8          18.2 Rrn4137G96
     K05J81Q  C2005 05 13.32565 14 31 08.97 -11 59 26.2          20.3 Rrn4137G96
     K05J81Q  C2005 06 13.16394 13 08 56.79 +04 35 45.4          20.4 Vrn6553G96
     K05J81Q  C2005 06 13.17220 13 08 55.55 +04 36 01.2                rn6553G96
     K05J81Q  C2005 06 13.18045 13 08 54.29 +04 36 18.0          20.8 Vrn6553G96
     K05J81Q  C2005 06 13.18869 13 08 53.06 +04 36 34.3          21.1 Vrn6553G96
