     K05J01T* C2005 05 04.36294 15 16 19.74 +01 17 16.9          18.6 Vrn3396703
     K05J01T  C2005 05 04.37252 15 16 26.90 +01 17 12.8          18.9 Vrn3396703
     K05J01T  C2005 05 04.38208 15 16 33.96 +01 17 08.8          19.5 Vrn3396703
     K05J01T  C2005 05 04.39164 15 16 41.16 +01 17 05.1          18.6 Vrn3396703
     K05J01T  C2005 05 04.43384 15 17 13.27 +01 16 48.3          19.2 Vrn3396703
     K05J01T  C2005 05 04.43436 15 17 13.63 +01 16 47.2          19.3 Vrn3396703
     K05J01T  C2005 05 04.43488 15 17 14.02 +01 16 47.1          19.7 Vrn3396703
     K05J01T  C2005 05 04.43541 15 17 14.42 +01 16 47.3          19.4 Vrn3396703
     K05J01T  C2005 05 04.43605 15 17 15.00 +01 16 47.8          19.2 Rcn3396854
     K05J01T  C2005 05 04.44395 15 17 21.14 +01 16 44.2          19.2 Rcn3396854
     K05J01T  C2005 05 04.44788 15 17 24.20 +01 16 41.8          19.2 Rcn3396854
     K05J01T  C2005 05 04.47491 15 18 03.78 +01 22 11.2          18.5 Rcn3396474
     K05J01T  C2005 05 04.47560 15 18 04.32 +01 22 11.3          18.6 Rcn3396474
     K05J01T  C2005 05 04.47630 15 18 04.85 +01 22 10.7          18.8 Rcn3396474
     K05J01T  C2005 05 04.47884 15 18 06.87 +01 22 10.5          18.5 Rcn3396474
     K05J01T  C2005 05 04.47965 15 18 07.48 +01 22 10.1          18.7 Rcn3396474
     K05J01T  C2005 05 04.48022 15 18 07.88 +01 22 09.9          18.9 Rcn3396474
     K05J01T  C2005 05 04.56449 15 19 13.67 +01 21 37.3          18.6 Rcn4061474
     K05J01T  C2005 05 04.56566 15 19 14.55 +01 21 36.7          18.4 Rcn4061474
     K05J01T  C2005 05 04.56682 15 19 15.44 +01 21 36.3          18.5 Rcn4061474
     K05J01T  C2005 05 04.96718 15 25 22.70 +01 11 35.4                rn3396J95
     K05J01T  C2005 05 04.97145 15 25 26.35 +01 11 33.7                rn3396J95
     K05J01T  C2005 05 04.97595 15 25 30.32 +01 11 32.0          19.2 Rrn3396J95
     K05J01T  C2005 05 08.06234 16 31 16.75 +00 29 07.2                rn4061J95
     K05J01T  C2005 05 08.06436 16 31 19.97 +00 29 04.4                rn4061J95
     K05J01T  C2005 05 08.06634 16 31 23.04 +00 29 02.2          18.9 Rrn4061J95
     K05J01T  C2005 05 09.09352 17 03 22.53 +00 05 09.1                rn4061J95
     K05J01T  C2005 05 09.09622 17 03 27.74 +00 05 04.6                rn4061J95
     K05J01T  C2005 05 09.09992 17 03 34.91 +00 04 58.4          18.4 Rrn4061J95
     K05J01T  C2005 05 10.08393 17 39 51.93 -00 23 05.2                rn4061J95
     K05J01T  C2005 05 10.09643 17 40 19.96 -00 23 29.1          18.4 Rrn4061J95
