     K05W00Y* C2005 11 21.09373 02 08 21.02 +12 40 21.9          20.9 Vcp1274691
     K05W00Y  C2005 11 21.10653 02 08 24.11 +12 40 24.6          21.0 Vcp1274691
     K05W00Y  C2005 11 21.11934 02 08 27.21 +12 40 27.0          21.4 Vcp1274691
     K05W00Y  C2005 11 21.19954 02 08 45.38 +12 40 38.3          21.1 Vdp1274291
     K05W00Y  C2005 11 21.20350 02 08 46.24 +12 40 38.6          21.0 Vdp1274291
     K05W00Y  C2005 11 21.20753 02 08 47.13 +12 40 38.7          21.1 Vdp1274291
     K05W00Y  C2005 11 21.26121 02 08 58.71 +12 40 40.6          20.6 Rcp1274651
     K05W00Y  C2005 11 21.26853 02 09 00.38 +12 40 39.8          20.5 Rcp1274651
     K05W00Y  C2005 11 21.27603 02 09 02.06 +12 40 38.9          20.6 Rcp1274651
     K05W00Y  C2005 11 22.07611 02 14 16.77 +12 40 12.0          21.1 Vdp1274291
     K05W00Y  C2005 11 22.08617 02 14 20.37 +12 40 15.0          20.9 Vdp1274291
     K05W00Y  C2005 11 22.09015 02 14 21.77 +12 40 16.0          20.7 Vdp1274291
     K05W00Y  C2005 11 25.30181 03 02 12.08 +12 26 11.1          18.3 Vrp2355G96
     K05W00Y  C2005 11 25.30212 03 02 12.58 +12 26 10.7          18.5 Vrp2355G96
     K05W00Y  C2005 11 25.30242 03 02 13.09 +12 26 10.2          18.4 Vrp2355G96
     K05W00Y  C2005 11 25.30272 03 02 13.59 +12 26 09.7          18.3 Vrp2355G96
     K05W00Y  C2005 11 25.33946 03 03 15.62 +12 25 15.7          18.5 Vrp2355G96
     K05W00Y  C2005 11 25.34092 03 03 18.14 +12 25 13.3          18.2 Vrp2355G96
     K05W00Y  C2005 11 25.34246 03 03 20.80 +12 25 10.9          18.2 Vrp2355G96
     K05W00Y  C2005 11 25.34406 03 03 23.54 +12 25 08.3          18.3 Vrp2355G96
     K05W00Y  C2005 11 27.01574104 54 54.53 +09 47 51.1                rp2355J95
     K05W00Y  C2005 11 27.01694304 55 03.27 +09 47 32.1                rp2355J95
     K05W00Y  C2005 11 27.01811804 55 11.81 +09 47 13.5                rp2355J95
     K05W00Y  C2005 11 27.01930004 55 20.43 +09 46 54.7          16.8 Rrp2355J95
