Z4876K06B55G* C2006 01 26.39286 10 43 25.46 +09 38 01.7          21.6 Vrq1944G96
Z4876K06B55G  C2006 01 26.40101 10 43 24.92 +09 38 07.5          21.6 Vrq1944G96
Z4876K06B55G  C2006 01 26.40905 10 43 24.45 +09 38 13.1          21.3 Vrq1944G96
Z4876K06B55G  C2006 01 26.41701 10 43 23.98 +09 38 17.7          21.1 Vrq1944G96
Z4876K06B55G  C2006 01 26.45249 10 43 21.75 +09 38 42.6          21.0 Vrq1944G96
Z4876K06B55G  C2006 01 26.46025 10 43 21.28 +09 38 47.0          21.7 Vrq1944G96
Z4876K06B55G  C2006 01 26.46806 10 43 20.74 +09 38 52.7          20.6 Vrq1944G96
Z4876K06B55G  C2006 01 27.29410 10 42 31.26 +09 48 10.0                dq1944291
Z4876K06B55G  C2006 01 27.29806 10 42 31.01 +09 48 12.9                dq1944291
Z4876K06B55G  C2006 01 27.30209 10 42 30.72 +09 48 15.8                dq1944291
Z4876K06B55G  C2006 01 27.33222 10 42 28.83 +09 48 35.9          20.7 Vrq1944G96
Z4876K06B55G  C2006 01 27.33807 10 42 28.40 +09 48 40.1          21.4 Vrq1944G96
Z4876K06B55G  C2006 01 27.34396 10 42 28.08 +09 48 43.9          21.7 Vrq1944G96
Z4876K06B55G  C2006 01 27.34983 10 42 27.68 +09 48 47.7          21.6 Vrq1944G96
Z4876K06B55G  C2006 01 27.43957 10 42 21.89 +09 49 49.2          20.3 Vrq1944G96
Z4876K06B55G  C2006 01 27.44045 10 42 21.87 +09 49 49.5          20.4 Vrq1944G96
Z4876K06B55G  C2006 01 27.44134 10 42 21.84 +09 49 49.8          20.1 Vrq1944G96
Z4876K06B55G  C2006 01 27.44222 10 42 21.81 +09 49 50.0          19.8 Vrq1944G96
Z4876K06B55G  C2006 01 28.36463 10 41 23.82 +10 00 30.0          21.0 Vrq1944G96
Z4876K06B55G  C2006 01 28.37050 10 41 23.49 +10 00 34.0          21.6 Vrq1944G96
Z4876K06B55G  C2006 01 28.37640 10 41 23.06 +10 00 38.6          20.7 Vrq1944G96
Z4876K06B55G  C2006 01 28.38229 10 41 22.70 +10 00 42.6          20.9 Vrq1944G96
Z4876K06B55G HC2006 01 31.33879 10 38 02.12 +10 36 30.9          21.4 Vcq1944691
Z4876K06B55G HC2006 01 31.35618 10 38 00.85 +10 36 44.1          21.5 Vcq1944691
Z4876K06B55G HC2006 01 31.37357 10 37 59.54 +10 36 56.5          21.3 Vcq1944691
