g3709K06B06Q* C2006 01 22.43948 09 13 10.34 +16 16 28.9          20.1 Vrq0604G96
g3709K06B06Q  C2006 01 22.44486 09 13 09.66 +16 16 27.0          20.1 Vrq0604G96
g3709K06B06Q  C2006 01 22.45021 09 13 09.01 +16 16 25.3          20.1 Vrq0604G96
g3709K06B06Q  C2006 01 22.45559 09 13 08.32 +16 16 23.1          20.4 Vrq0604G96
g3709K06B06Q  C2006 01 22.47978 09 13 05.26 +16 16 13.8          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 22.48444 09 13 04.67 +16 16 11.8          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 22.48910 09 13 04.11 +16 16 09.9          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 22.49383 09 13 03.52 +16 16 08.2          19.6 Vrq0604G96
g3709K06B06Q  C2006 01 22.50079 09 13 02.64 +16 16 05.5          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 22.50186 09 13 02.49 +16 16 05.1          19.7 Vrq0604G96
g3709K06B06Q  C2006 01 22.50294 09 13 02.35 +16 16 04.5          20.0 Vrq0604G96
g3709K06B06Q  C2006 01 22.50402 09 13 02.28 +16 16 03.9          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 23.34294 09 11 19.93 +16 10 52.8          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 23.35064 09 11 18.96 +16 10 49.9          19.6 Vrq0604G96
g3709K06B06Q  C2006 01 23.35825 09 11 17.95 +16 10 47.1          20.0 Vrq0604G96
g3709K06B06Q  C2006 01 23.36593 09 11 16.94 +16 10 44.1          20.4 Vrq0604G96
g3709K06B06Q  C2006 01 23.41488 09 11 10.60 +16 10 25.4          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 23.42340 09 11 09.52 +16 10 22.1          19.7 Vrq0604G96
g3709K06B06Q  C2006 01 23.43189 09 11 08.41 +16 10 18.7          19.8 Vrq0604G96
g3709K06B06Q  C2006 01 23.44045 09 11 07.29 +16 10 15.5          19.9 Vrq0604G96
g3709K06B06Q  C2006 01 23.92966 09 10 06.49 +16 07 06.4                cq0604A44
g3709K06B06Q  C2006 01 23.95095 09 10 03.69 +16 06 58.7          20.0 Vcq0604A44
g3709K06B06Q  C2006 01 23.96806 09 10 01.44 +16 06 52.2          20.0 Vcq0604A44
g3709K06B06Q  C2006 01 23.97825 09 10 00.18 +16 06 48.3                cq0604246
g3709K06B06Q  C2006 01 23.97896 09 10 00.06 +16 06 47.8                cq0604246
g3709K06B06Q  C2006 01 23.97998 09 09 59.96 +16 06 47.2                cq0604246
g3709K06B06Q  C2006 01 23.98279 09 09 59.53 +16 06 46.5          20.0 Vcq0604A44
g3709K06B06Q  C2006 01 23.98448 09 09 59.27 +16 06 46.1                cq0604246
g3709K06B06Q  C2006 01 24.98060 09 07 50.88 +16 00 21.3                cq0604246
g3709K06B06Q  C2006 01 24.98279 09 07 50.62 +16 00 20.4                cq0604246
g3709K06B06Q  C2006 01 24.98470 09 07 50.34 +16 00 19.9                cq0604246
g3709K06B06Q  C2006 01 24.98697 09 07 50.02 +16 00 19.0                cq0604246
g3709K06B06Q  C2006 01 25.23947 09 07 17.13 +15 58 41.7          19.7 Rrq0604734
g3709K06B06Q  C2006 01 25.24163 09 07 16.86 +15 58 41.0          19.6 Rrq0604734
g3709K06B06Q  C2006 01 25.24380 09 07 16.56 +15 58 39.8          20.0 Rrq0604734
g3709K06B06Q  C2006 01 25.24596 09 07 16.24 +15 58 38.7          19.7 Rrq0604734
g3709K06B06Q  C2006 01 25.31935 09 07 06.45 +15 58 12.2                dq0604291
g3709K06B06Q  C2006 01 25.32326 09 07 05.92 +15 58 10.9                dq0604291
g3709K06B06Q  C2006 01 25.32719 09 07 05.39 +15 58 09.4                dq0604291
g3709K06B06Q  C2006 01 26.21225 09 05 07.28 +15 52 14.3          19.9 Rrq0604734
g3709K06B06Q  C2006 01 26.21519 09 05 06.86 +15 52 14.3          19.5 Rrq0604734
g3709K06B06Q  C2006 01 26.21813 09 05 06.49 +15 52 12.3          19.6 Rrq0604734
g3709K06B06Q  C2006 01 26.32123 09 04 52.24 +15 51 32.6                dq0604291
g3709K06B06Q  C2006 01 26.32528 09 04 51.67 +15 51 31.0                dq0604291
g3709K06B06Q  C2006 01 26.32919 09 04 51.12 +15 51 29.4                dq0604291
g3709K06B06Q  C2006 01 27.28162 09 02 39.88 +15 44 57.8          19.6 Rrq0604932
g3709K06B06Q  C2006 01 27.29735 09 02 37.61 +15 44 51.1          19.9 Rrq0604932
g3709K06B06Q  C2006 01 27.31352 09 02 35.28 +15 44 44.2          19.7 Rrq0604932
g3709K06B06Q  C2006 01 27.93666 09 01 08.47 +15 40 23.1                cq0604246
g3709K06B06Q  C2006 01 27.93900 09 01 08.17 +15 40 22.3                cq0604246
g3709K06B06Q  C2006 01 27.94123 09 01 07.80 +15 40 21.5                cq0604246
g3709K06B06Q  C2006 01 27.94264 09 01 07.58 +15 40 20.4                cq0604246
g3709K06B06Q  C2006 01 28.95785 08 58 42.27 +15 33 08.6                cq1925246
g3709K06B06Q  C2006 01 28.95852 08 58 42.17 +15 33 08.5                cq1925246
g3709K06B06Q  C2006 01 28.96163 08 58 41.75 +15 33 06.3                cq1925246
g3709K06B06Q  C2006 01 28.96228 08 58 41.64 +15 33 05.5                cq1925246
