     K06B39V*tC2006 01 26.33340 09 03 30.93 +15 19 33.1          19.7 Vdq0638291
     K06B39V tC2006 01 26.33742 09 03 36.23 +15 19 17.6          19.6 Vdq0638291
     K06B39V tC2006 01 26.34165 09 03 42.17 +15 18 59.7          19.7 Vdq0638291
     K06B39V tC2006 01 26.41291 09 05 23.58 +15 13 35.9          19.8 Vdq0638291
     K06B39V tC2006 01 26.41698 09 05 29.67 +15 13 15.6          19.3 Vdq0638291
     K06B39V tC2006 01 26.42092 09 05 35.65 +15 12 55.7          19.4 Vdq0638291
     K06B39V tC2006 01 26.51042 09 08 03.59 +15 04 24.5          19.8 Vdq0638291
     K06B39V tC2006 01 26.51456 09 08 11.17 +15 03 59.6          19.1 Vdq0638291
     K06B39V tC2006 01 26.51853 09 08 18.49 +15 03 33.3          19.0 Vdq0638291
     K06B39V tC2006 01 26.94495 09 28 01.73 +14 10 59.3                cq0638246
     K06B39V tC2006 01 26.94530 09 28 02.83 +14 10 55.7                cq0638246
     K06B39V tC2006 01 26.94607 09 28 05.01 +14 10 48.3                cq0638246
     K06B39V tC2006 01 26.94673 09 28 06.96 +14 10 43.4                cq0638246
     K06B39V  C2006 01 27.34323 09 56 10.62 +12 43 09.3          18.4 Rrq0638932
     K06B39V  C2006 01 27.35230 09 56 59.24 +12 40 05.2          18.1 Rrq0638932
     K06B39V  C2006 01 27.35457 09 57 11.54 +12 39 18.2          17.8 Rrq0638932
     K06B39V  C2006 01 27.35654 09 57 22.32 +12 38 36.8          18.1 Rrq0638932
     K06B39V  C2006 01 27.36078 09 57 45.46 +12 37 08.2          17.5 Rrq0638932
     K06B39V  C2006 01 28.00812512 03 07.02 +03 59 56.3          17.0 Rrq0638J95
     K06B39V  C2006 01 28.00862212 03 16.66 +03 59 10.2          18.2 Rrq0638J95
     K06B39V  C2006 01 28.01454712 05 11.61 +03 49 54.7          17.3 Rrq0638J95
     K06B39V  C2006 01 28.01511912 05 22.79 +03 49 00.5          17.6 Rrq0638J95
     K06B39V  C2006 01 28.04406112 15 01.26 +03 02 02.5          18.0 Rrq0638J95
     K06B39V  C2006 01 28.08587712 29 43.12 +01 49 08.8          17.7 Rrq0638J95
     K06B39V  C2006 01 28.08666812 30 00.29 +01 47 42.9          17.4 Rrq0638J95
     K06B39V  C2006 01 28.10626212 37 12.59 +01 11 33.2          17.4 Rrq0638J95
     K06B39V  C2006 01 28.10682312 37 25.15 +01 10 30.2          16.9 Rrq0638J95
     K06B39V  C2006 01 28.10731412 37 36.15 +01 09 35.0          17.1 Rrq0638J95
     K06B39V  C2006 01 28.15055312 54 11.80 -00 14 17.0          16.5 Rrq1938J95
     K06B39V  C2006 01 28.15126412 54 28.60 -00 15 41.4          17.7 Rrq1938J95
     K06B39V  C2006 01 28.15200312 54 46.12 -00 17 10.0          17.8 Rrq1938J95
     K06B39V  C2006 01 28.16026712 58 02.73 -00 33 46.1          18.5 Rrq1938J95
     K06B39V  C2006 01 28.16097612 58 19.66 -00 35 12.2          18.0 Rrq1938J95
     K06B39V  C2006 01 28.16167212 58 36.30 -00 36 37.7          17.8 Rrq1938J95
     K06B39V  C2006 01 28.21723613 21 24.47 -02 31 41.5          16.9 Rrq1938J95
     K06B39V  C2006 01 28.21776013 21 37.68 -02 32 47.9          17.2 Rrq1938J95
     K06B39V  C2006 01 28.21835713 21 52.76 -02 34 03.0          18.8 Rrq1938J95
