     K06D63T* C2006 02 27.38222 11 58 34.75 -02 50 12.2          20.9 Vrq5270G96
     K06D63T  C2006 02 27.38806 11 58 34.96 -02 50 21.0          20.7 Vrq5270G96
     K06D63T  C2006 02 27.39378 11 58 35.18 -02 50 30.0          20.8 Vrq5270G96
     K06D63T  C2006 02 27.39959 11 58 35.40 -02 50 39.0          20.5 Vrq5270G96
     K06D63T  C2006 02 27.41576 11 58 35.97 -02 51 03.5          21.2 Vrq5270G96
     K06D63T  C2006 02 27.41669 11 58 36.01 -02 51 05.1          20.7 Vrq5270G96
     K06D63T  C2006 02 27.41762 11 58 36.04 -02 51 06.3          20.9 Vrq5270G96
     K06D63T  C2006 02 27.41849 11 58 36.04 -02 51 08.0          21.0 Vrq5270G96
     K06D63T  C2006 02 27.41939 11 58 36.08 -02 51 09.4          21.3 Vrq5270G96
     K06D63T  C2006 02 27.42028 11 58 36.12 -02 51 10.8          20.7 Vrq5270G96
     K06D63T  C2006 02 27.42117 11 58 36.15 -02 51 12.0          21.1 Vrq5270G96
     K06D63T  C2006 02 27.42208 11 58 36.19 -02 51 13.4          21.1 Vrq5270G96
     K06D63T  C2006 02 27.46561 11 58 37.81 -02 52 20.8          21.1 Vrq5270G96
     K06D63T  C2006 02 27.46738 11 58 37.92 -02 52 23.7          20.6 Vrq5270G96
     K06D63T  C2006 02 27.46919 11 58 37.95 -02 52 26.0          21.1 Vrq5270G96
     K06D63T  C2006 02 27.47098 11 58 37.99 -02 52 28.8          21.3 Vrq5270G96
     K06D63T  C2006 02 28.24539 11 59 15.88 -03 12 24.1                rq5270G96
     K06D63T  C2006 02 28.25300 11 59 16.14 -03 12 35.8                rq5270G96
     K06D63T  C2006 02 28.25666 11 59 16.30 -03 12 41.7          20.8 Vrq5270G96
     K06D63T  C2006 03 03.27392 12 01 23.72 -04 29 24.8          20.9 Vrq5270G96
     K06D63T  C2006 03 03.28327 12 01 23.99 -04 29 39.4          21.1 Vrq5270G96
     K06D63T  C2006 03 03.29265 12 01 24.29 -04 29 53.3          20.6 Vrq5270G96
     K06D63T  C2006 03 03.30191 12 01 24.57 -04 30 07.6          20.6 Vrq5270G96
     K06D63T  C2006 03 03.41762 12 01 27.54 -04 33 04.9          21.2 Rrq5270734
     K06D63T  C2006 03 03.42499 12 01 27.77 -04 33 16.2          20.9 Rrq5270734
     K06D63T  C2006 03 03.43235 12 01 28.00 -04 33 26.7          20.4 Rrq5270734
     K06D63T  C2006 03 05.32693 12 02 40.57 -05 20 35.7          20.7 Vcq6238691
     K06D63T  C2006 03 05.34427 12 02 41.00 -05 21 01.4          21.0 Vcq6238691
     K06D63T  C2006 03 05.36158 12 02 41.42 -05 21 27.2          20.7 Vcq6238691
     K06D63T  C2006 03 09.32917 12 04 51.53 -06 57 07.6                cq6238691
     K06D63T  C2006 03 09.36760 12 04 52.22 -06 58 02.2                cq6238691
     K06D63T  C2006 03 09.38488 12 04 52.53 -06 58 26.2                cq6238691
     K06D63T  C2006 03 23.24045 12 10 02.57 -11 42 37.1          20.3 Roq7181715
     K06D63T  C2006 03 23.24832 12 10 02.71 -11 42 45.8          19.5 Roq7181715
     K06D63T  C2006 03 23.25618 12 10 02.69 -11 42 53.2          20.0 Roq7181715
     K06D63T  C2006 03 23.32895 12 10 03.27 -11 44 07.1          21.0 Vrq7181G96
     K06D63T  C2006 03 23.33576 12 10 03.36 -11 44 14.2                rq7181G96
     K06D63T  C2006 03 23.34259 12 10 03.40 -11 44 21.2                rq7181G96
     K06D63T  C2006 03 23.34948 12 10 03.45 -11 44 28.4                rq7181G96
     K06D63T  C2006 04 19.28853 12 21 22.94 -16 25 35.6          22.2 Vdq9191291
     K06D63T  C2006 04 19.29414 12 21 23.14 -16 25 37.0          21.9 Vdq9191291
     K06D63T  C2006 04 19.29977 12 21 23.32 -16 25 39.3          22.3 Vdq9191291
