     K00P30O*3C2000 08 02.56452 04 45 56.53 +22 07 56.6                 b8005568
     K00P30O 3C2000 08 02.57248 04 45 58.77 +22 07 59.0                 b8005568
     K00P30O 3C2000 08 02.62876 04 46 13.49 +22 08 15.9                 b8005568
     K00P30O 3C2000 08 02.63323 04 46 14.69 +22 08 17.2                 b8005568
     K00P30O 3C2000 08 03.55811 04 50 20.04 +22 12 28.4                 b8005568
     K00P30O 3C2000 08 03.56263 04 50 21.23 +22 12 29.7          21.7 R b8005568
     K00P30O 3C2000 08 03.62493 04 50 37.66 +22 12 46.8                 b8005568
     K00P30O 3C2000 08 04.55632 04 54 45.26 +22 16 34.4                 b8005568
     K00P30O 3C2000 08 04.56418 04 54 47.28 +22 16 37.7                 b8005568
     K00P30O 3C2000 08 04.58003 04 54 51.48 +22 16 40.9                 b8005568
     K00P30O 3C2000 08 04.58732 04 54 53.41 +22 16 42.9                 b8005568
     K00P30O 3C2000 08 04.62400 04 55 03.11 +22 16 51.7                 b8005568
     K00P30O 3C2000 08 07.60820 05 08 18.18 +22 26 20.3                 b8005568
     K00P30O 3C2000 08 07.61266 05 08 19.37 +22 26 20.8                 b8005568
     K00P30O 3C2000 08 07.62670 05 08 23.09 +22 26 23.2                 b8005568
     K00P30O 3C2000 08 07.63118 05 08 24.28 +22 26 23.9                 b8005568
     K00P30O 3C2000 09 05.63620 07 14 54.06 +20 27 27.0                 b8005568
     K00P30O 3C2000 09 05.64225 07 14 55.54 +20 27 23.4                 b8005568
     K06E52Y* C2006 03 05.43295 12 45 56.19 -07 44 26.9          21.6 Vcq6437691
     K06E52Y  C2006 03 05.45026 12 45 54.99 -07 44 17.5          21.1 Vcq6437691
     K06E52Y  C2006 03 05.46755 12 45 53.73 -07 44 07.9          21.3 Vcq6437691
     K06E52Y  C2006 03 06.35027 12 44 53.29 -07 36 10.3          22.0 Vdq6437291
     K06E52Y  C2006 03 06.35610 12 44 52.85 -07 36 07.0          21.6 Vdq6437291
     K06E52Y  C2006 03 06.36120 12 44 52.49 -07 36 04.2          21.7 Vdq6437291
     K06E52Y  C2006 03 06.42986 12 44 47.26 -07 35 28.0          21.2 Rrq6437734
     K06E52Y  C2006 03 06.43721 12 44 46.93 -07 35 23.0          21.4 Rrq6437734
     K06E52Y  C2006 03 06.44603 12 44 46.17 -07 35 18.3          21.6 Rrq6437734
     K06E52Y  C2006 03 09.29767 12 41 21.89 -07 08 22.1          21.7 Vdq6437291
     K06E52Y  C2006 03 09.30443 12 41 21.38 -07 08 18.2          21.5 Vdq6437291
     K06E52Y  C2006 03 09.30848 12 41 21.05 -07 08 15.8          21.5 Vdq6437291
     K06E52Y  C2006 03 09.45030 12 41 10.16 -07 06 53.1          21.3 Vcq6437691
     K06E52Y  C2006 03 09.46759 12 41 08.83 -07 06 43.0          21.2 Vcq6437691
     K06E52Y  C2006 03 09.48492 12 41 07.51 -07 06 32.3          21.4 Vcq6437691
     K06E52Y  C2006 03 23.32807 12 22 52.19 -04 38 57.3          20.9 Vrq7219G96
     K06E52Y  C2006 03 23.33496 12 22 51.67 -04 38 53.0          21.3 Vrq7219G96
     K06E52Y  C2006 03 23.34181 12 22 51.04 -04 38 47.5          21.4 Vrq7219G96
     K06E52Y  C2006 03 23.36746 12 22 48.94 -04 38 30.6          21.3 Vdq7219291
     K06E52Y  C2006 03 23.37114 12 22 48.62 -04 38 28.1          21.3 Vdq7219291
     K06E52Y  C2006 03 23.37529 12 22 48.30 -04 38 25.3          21.2 Vdq7219291
     K06E52Y  C2006 03 23.38355 12 22 47.60 -04 38 19.7          21.3 Vdq7219291
     K06E52Y  C2006 03 23.38763 12 22 47.27 -04 38 17.0          21.1 Vdq7219291
     K06E52Y  C2006 03 23.39139 12 22 46.96 -04 38 14.6          21.2 Vdq7219291
     K06E52Y  C2006 03 24.23295 12 21 39.69 -04 28 52.9                dq7219291
     K06E52Y HC2006 03 24.23790 12 21 39.30 -04 28 50.1                dq7219291
     K06E52Y HC2006 03 24.24177 12 21 38.92 -04 28 47.3                dq7219291
     K06E52Y  C2006 03 25.23558 12 20 19.40 -04 17 45.2          21.2 Vdq7219291
     K06E52Y  C2006 03 25.24038 12 20 18.97 -04 17 42.2          21.1 Vdq7219291
     K06E52Y  C2006 03 25.24414 12 20 18.68 -04 17 39.5          21.4 Vdq7219291
     K06E52Y  C2006 04 02.29271 12 10 02.82 -02 50 41.1          21.2 Vrq8291G96
     K06E52Y  C2006 04 02.29861 12 10 02.38 -02 50 37.4          21.5 Vrq8291G96
     K06E52Y  C2006 04 02.30446 12 10 01.92 -02 50 33.8          21.1 Vrq8291G96
     K06E52Y  C2006 04 02.31002 12 10 01.48 -02 50 30.3          20.7 Vrq8291G96
     K06E52Y  C2006 04 07.20938 12 04 26.62 -02 01 36.8          21.8 Vdq8291291
     K06E52Y  C2006 04 07.21311 12 04 26.36 -02 01 35.1          21.8 Vdq8291291
     K06E52Y  C2006 04 07.21686 12 04 26.12 -02 01 32.5          21.8 Vdq8291291
     K00P30O  C2011 02 25.37829 13 10 26.41 -10 01 13.8          21.7 Vo~0Syp291
     K00P30O  C2011 02 25.38367 13 10 26.12 -10 01 11.9          21.7 Vo~0Syp291
     K00P30O  C2011 02 25.38901 13 10 25.88 -10 01 09.9          22.0 Vo~0Syp291
     K00P30O  C2011 03 31.36985 12 31 05.244-04 51 12.71         21.3 wL~0USLF51
     K00P30O  C2011 03 31.38539 12 31 03.986-04 51 02.79         21.2 wL~0USLF51
     K00P30O  C2011 03 31.41747 12 31 01.392-04 50 42.50         21.3 wL~0USLF51
     K00P30O HC2011 04 04.20030 12 26 13.15 -04 11 02.1          20.9 Vo~0UqC691
     K00P30O HC2011 04 04.21545 12 26 12.02 -04 10 52.7          21.0 Vo~0UqC691
     K00P30O  C2011 04 06.27375 12 23 41.24 -03 49 53.6          20.4 Vr~0USLG96
     K00P30O  C2011 04 06.28012 12 23 40.70 -03 49 50.3          21.4 Vr~0USLG96
     K00P30O  C2011 04 06.28647 12 23 40.27 -03 49 46.2          21.0 Vr~0USLG96
     K00P30O  C2011 04 06.29293 12 23 39.73 -03 49 42.6          20.8 Vr~0USLG96
     K00P30O  C2016 04 01.37133 12 46 14.133-06 04 04.43         21.0 wL~1pPVF51
     K00P30O  C2016 04 01.40830 12 46 11.117-06 03 41.38         21.0 wL~1pPVF51
     K00P30O  C2016 04 10.23277 12 35 09.75 -04 34 52.3          20.8 Vq~1qlnG96
     K00P30O  C2016 04 10.23519 12 35 09.57 -04 34 51.2          21.5 Vq~1qlnG96
     K00P30O  C2016 04 10.23761 12 35 09.43 -04 34 49.8          22.2 Vq~1qlnG96
     K00P30O  C2016 04 10.24003 12 35 09.19 -04 34 47.7          21.5 Vq~1qlnG96
     K00P30O  C2016 04 10.35281 12 35 01.339-04 33 42.01         21.4 wL~1qlnF51
     K00P30O  C2016 04 10.36573 12 35 00.407-04 33 34.45         21.2 wL~1qlnF51
     K00P30O  C2016 04 10.37871 12 34 59.462-04 33 27.01         21.3 wL~1qlnF51
     K00P30O  C2016 04 10.39205 12 34 58.488-04 33 19.31         21.3 wL~1qlnF51
