     K06K00A  C2002 05 30.35049317 24 52.066-01 06 48.92         21.14rn~0ga8645
     K06K00A  C2002 05 30.35132217 24 51.953-01 06 47.77               n~0ga8645
     K06K00A .C2002 06 15.11389 16 53 40.99 +02 41 01.0                o~0b2X950
     K06K00A .C2002 06 15.11736 16 53 40.73 +02 41 03.0                o~0b2X950
     K06K00A .C2002 06 15.12083 16 53 40.46 +02 41 05.4                o~0b2X950
     K06K00A* C2006 05 17.47211 12 18 32.36 -25 27 00.3          18.8 Vrr1675E12
     K06K00A  C2006 05 17.48066 12 18 34.63 -25 26 19.9          19.2 Vrr1675E12
     K06K00A  C2006 05 17.48919 12 18 37.00 -25 25 40.7          19.2 Vrr1675E12
     K06K00A  C2006 05 17.49770 12 18 39.24 -25 24 58.4          18.2 Vrr1675E12
     K06K00A  C2006 05 17.50634 12 18 41.54 -25 24 17.1          18.9 Vrr1675E12
     K06K00A  C2006 05 17.51554 12 18 43.99 -25 23 32.9          19.1 Vrr1675E12
     K06K00A  C2006 05 17.52475 12 18 46.54 -25 22 49.2          18.9 Vrr1675E12
     K06K00A  C2006 05 17.53391 12 18 48.92 -25 22 06.4          19.2 Vrr1675E12
     K06K00A  C2006 05 17.55498 12 18 54.61 -25 20 24.6          19.3 Vrr1675E12
     K06K00A  C2006 05 17.56464 12 18 57.27 -25 19 39.8          18.6 Vrr1675E12
     K06K00A  C2006 05 17.57407 12 18 59.86 -25 18 53.7          18.3 Vrr1675E12
     K06K00A  C2006 05 17.58347 12 19 02.28 -25 18 08.5          18.9 Vrr1676E12
     K06K00A  C2006 05 17.59351 12 19 05.08 -25 17 20.9          18.7 Vrr1676E12
     K06K00A  C2006 05 17.61282 12 19 10.23 -25 15 48.4          18.9 Vrr1676E12
     K06K00A  C2006 05 17.62251 12 19 12.90 -25 15 03.1          18.6 Vrr1676E12
     K06K00A %C2006 05 18.00214 12 20 58.31 -24 45 27.5          18.2 Ror1676807
     K06K00A %C2006 05 18.00694 12 20 59.60 -24 45 05.1          18.3 Ror1676807
     K06K00A %C2006 05 18.01155 12 21 00.81 -24 44 43.4          18.4 Ror1676807
     K06K00A  C2006 05 18.05985 12 21 12.58 -24 41 02.5          18.8 Rrr1676I77
     K06K00A  C2006 05 18.06346 12 21 13.50 -24 40 45.8          18.5 Rrr1676I77
     K06K00A  C2006 05 18.06706 12 21 14.58 -24 40 28.8          18.5 Rrr1676I77
     K06K00A  C2006 05 18.11268 12 21 27.59 -24 37 19.0          19.4 Rrr1676734
     K06K00A  C2006 05 18.11727 12 21 28.85 -24 36 56.9          19.1 Rrr1676734
     K06K00A  C2006 05 18.12212 12 21 30.09 -24 36 37.4          19.8 Rrr1676734
     K06K00A  C2006 05 18.12679 12 21 31.27 -24 36 16.3          19.3 Rrr1676734
     K06K00A  C2006 05 18.13286 12 21 32.93 -24 35 43.8          18.8 Rrr1676734
     K06K00A  C2006 05 18.17027 12 21 42.94 -24 32 51.6          18.8 Rcr1676854
     K06K00A  C2006 05 18.17512 12 21 44.20 -24 32 29.2          18.8 Rcr1676854
     K06K00A  C2006 05 18.40760 12 22 46.27 -24 14 22.0          18.7 Vrr1676E12
     K06K00A  C2006 05 18.40932 12 22 46.74 -24 14 13.9          19.1 Vrr1676E12
     K06K00A  C2006 05 18.41100 12 22 47.20 -24 14 07.4          18.6 Vrr1676E12
     K06K00A  C2006 05 18.41268 12 22 47.56 -24 13 58.5          19.4 Vrr1676E12
     K06K00A  C2006 05 18.43868 12 22 53.93 -24 11 57.1          19.1 Ror1676474
     K06K00A  C2006 05 18.44119 12 22 54.38 -24 11 45.2                or1676474
     K06K00A  C2006 05 18.44370 12 22 55.02 -24 11 30.8          18.9 Ror1676474
     K06K00A  C2006 05 18.44622 12 22 55.67 -24 11 21.7          19.1 Ror1676474
     K06K00A  C2006 05 19.44633 12 27 11.77 -22 57 29.7          19.3 Vrr2146E12
     K06K00A  C2006 05 19.44698 12 27 11.98 -22 57 26.4          19.4 Vrr2146E12
     K06K00A  C2006 05 19.44762 12 27 12.16 -22 57 23.9          18.8 Vrr2146E12
     K06K00A  C2006 05 19.44891 12 27 12.42 -22 57 18.7          19.5 Vrr2146E12
     K06K00A  C2006 05 21.45630 12 35 05.47 -20 39 40.2          19.0 Vrr2146E12
     K06K00A  C2006 05 21.46542 12 35 07.34 -20 39 05.3          19.4 Vrr2146E12
     K06K00A  C2006 05 21.47457 12 35 09.44 -20 38 28.5          19.2 Vrr2146E12
     K06K00A  C2006 05 21.48375 12 35 11.38 -20 37 53.1          19.4 Vrr2146E12
     K06K00A  C2006 05 21.60935 12 35 38.47 -20 29 43.0          18.9 Vrr2146E12
     K06K00A  C2006 05 21.61065 12 35 38.79 -20 29 36.8          19.6 Vrr2146E12
     K06K00A  C2006 05 21.61130 12 35 38.94 -20 29 33.7          18.6 Vrr2146E12
     K06K00A  C2006 05 21.61194 12 35 39.04 -20 29 32.0          19.4 Vrr2146E12
     K06K00A  C2006 05 22.49417 12 38 51.28 -19 33 56.1          19.4 Vrr2146E12
     K06K00A  C2006 05 22.50351 12 38 53.19 -19 33 21.8          20.1 Vrr2146E12
     K06K00A  C2006 05 22.51288 12 38 55.24 -19 32 46.1          19.1 Vrr2146E12
     K06K00A  C2006 05 22.52225 12 38 57.12 -19 32 11.6          19.9 Vrr2146E12
     K06K00A  C2006 05 23.50450 12 42 20.80 -18 33 18.5          19.9 Vrr2146E12
     K06K00A  C2006 05 23.51215 12 42 22.24 -18 32 52.3          19.4 Vrr2146E12
