     K06L01D* C2006 06 03.63330 17 43 21.15 -29 49 47.4          17.8 Vrr3636428
     K06L01D  C2006 06 03.69423 17 43 30.84 -29 54 00.4          17.7 Vrr3636428
     K06L01D  C2006 06 04.47384 17 46 10.91 -30 52 17.1          17.5 Vrr3636428
     K06L01D  C2006 06 04.48432 17 46 12.97 -30 53 08.1          17.6 Vrr3636428
     K06L01D  C2006 06 04.56110 17 46 27.71 -30 59 25.5          17.3 Vrr3636428
     K06L01D  C2006 06 04.58809 17 46 32.77 -31 01 37.3          17.7 Vrr3636428
     K06L01D  C2006 06 04.58943 17 46 33.04 -31 01 44.5          17.6 Vrr3636428
     K06L01D  C2006 06 04.65237 17 46 45.02 -31 06 51.8          17.4 Vrr3636428
     K06L01D  C2006 06 04.65372 17 46 45.26 -31 06 57.7                rr3636428
     K06L01D  C2006 06 05.15512 17 48 42.53 -31 50 01.4          17.4 Rrr3636I77
     K06L01D  C2006 06 05.16124 17 48 43.81 -31 50 34.1          17.5 Rrr3636I77
     K06L01D  C2006 06 05.16253 17 48 44.07 -31 50 40.8          17.4 Rrr3636I77
     K06L01D  C2006 06 05.16994 17 48 45.63 -31 51 20.3          17.5 Rrr3636I77
     K06L01D 2C2006 06 05.28488 17 49 15.61 -32 02 29.6          16.5 Ror3636H06
     K06L01D 2C2006 06 05.29115 17 49 16.96 -32 03 06.3          16.5 Ror3636H06
     K06L01D 2C2006 06 05.29751 17 49 18.29 -32 03 39.2          17.1 Ror3636H06
     K06L01D  C2006 06 05.34340 17 49 29.07 -32 07 54.3          16.6 Rcr3636651
     K06L01D  C2006 06 05.34515 17 49 29.36 -32 08 02.8          17.0 Rcr3636651
     K06L01D  C2006 06 05.35615 17 49 30.72 -32 09 06.2                rr3636H36
     K06L01D  C2006 06 05.36012 17 49 31.65 -32 09 28.2          17.7 Rrr3636H36
     K06L01D  C2006 06 05.56700 17 50 28.11 -32 27 51.5                rr3636428
     K06L01D  C2006 06 05.57123 17 50 29.04 -32 28 15.8                rr3636428
     K06L01D  C2006 06 05.58278 17 50 31.71 -32 29 22.3          17.5 Vrr3636428
     K06L01D  C2006 06 05.59578 17 50 34.81 -32 30 37.9          17.2 Vrr3636428
     K06L01D  C2006 06 11.06477 18 48 08.77 -48 22 54.1          16.2 Rcr4014844
     K06L01D  C2006 06 11.06538 18 48 09.66 -48 23 05.2          16.1 Rcr4014844
     K06L01D  C2006 06 11.06692 18 48 11.87 -48 23 33.4          15.9 Rcr4014844
     K06L01D  C2006 06 11.06863 18 48 14.33 -48 24 04.8          16.1 Rcr4014844
     K06L01D  C2006 06 11.06920 18 48 15.18 -48 24 15.3          16.2 Rcr4014844
     K06L01D  C2006 06 11.06978 18 48 15.96 -48 24 25.9          16.2 Rcr4014844
