     K06O03K* C2006 07 22.59315 20 46 47.10 -39 54 27.1          17.2 Vrr5185E12
     K06O03K  C2006 07 22.59358 20 46 48.36 -39 54 08.2          17.4 Vrr5185E12
     K06O03K  C2006 07 22.59399 20 46 49.62 -39 53 49.7          17.5 Vrr5185E12
     K06O03K  C2006 07 22.60145 20 47 11.36 -39 48 20.9          17.3 Vrr5185E12
     K06O03K  C2006 07 22.60188 20 47 12.62 -39 48 01.8          17.5 Vrr5185E12
     K06O03K  C2006 07 22.60230 20 47 13.92 -39 47 42.5          17.4 Vrr5185E12
     K06O03K  C2006 07 22.60272 20 47 15.10 -39 47 24.4          17.4 Vrr5185E12
     K06O03K  C2006 07 22.60314 20 47 16.33 -39 47 05.6          17.6 Vrr5185E12
     K06O03K  C2006 07 22.60385 20 47 18.45 -39 46 33.2          17.6 Vrr5185E12
     K06O03K  C2006 07 22.60429 20 47 19.71 -39 46 13.8          17.6 Vrr5185E12
     K06O03K  C2006 07 22.60471 20 47 20.97 -39 45 54.8          17.4 Vrr5185E12
     K06O03K  C2006 07 22.60513 20 47 22.20 -39 45 35.8          17.6 Vrr5185E12
     K06O03K  C2006 07 22.60556 20 47 23.46 -39 45 16.7          17.5 Vrr5185E12
     K06O03K  C2006 07 22.60676 20 47 27.02 -39 44 22.3          17.4 Vrr5185E12
     K06O03K  C2006 07 22.60718 20 47 28.24 -39 44 04.2          17.4 Vrr5185E12
     K06O03K  C2006 07 22.60759 20 47 29.50 -39 43 44.4          17.3 Vrr5185E12
     K06O03K  C2006 07 22.60802 20 47 30.73 -39 43 25.7          17.4 Vrr5185E12
     K06O03K  C2006 07 22.65069 20 49 42.85 -39 08 59.2          17.5 Vrr5185E12
     K06O03K  C2006 07 22.65093 20 49 43.64 -39 08 46.7          17.6 Vrr5185E12
     K06O03K  C2006 07 22.65141 20 49 45.22 -39 08 23.1          17.1 Vrr5185E12
     K06O03K  C2006 07 22.65165 20 49 45.98 -39 08 10.0          17.2 Vrr5185E12
     K06O03K  C2006 07 22.65557 20 49 58.76 -39 04 45.9          17.1 Vrr5185E12
     K06O03K  C2006 07 22.65582 20 49 59.59 -39 04 33.2          16.8 Vrr5185E12
     K06O03K  C2006 07 22.65606 20 50 00.34 -39 04 21.3          16.7 Vrr5185E12
     K06O03K  C2006 07 22.65630 20 50 01.14 -39 04 07.5          17.1 Vrr5185E12
     K06O03K  C2006 07 22.65655 20 50 01.93 -39 03 55.2          17.4 Vrr5185E12
     K06O03K  C2006 07 22.81855 21 00 58.24 -36 01 47.2          16.8 Vrr5185E12
     K06O03K  C2006 07 22.81887 21 00 59.72 -36 01 21.4          16.8 Vrr5185E12
     K06O03K  C2006 07 22.81917 21 01 01.20 -36 00 56.7          16.9 Vrr5185E12
     K06O03K  C2006 07 23.03331 21 30 12.55 -29 08 05.2          16.3 Rrr5185I77
     K06O03K  C2006 07 23.03387 21 30 17.47 -29 06 33.1          16.5 Rrr5185I77
     K06O03K  C2006 07 23.03443 21 30 22.51 -29 05 00.2          16.3 Rrr5185I77
     K06O03K  C2006 07 23.03517 21 30 29.11 -29 02 56.9          16.2 Rrr5185I77
     K06O03K  C2006 07 23.03629 21 30 39.09 -28 59 49.8          16.1 Rrr5185I77
     K06O03K  C2006 07 23.03723 21 30 47.75 -28 57 11.2          16.3 Rrr5185I77
     K06O03K  C2006 07 23.07596121 35 00.24 -27 36 57.3                rr5185J95
     K06O03K  C2006 07 23.07991921 35 39.52 -27 23 48.4                rr5185J95
     K06O03K  C2006 07 23.08005821 35 40.88 -27 23 19.2          16.4 Rrr5185J95
     K06O03K  C2006 07 23.24020 22 15 39.40 -13 59 43.1          15.4 Vrr5185G96
     K06O03K  C2006 07 23.24049 22 15 44.40 -13 57 44.3          15.3 Vrr5185G96
     K06O03K  C2006 07 23.24077 22 15 49.44 -13 55 45.9          15.4 Vrr5185G96
     K06O03K  C2006 07 23.24105 22 15 54.40 -13 53 46.5          15.4 Vrr5185G96
     K06O03K  C2006 07 23.24452 22 16 56.30 -13 29 15.2          15.3 Vrr5185G96
     K06O03K  C2006 07 23.24480 22 17 01.29 -13 27 16.2          15.3 Vrr5185G96
     K06O03K  C2006 07 23.24507 22 17 06.46 -13 25 12.2          15.3 Vrr5185G96
     K06O03K  C2006 07 23.24536 22 17 11.63 -13 23 09.3          15.2 Vrr5185G96
     K06O03K  C2006 07 23.28903 22 31 19.06 -07 34 38.4          15.3 Vrr5185G96
     K06O03K  C2006 07 23.28931 22 31 25.02 -07 32 06.8          15.2 Vrr5185G96
     K06O03K  C2006 07 23.28960 22 31 31.00 -07 29 35.3          15.3 Vrr5185G96
     K06O03K  C2006 07 23.28990 22 31 37.35 -07 26 54.3          15.2 Vrr5185G96
     K06O03K  C2006 07 23.29046 22 31 49.05 -07 21 56.4          15.3 Vrr5185G96
     K06O03K  C2006 07 23.29075 22 31 55.12 -07 19 22.5          15.2 Vrr5185G96
     K06O03K  C2006 07 23.29109 22 32 02.28 -07 16 21.2          15.1 Vrr5185G96
     K06O03K  C2006 07 23.29138 22 32 08.57 -07 13 41.6          15.1 Vrr5185G96
     K06O03K  C2006 07 23.30209 22 35 02.36 -05 42 04.6          16.0 Rrr5185734
     K06O03K  C2006 07 23.30277 22 35 16.96 -05 35 46.4          16.1 Rrr5185734
     K06O03K  C2006 07 23.31106 22 38 20.20 -04 16 19.9          15.7 Rrr5185734
     K06O03K  C2006 07 23.31114 22 38 22.00 -04 15 33.8          15.6 Rrr5185734
     K06O03K  C2006 07 23.31146 22 38 29.08 -04 12 29.3          15.4 Rrr5185734
     K06O03K  C2006 07 23.31177 22 38 36.13 -04 09 25.5          15.1 Rrr5185734
     K06O03K  C2006 07 23.34615 22 53 23.52 +01 58 04.8          14.9 Vrr5185G96
     K06O03K  C2006 07 23.34644 22 53 30.87 +02 01 17.0          15.0 Vrr5185G96
     K06O03K  C2006 07 23.34673 22 53 38.17 +02 04 28.8          15.2 Vrr5185G96
     K06O03K  C2006 07 23.34701 22 53 45.56 +02 07 42.4          14.9 Vrr5185G96
     K06O03K  C2006 07 23.35402 22 56 48.30 +03 27 28.5          15.1 Vrr5185G96
     K06O03K  C2006 07 23.35433 22 56 56.43 +03 31 01.4          15.4 Vrr5185G96
     K06O03K  C2006 07 23.35461 22 57 03.92 +03 34 17.4          15.1 Vrr5185G96
     K06O03K  C2006 07 23.35489 22 57 11.12 +03 37 25.8          15.2 Vrr5185G96
     K06O03K  C2006 07 23.36436 23 01 26.52 +05 28 33.8          15.3 Vrr5185G96
     K06O03K  C2006 07 23.36465 23 01 34.34 +05 31 57.1          15.1 Vrr5185G96
     K06O03K  C2006 07 23.36494 23 01 42.23 +05 35 22.7          15.1 Vrr5185G96
     K06O03K  C2006 07 23.36521 23 01 50.03 +05 38 45.7          15.1 Vrr5185G96
     K06O03K  C2006 07 23.40301 23 20 24.66 +13 31 55.5          15.2 Vrr5185G96
     K06O03K  C2006 07 23.40330 23 20 33.66 +13 35 38.2          15.4 Vrr5185G96
     K06O03K  C2006 07 23.40364 23 20 44.47 +13 40 05.4          15.3 Vrr5185G96
     K06O03K  C2006 07 23.40393 23 20 53.39 +13 43 45.5          15.4 Vrr5185G96
