     K06P01A [C2006 07 20.43356 21 05 53.56 -18 45 16.2                c~0C8E568
     K06P01A* C2006 08 13.23261 20 26 59.62 -20 12 06.9          19.6 Ror5753644
     K06P01A  C2006 08 13.25306 20 26 56.86 -20 12 10.7          19.3 Ror5753644
     K06P01A  C2006 08 13.27344 20 26 54.06 -20 12 15.0          19.5 Ror5753644
     K06P01A  C2006 08 14.96758 20 23 12.35 -20 17 37.2                or5753204
     K06P01A  C2006 08 14.97705 20 23 11.09 -20 17 39.8          19.1 Ror5753204
     K06P01A  C2006 08 15.20138 20 22 41.83 -20 18 18.7          19.3 Rrr5753734
     K06P01A  C2006 08 15.20576 20 22 41.28 -20 18 19.3          19.6 Rrr5753734
     K06P01A  C2006 08 15.20653 20 22 41.53 -20 18 18.0          19.8 Ror5753644
     K06P01A  C2006 08 15.20891 20 22 41.22 -20 18 18.5          19.6 Ror5753644
     K06P01A  C2006 08 15.21309 20 22 40.26 -20 18 20.9          18.8 Rrr5753734
     K06P01A  C2006 08 15.22697 20 22 38.67 -20 18 22.1          19.4 Ror5753644
     K06P01A  C2006 08 15.22935 20 22 38.34 -20 18 22.5          19.2 Ror5753644
     K06P01A  C2006 08 15.24736 20 22 35.82 -20 18 26.0          19.7 Ror5753644
     K06P01A  C2006 08 15.24975 20 22 35.49 -20 18 26.0          19.4 Ror5753644
     K06P01A  C2006 08 16.11703 20 20 40.68 -20 20 58.3          18.5 Rrr5753649
     K06P01A  C2006 08 16.12058 20 20 40.19 -20 20 58.9          19.1 Rrr5753649
     K06P01A  C2006 08 16.12414 20 20 39.67 -20 21 00.1          19.1 Rrr5753649
     K06P01A  C2006 08 16.12769 20 20 39.15 -20 21 00.1                rr5753649
     K06P01A  C2006 08 16.17337 20 20 33.20 -20 21 06.3          19.5 Ror7102644
     K06P01A  C2006 08 16.19621 20 20 30.03 -20 21 10.6          19.5 Ror7102644
     K06P01A  C2006 08 16.21713 20 20 27.09 -20 21 14.4          19.3 Ror7102644
     K06P01A  C2006 08 19.87753 20 12 11.90 -20 30 21.9          19   Ror6092461
     K06P01A  C2006 08 19.88098 20 12 11.37 -20 30 22.1                or6092461
     K06P01A IC2006 08 19.88445 20 12 10.84 -20 30 21.4                or6092461
     K06P01A  C2006 08 19.88471720 12 11.20 -20 30 22.6          18.8 Rcr6092A14
     K06P01A  C2006 08 24.09529 20 02 37.56 -20 37 12.1          19.4 Rrr6092734
     K06P01A  C2006 08 24.09968 20 02 36.95 -20 37 13.2          19.8 Rrr6092734
     K06P01A  C2006 08 24.10407 20 02 36.37 -20 37 13.9          19.5 Rrr6092734
     K06P01A  C2006 08 24.15178 20 02 29.96 -20 37 15.0          19.3 Ror6092644
     K06P01A  C2006 08 24.15298 20 02 29.80 -20 37 15.4          19.5 Ror6092644
     K06P01A  C2006 08 24.17254 20 02 27.01 -20 37 17.1          19.1 Ror6092644
     K06P01A  C2006 08 24.17374 20 02 26.83 -20 37 17.0          19.0 Ror6092644
