     K06R00Z  C2006 09 01.24777 22 29 22.17 +16 54 44.7          19.5  cr8701704
     K06R00Z  C2006 09 01.26980 22 29 21.26 +16 55 00.1          19.8  cr8701704
     K06R00Z  C2006 09 01.28075 22 29 20.77 +16 55 07.3          19.7  cr8701704
     K06R00Z  C2006 09 01.29170 22 29 20.32 +16 55 14.5          19.6  cr8701704
     K06R00Z* C2006 09 04.86520 22 27 24.76 +17 36 14.7          18.7 V r8701240
     K06R00Z  C2006 09 04.86786 22 27 24.63 +17 36 17.0          18.5 V r8701240
     K06R00Z  C2006 09 04.87318 22 27 24.38 +17 36 20.8          18.4 V r8701240
     K06R00Z  C2006 09 04.87584 22 27 24.27 +17 36 22.5          18.6 V r8701240
     K06R00Z  C2006 09 05.91990 22 26 45.98 +17 48 30.4          18.3 V r8701240
     K06R00Z  C2006 09 05.92123 22 26 45.91 +17 48 31.4          18.3 V r8701240
     K06R00Z  C2006 09 05.92256 22 26 45.85 +17 48 32.6          18.4 V r8701240
     K06R00Z  C2006 09 05.92521 22 26 45.71 +17 48 34.9          18.6 V r8701240
     K06R00Z  C2006 09 05.95578 22 26 44.19 +17 48 56.5          17.9 V r8701240
     K06R00Z  C2006 09 05.95844 22 26 44.09 +17 48 58.3          18.6 V r8701240
     K06R00Z  C2006 09 06.80849 22 26 13.28 +17 58 50.2          18.1 Vrr8701240
     K06R00Z  C2006 09 06.81094 22 26 13.17 +17 58 52.1          18.2 Vrr8701240
     K06R00Z  C2006 09 06.81339 22 26 13.05 +17 58 54.2          18.1 Vrr8701240
     K06R00Z  C2006 09 06.81584 22 26 12.95 +17 58 56.0          18.7 Vrr8701240
     K06R00Z  C2006 09 06.82074 22 26 12.72 +17 58 59.9          18.5 Vrr8701240
     K06R00Z  C2006 09 06.82516 22 26 12.52 +17 59 03.3          18.6 Vrr8701240
     K06R00Z  C2006 09 06.83300 22 26 12.17 +17 59 09.7          18.2 Vrr8701240
     K06R00Z  C2006 09 06.89575 22 26 09.17 +17 59 54.5          18.8 Vrr8701240
     K06R00Z  C2006 09 06.89917 22 26 09.00 +17 59 57.1          19.1 Vrr8701240
     K06R00Z  C2006 09 06.91240 22 26 08.33 +18 00 07.1          18.3 Vrr8701240
     K06R00Z  C2006 09 07.29248 22 25 52.31 +18 04 42.4          18.2 Rrr8701H45
