     K06S25D* C2006 09 20.24479 22 00 54.79 +19 13 16.7          18.6 Vrr9613703
     K06S25D  C2006 09 20.25079 22 01 01.30 +19 13 38.4          18.8 Vrr9613703
     K06S25D  C2006 09 20.25677 22 01 07.86 +19 14 00.7          18.6 Vrr9613703
     K06S25D  C2006 09 20.29227 22 01 46.63 +19 16 07.4          18.1 Vrr9613703
     K06S25D  C2006 09 20.29332 22 01 47.78 +19 16 11.6          18.5 Vrr9613703
     K06S25D  C2006 09 20.29384 22 01 48.32 +19 16 13.1          18.6 Vrr9613703
     K06S25D  C2006 09 20.83913 22 12 15.40 +19 46 55.4          18.5 Vor9613A44
     K06S25D  C2006 09 20.85043 22 12 27.40 +19 47 33.6          19.4 Vor9613A44
     K06S25D  C2006 09 20.85635 22 12 33.73 +19 47 51.9          19.3 Vor9613A44
     K06S25D  C2006 09 20.86107 22 12 39.44 +19 48 06.9          19.2 Vor9613198
     K06S25D  C2006 09 20.86180 22 12 40.23 +19 48 09.3          19.2 Vor9613198
     K06S25D  C2006 09 20.86273 22 12 40.43 +19 48 13.3          19.1 Vor9613A44
     K06S25D  C2006 09 20.86437 22 12 42.87 +19 48 17.5          19.2 Vor9613198
     K06S25D  C2006 09 20.86547 22 12 44.04 +19 48 21.1          19.0 Vor9613198
     K06S25D  C2006 09 21.11247 22 17 22.05 +20 01 41.9          18.6 Ror9613699
     K06S25D  C2006 09 21.13076 22 17 41.27 +20 02 40.6                or9613699
     K06S25D  C2006 09 21.14903 22 18 00.20 +20 03 39.5                or9613699
     K06S25D  C2006 09 21.16732 22 18 19.00 +20 04 36.9                or9613699
     K06S25D  C2006 09 21.26708 22 19 57.80 +20 09 33.0          19.2 Rrr9613H45
     K06S25D  C2006 09 21.26929 22 20 00.09 +20 09 39.0          19.1 Rrr9613H45
     K06S25D  C2006 09 21.79396 22 29 25.70 +20 32 51.0          18.6 Vrr9613A17
     K06S25D  C2006 09 21.81179 22 29 43.56 +20 33 41.7          18.6 Vrr9613240
     K06S25D  C2006 09 21.81307 22 29 44.84 +20 33 45.1          18.6 Vrr9613240
     K06S25D  C2006 09 21.81564 22 29 47.40 +20 33 52.2          18.7 Vrr9613240
     K06S25D  C2006 09 21.81693 22 29 48.67 +20 33 55.5          18.8 Vrr9613240
     K06S25D  C2006 09 21.81821 22 29 49.93 +20 33 59.1          18.7 Vrr9613240
     K06S25D  C2006 09 21.82027 22 29 51.95 +20 34 04.8          18.7 Vrr9613240
     K06S25D  C2006 09 21.82206 22 29 53.73 +20 34 09.3          18.5 Vrr9613240
     K06S25D  C2006 09 21.82229 22 29 54.00 +20 34 13.1          18.9 Vor9613151
     K06S25D  C2006 09 21.82309 22 29 54.76 +20 34 12.2          18.8 Vrr9613240
     K06S25D  C2006 09 21.82332 22 29 54.30 +20 34 08.8          19.2 Rrr9613113
     K06S25D  C2006 09 21.82370 22 29 55.44 +20 34 16.9          19.0 Vor9613151
     K06S25D  C2006 09 21.82418 22 29 55.18 +20 34 10.9          18.9 Rrr9613113
     K06S25D  C2006 09 21.82463 22 29 56.29 +20 34 16.3          18.7 Vrr9613240
     K06S25D  C2006 09 21.82506 22 29 56.00 +20 34 13.0          19.1 Rrr9613113
     K06S25D  C2006 09 21.82511 22 29 56.88 +20 34 20.8          18.7 Vor9613151
     K06S25D  C2006 09 21.82540 22 29 57.06 +20 34 18.3          18.7 Vrr9613240
     K06S25D  C2006 09 21.84377 22 30 15.11 +20 35 04.4          18.6 Vrr9613A17
     K06S25D  C2006 09 21.87753 22 30 48.29 +20 36 32.3          18.6 Vrr9613A17
     K06S25D  C2006 09 21.88324 22 30 53.05 +20 36 49.4                cr9613246
     K06S25D  C2006 09 21.88345 22 30 53.35 +20 36 49.7                cr9613246
     K06S25D  C2006 09 21.88560 22 30 55.41 +20 36 55.6          18.5 Rcr9613246
     K06S25D  C2006 09 21.88667 22 30 56.38 +20 36 57.8                cr9613246
     K06S25D  C2006 09 21.88749 22 30 57.18 +20 37 00.4                cr9613246
     K06S25D tC2006 09 22.12442 22 35 05.47 +20 47 06.3          19.3 Vds1274291
     K06S25D tC2006 09 22.12872 22 35 09.59 +20 47 16.9          18.8 Vds1274291
     K06S25D tC2006 09 22.13299 22 35 13.69 +20 47 27.9          19.5 Vds1274291
