i0904K06V00A* C2006 11 01.19457 02 28 56.38 +22 48 18.1          20.5 Vrs5835G96
i0904K06V00A  C2006 11 01.20289 02 28 55.74 +22 48 13.6          20.6 Vrs5835G96
i0904K06V00A  C2006 11 01.21140 02 28 55.02 +22 48 08.9          20.3 Vrs5835G96
i0904K06V00A  C2006 11 01.24955 02 28 51.96 +22 47 51.3          20.9 Vrs5835G96
i0904K06V00A  C2006 11 01.25308 02 28 51.63 +22 47 49.5          20.3 Vrs5835G96
i0904K06V00A  C2006 11 01.25661 02 28 51.31 +22 47 47.7          20.4 Vrs5835G96
i0904K06V00A  C2006 11 01.26014 02 28 51.06 +22 47 46.1          20.5 Vrs5835G96
i0904K06V00A  C2006 11 01.48410 02 28 32.98 +22 45 53.6          21.2 Vrs5835G96
i0904K06V00A  C2006 11 01.48556 02 28 32.91 +22 45 52.5          20.4 Vrs5835G96
i0904K06V00A  C2006 11 01.48703 02 28 32.77 +22 45 52.1          21.0 Vrs5835G96
i0904K06V00A  C2006 11 01.48848 02 28 32.62 +22 45 51.1          20.5 Vrs5835G96
i0904K06V00A  C2006 11 01.86710 02 28 04.10 +22 42 41.5                rs5835J95
i0904K06V00A  C2006 11 01.88464 02 28 02.78 +22 42 33.0                rs5835J95
i0904K06V00A  C2006 11 01.90234 02 28 01.33 +22 42 24.7          20.5 Rrs5835J95
i0904K06V00A  C2006 11 10.32336 02 17 49.73 +21 30 35.1          21.1 Vds6588291
i0904K06V00A  C2006 11 10.32949 02 17 49.31 +21 30 31.9          21.2 Vds6588291
i0904K06V00A  C2006 11 10.33517 02 17 48.91 +21 30 28.0          20.6 Vds6588291
i0904K06V00A  C2006 11 11.04428 02 17 01.95 +21 24 20.1          20.5 Vrs6588941
i0904K06V00A  C2006 11 11.04994 02 17 01.58 +21 24 16.9          20.7 Vrs6588941
i0904K06V00A  C2006 11 11.05241 02 17 01.39 +21 24 15.8          20.7 Vrs6588941
