     K06W03Z* C2006 11 21.32045 04 41 46.10 +12 17 18.2          19.8 Vrs9004G96
     K06W03Z  C2006 11 21.33098 04 41 45.09 +12 17 10.1          20.2 Vrs9004G96
     K06W03Z  C2006 11 21.34160 04 41 44.05 +12 17 01.8          19.9 Vrs9004G96
     K06W03Z  C2006 11 21.35213 04 41 43.00 +12 16 53.5          20.0 Vrs9004G96
     K06W03Z  C2006 11 22.21171 04 40 21.82 +12 05 34.1          20.1 Vrs9004G96
     K06W03Z  C2006 11 22.21536 04 40 21.43 +12 05 31.5          20.1 Vrs9004G96
     K06W03Z  C2006 11 22.21904 04 40 21.07 +12 05 28.2          20.5 Vrs9004G96
     K06W03Z  C2006 11 22.22275 04 40 20.67 +12 05 25.3          20.4 Vrs9004G96
     K06W03Z  C2006 11 22.24635 04 40 18.08 +12 05 05.6          21.2 Rrs9004734
     K06W03Z  C2006 11 22.25074 04 40 17.57 +12 05 02.7          20.7 Rrs9004734
     K06W03Z  C2006 11 22.25513 04 40 17.14 +12 04 58.9          20.8 Rrs9004734
     K06W03Z  C2006 11 22.25952 04 40 16.69 +12 04 55.5          20.9 Rrs9004734
     K06W03Z  C2006 11 22.28325 04 40 14.48 +12 04 37.7          19.8 Vrs9004G96
     K06W03Z  C2006 11 22.28388 04 40 14.41 +12 04 37.4          20.2 Vrs9004G96
     K06W03Z  C2006 11 22.28994 04 40 13.80 +12 04 32.4          19.8 Vrs9004G96
     K06W03Z  C2006 11 22.29057 04 40 13.72 +12 04 31.9          19.9 Vrs9004G96
     K06W03Z  C2006 11 22.29664 04 40 13.11 +12 04 27.3          20.2 Vrs9004G96
     K06W03Z  C2006 11 22.29726 04 40 13.04 +12 04 26.6          20.2 Vrs9004G96
     K06W03Z  C2006 11 22.30327 04 40 12.39 +12 04 21.9          19.9 Vrs9004G96
     K06W03Z  C2006 11 22.30389 04 40 12.36 +12 04 21.4          20.2 Vrs9004G96
     K06W03Z  C2006 11 22.30778 04 40 11.92 +12 04 18.4          19.8 Vrs9004G96
     K06W03Z  C2006 11 22.30979 04 40 11.71 +12 04 17.1          19.7 Vrs9004G96
