     K07A02A* C2007 01 09.25407 03 37 26.58 +24 10 29.7          18.8 Vrt5598703
     K07A02A  C2007 01 09.26077 03 37 33.42 +24 08 16.6          19.0 Vrt5598703
     K07A02A  C2007 01 09.26750 03 37 40.47 +24 06 01.1          18.7 Vrt5598703
     K07A02A  C2007 01 09.27422 03 37 47.49 +24 03 46.2          19.3 Vrt5598703
     K07A02A  C2007 01 09.28455 03 37 58.40 +24 00 18.7          18.8 Vrt5598703
     K07A02A  C2007 01 09.28525 03 37 59.08 +24 00 04.4          18.5 Vrt5598703
     K07A02A  C2007 01 09.28596 03 37 59.73 +23 59 51.3          18.5 Vrt5598703
     K07A02A  C2007 01 09.28666 03 38 00.34 +23 59 37.7          19.2 Vrt5598703
     K07A02A  C2007 01 10.23797 03 54 24.04 +19 03 53.1          18.7 Vrt5598G96
     K07A02A  C2007 01 10.23860 03 54 24.55 +19 03 41.8          18.8 Vrt5598G96
     K07A02A  C2007 01 10.23890 03 54 24.80 +19 03 36.2          18.9 Vrt5598G96
     K07A02A  C2007 01 10.23921 03 54 25.09 +19 03 30.6          18.8 Vrt5598G96
     K07A02A  C2007 01 10.23953 03 54 25.34 +19 03 25.1          19.0 Vrt5598G96
     K07A02A  C2007 01 10.23984 03 54 25.59 +19 03 19.5          19.1 Vrt5598G96
     K07A02A  C2007 01 10.24014 03 54 25.84 +19 03 14.1          19.3 Vrt5598G96
     K07A02A  C2007 01 10.24226 03 54 27.64 +19 02 36.3          19.1 Vrt5598G96
     K07A02A  C2007 01 10.24795 03 54 32.47 +19 00 54.0          19.0 Vrt5598G96
     K07A02A  C2007 01 10.25359 03 54 37.26 +18 59 12.7          18.6 Vrt5598G96
     K07A02A  C2007 01 10.25921 03 54 42.08 +18 57 31.7          19.1 Vrt5598G96
     K07A02A  C2007 01 11.85373 04 16 31.02 +11 50 03.5                rt5598J95
     K07A02A  C2007 01 11.85786 04 16 33.65 +11 49 03.9                rt5598J95
     K07A02A  C2007 01 11.86294 04 16 36.95 +11 47 50.9          19.1 Rrt5598J95
     K07A02A  C2007 01 15.86393 04 51 49.09 -00 18 33.6                ct6438246
     K07A02A  C2007 01 15.86435 04 51 49.31 -00 18 37.1                ct6438246
     K07A02A  C2007 01 15.86543 04 51 49.62 -00 18 45.7                ct6438246
     K07A02A  C2007 01 15.86586 04 51 49.76 -00 18 48.8                ct6438246
     K07A02A  C2007 01 15.86650 04 51 50.07 -00 18 55.8                ct6438246
     K07A02A  C2007 01 15.86818 04 51 50.57 -00 19 08.9                ct6438246
     K07A02A HC2007 01 28.22706 05 39 27.86 -13 43 48.8                ot8210291
     K07A02A HC2007 01 28.23106 05 39 28.25 -13 43 53.8                ot8210291
     K07A02A  C2007 01 28.23490 05 39 28.68 -13 44 01.6                ot8210291
