     K07C19A* C2007 02 10.26806 10 03 59.25 +00 33 17.4          19.3 Vrt9558703
     K07C19A  C2007 02 10.27446 10 03 58.53 +00 33 21.4          19.1 Vrt9558703
     K07C19A  C2007 02 10.28088 10 03 57.78 +00 33 24.6          18.9 Vrt9558703
     K07C19A  C2007 02 10.28733 10 03 57.09 +00 33 27.4          18.9 Vrt9558703
     K07C19A  C2007 02 10.35902 10 03 48.74 +00 34 05.3          19.2 Vrt9558703
     K07C19A  C2007 02 10.36598 10 03 47.95 +00 34 09.7          19.2 Vrt9558703
     K07C19A  C2007 02 10.56089 10 03 26.72 +00 35 53.9          19.4 Vot9558D35
     K07C19A  C2007 02 10.56219 10 03 26.58 +00 35 54.6          18.6 Vot9558D35
     K07C19A  C2007 02 10.56500 10 03 26.27 +00 35 55.8          19.7 Vot9558D35
     K07C19A  C2007 02 10.97806 10 02 38.86 +00 39 35.4          18.3 Rot9558473
     K07C19A  C2007 02 10.98197 10 02 38.39 +00 39 37.3          18.2 Rot9558473
     K07C19A  C2007 02 10.98587 10 02 37.92 +00 39 39.2          18.1 Rot9558473
     K07C19A  C2007 02 11.14867 10 02 19.20 +00 41 21.0          18.4 Rrt9558I77
     K07C19A  C2007 02 11.15202 10 02 18.78 +00 41 22.9          18.5 Rrt9558I77
     K07C19A  C2007 02 11.15528 10 02 18.39 +00 41 24.6          18.3 Rrt9558I77
     K07C19A  C2007 02 11.35244 10 01 55.32 +00 43 03.7          18.7 Rrt9558H36
     K07C19A  C2007 02 11.35684 10 01 54.80 +00 43 06.6          18.6 Rrt9558H36
     K07C19A  C2007 02 11.36124 10 01 54.21 +00 43 09.2          18.8 Rrt9558H36
     K07C19A 4C2007 02 13.29895 09 57 59.84 +01 02 32.2          17.9 Rot9558F65
     K07C19A 4C2007 02 13.30720 09 57 58.74 +01 02 37.3          17.9 Rot9558F65
     K07C19A 4C2007 02 13.32053 09 57 57.05 +01 02 45.7          17.9 Rot9558F65
     K07C19A 3C2007 02 14.40936 09 55 35.85 +01 14 43.2          18.4 Rot9558F65
     K07C19A 3C2007 02 14.41044 09 55 35.68 +01 14 44.2          18.2 Rot9558F65
     K07C19A 3C2007 02 14.41146 09 55 35.54 +01 14 44.6          18.3 Rot9558F65
     K07C19A  C2007 02 15.06934 09 54 07.06 +01 22 16.1                rt9558J95
     K07C19A  C2007 02 15.07355 09 54 06.47 +01 22 19.0                rt9558J95
     K07C19A  C2007 02 15.07776 09 54 05.90 +01 22 21.9          18.2 Rrt9558J95
     K07C19A  C2007 02 15.31281 09 53 33.97 +01 25 13.3          17.5 Rct9558711
     K07C19A  C2007 02 15.31978 09 53 33.00 +01 25 18.4          17.5 Rct9558711
     K07C19A  C2007 02 15.32675 09 53 32.02 +01 25 23.3          17.5 Rct9558711
     K07C19A  C2007 02 15.85200 09 52 19.84 +01 31 42.8          18.6 Vot9558151
     K07C19A  C2007 02 15.85353 09 52 19.62 +01 31 44.0          18.7 Vot9558151
     K07C19A  C2007 02 15.85506 09 52 19.39 +01 31 45.1          18.6 Vot9558151
     K07C19A  C2007 02 15.85853 09 52 18.91 +01 31 48.2          18.9 Vot9558151
     K07C19A  C2007 02 15.86348 09 52 18.19 +01 31 51.8          18.7 Vot9558151
     K07C19A  C2007 02 16.27133 09 51 20.48 +01 37 00.2          18.4 Vrt9558G96
     K07C19A  C2007 02 16.27421 09 51 20.05 +01 37 02.2          18.4 Vrt9558G96
     K07C19A  C2007 02 16.27712 09 51 19.62 +01 37 04.2          18.3 Vrt9558G96
     K07C19A  C2007 02 16.27993 09 51 19.22 +01 37 06.5          18.4 Vrt9558G96
     K07C19A  C2007 02 16.77944 09 50 07.95 +01 43 28.9          18.6 Vcu0458104
     K07C19A  C2007 02 16.78264 09 50 07.49 +01 43 31.0          18.1 Vcu0458104
     K07C19A  C2007 02 16.79514 09 50 05.70 +01 43 40.5          17.4 Vcu0458104
     K07C19A  C2007 02 16.98763 09 49 36.88 +01 46 10.3                ru0458B16
     K07C19A  C2007 02 16.99389 09 49 35.90 +01 46 15.5                ru0458B16
     K07C19A  C2007 02 16.99977 09 49 35.02 +01 46 20.8                ru0458B16
     K07C19A 5C2007 02 17.26747709 48 56.259+01 49 55.99         18.4 Rou0458673
     K07C19A 5C2007 02 17.27251209 48 55.518+01 50 00.10               ou0458673
     K07C19A 5C2007 02 17.28026609 48 54.342+01 50 06.34               ou0458673
     K07C19A 5C2007 02 17.28998809 48 52.864+01 50 13.95               ou0458673
     K07C19A  C2007 02 17.29208 09 48 52.45 +01 50 16.5          18.3 Vru0458703
     K07C19A  C2007 02 17.30001 09 48 51.19 +01 50 22.3          18.4 Vru0458703
     K07C19A  C2007 02 17.30795 09 48 50.04 +01 50 28.7          18.2 Vru0458703
     K07C19A  C2007 02 17.31589 09 48 48.81 +01 50 35.5          18.6 Vru0458703
     K07C19A  C2007 02 17.32148 09 48 47.95 +01 50 39.6          18.4 Vru0458G96
     K07C19A  C2007 02 17.32602 09 48 47.30 +01 50 43.2          18.4 Vru0458G96
     K07C19A  C2007 02 17.33056 09 48 46.58 +01 50 46.8          18.4 Vru0458G96
     K07C19A  C2007 02 17.87150 09 47 26.21 +01 58 05.2                cu0458246
     K07C19A  C2007 02 17.87227 09 47 26.11 +01 58 05.9                cu0458246
     K07C19A  C2007 02 17.87296 09 47 25.98 +01 58 06.5                cu0458246
     K07C19A  C2007 02 17.87456 09 47 25.75 +01 58 08.0                cu0458246
