     K07C26S* C2007 02 13.31602 09 14 42.28 +15 33 35.3          15.5  ct9569704
     K07C26S  C2007 02 13.32712 09 14 51.79 +15 38 15.6          15.7  ct9569704
     K07C26S  C2007 02 13.33832 09 15 01.40 +15 42 58.1          15.5  ct9569704
     K07C26S  C2007 02 13.34942 09 15 10.97 +15 47 38.5          15.3  ct9569704
     K07C26S  C2007 02 14.00343 09 25 51.10 +20 32 47.3          15.9 Vct9569595
     K07C26S  C2007 02 14.00428 09 25 51.96 +20 33 08.8          15.6 Vct9569595
     K07C26S  C2007 02 14.00513 09 25 52.83 +20 33 31.6          15.7 Vct9569595
     K07C26S  C2007 02 14.20403 09 29 28.47 +22 03 56.6          14.9 Rrt9569H51
     K07C26S  C2007 02 14.20465 09 29 29.09 +22 04 13.2          14.9 Rrt9569H51
     K07C26S  C2007 02 14.20654 09 29 31.03 +22 05 04.7          14.9 Rrt9569H51
     K07C26S  C2007 02 14.20718 09 29 31.73 +22 05 23.1          14.9 Rrt9569H51
     K07C26S  C2007 02 14.20780 09 29 32.36 +22 05 40.7          14.8 Rrt9569H51
     K07C26S  C2007 02 14.20843 09 29 33.05 +22 05 58.3          14.6 Rrt9569H51
     K07C26S  C2007 02 14.20905 09 29 33.72 +22 06 16.7          14.5 Rrt9569H51
     K07C26S  C2007 02 14.20970 09 29 34.34 +22 06 32.7          14.9 Rrt9569H51
     K07C26S  C2007 02 14.21307 09 29 37.76 +22 08 04.9          14.9 Rrt9569H51
     K07C26S  C2007 02 14.21369 09 29 38.38 +22 08 21.6          14.8 Rrt9569H51
     K07C26S  C2007 02 14.21619 09 29 41.05 +22 09 32.4          15.0 Rrt9569H51
     K07C26S  C2007 02 14.21689 09 29 41.79 +22 09 51.6          14.7 Rrt9569H51
     K07C26S  C2007 02 14.21752 09 29 42.45 +22 10 08.4          15.0 Rrt9569H51
     K07C26S  C2007 02 14.21877 09 29 43.61 +22 10 41.2          14.8 Rrt9569H51
     K07C26S  C2007 02 14.23087 09 29 56.17 +22 16 13.9          15.0 Rrt9569H51
     K07C26S  C2007 02 14.23150 09 29 56.87 +22 16 32.9          15.0 Rrt9569H51
     K07C26S  C2007 02 14.23275 09 29 58.11 +22 17 05.5          14.9 Rrt9569H51
     K07C26S  C2007 02 14.23338 09 29 58.80 +22 17 23.8          14.9 Rrt9569H51
     K07C26S  C2007 02 14.23400 09 29 59.43 +22 17 40.9          15.0 Rrt9569H51
     K07C26S  C2007 02 14.23463 09 30 00.11 +22 17 58.6          14.7 Rrt9569H51
