     K07D00J* C2007 02 17.25999 08 30 22.03 +00 03 58.3          19.8 Vru0487703
     K07D00J  C2007 02 17.26645 08 30 22.75 +00 04 11.2          20.0 Vru0487703
     K07D00J  C2007 02 17.27293 08 30 23.61 +00 04 23.9          20.8 Vru0487703
     K07D00J  C2007 02 17.27939 08 30 24.37 +00 04 33.5          19.8 Vru0487703
     K07D00J  C2007 02 17.29083 08 30 25.81 +00 04 53.6          19.7 Vru0487703
     K07D00J  C2007 02 17.29876 08 30 26.74 +00 05 08.0          19.8 Vru0487703
     K07D00J  C2007 02 17.30670 08 30 27.72 +00 05 23.6          19.4 Vru0487703
     K07D00J  C2007 02 17.31465 08 30 28.65 +00 05 37.1          20.3 Vru0487703
     K07D00J  C2007 02 17.81804 08 31 59.74 +00 21 02.6                cu0487246
     K07D00J  C2007 02 17.81954 08 31 59.96 +00 21 05.0                cu0487246
     K07D00J  C2007 02 17.82179 08 32 00.30 +00 21 08.9                cu0487246
     K07D00J  C2007 02 17.82424 08 32 00.58 +00 21 14.8                cu0487246
     K07D00J  C2007 02 17.82639 08 32 00.93 +00 21 18.7                cu0487246
     K07D00J  C2007 02 17.82806 08 32 01.20 +00 21 21.7                cu0487246
     K07D00J  C2007 02 17.82953 08 32 01.41 +00 21 24.5                cu0487246
     K07D00J  C2007 02 17.83020 08 32 01.49 +00 21 26.2                cu0487246
     K07D00J  C2007 02 17.89578 08 32 10.98 +00 23 42.4          17.9 Rcu0487A94
     K07D00J  C2007 02 18.21128 08 33 09.95 +00 34 46.1          19.1 Rcu0487711
     K07D00J  C2007 02 18.21603 08 33 10.66 +00 34 56.2          19.3 Rcu0487711
     K07D00J  C2007 02 18.22076 08 33 11.36 +00 35 05.2          19.6 Rcu0488711
     K07D00J  C2007 02 18.52731 08 34 08.13 +00 48 30.8          18.6 Rou0488474
     K07D00J  C2007 02 18.53090 08 34 08.69 +00 48 38.1          18.8 Rou0488474
     K07D00J  C2007 02 19.44919 08 37 29.16 +01 24 52.6          18.6 Rou0488474
     K07D00J  C2007 02 19.45198 08 37 29.64 +01 24 59.6          18.1 Rou0488474
     K07D00J  C2007 02 22.26077 08 51 32.22 +03 53 57.7          18.6 Rru0488H45
     K07D00J  C2007 02 22.26134 08 51 34.57 +03 54 06.1          18.4 Rru0488448
     K07D00J  C2007 02 22.26247 08 51 32.75 +03 54 04.1          18.8 Rru0488H45
     K07D00J  C2007 02 22.26497 08 51 33.57 +03 54 14.3          19.0 Rru0488H45
     K07D00J  C2007 02 22.26570 08 51 33.82 +03 54 17.4          19.0 Rru0488H45
     K07D00J  C2007 02 22.26644 08 51 34.08 +03 54 20.6          18.8 Rru0488H45
     K07D00J  C2007 02 22.26771 08 51 34.48 +03 54 25.8          18.9 Rru0488H45
     K07D00J  C2007 02 22.26863 08 51 34.82 +03 54 29.2          19.0 Rru0488H45
     K07D00J  C2007 02 22.27138 08 51 37.81 +03 54 48.5          18.8 Rru0488448
     K07D00J  C2007 02 22.27722 08 51 39.74 +03 55 12.6          18.5 Rru0488448
     K07D00J  C2007 02 23.20944 08 58 24.02 +05 05 20.4          18.6 Vru0488703
     K07D00J  C2007 02 23.21807 08 58 27.62 +05 06 02.8          18.3 Vru0488703
     K07D00J  C2007 02 23.22671 08 58 31.15 +05 06 46.0          18.5 Vru0488703
     K07D00J 7C2007 02 23.26263 08 58 45.85 +05 09 45.9                ou1602696
     K07D00J 7C2007 02 23.26388 08 58 46.39 +05 09 52.3                ou1602696
     K07D00J  C2007 02 25.17866 09 17 50.39 +08 24 24.1          17.9 Rru1602448
     K07D00J  C2007 02 25.18273 09 17 53.11 +08 24 54.6          18.2 Rru1602448
     K07D00J  C2007 02 25.18680 09 17 55.79 +08 25 25.0          18.2 Rru1602448
     K07D00J  C2007 02 25.26421 09 18 50.17 +08 35 00.9                cu1602670
     K07D00J  C2007 02 25.26661 09 18 51.72 +08 35 18.8                cu1602670
     K07D00J  C2007 02 25.26858 09 18 53.14 +08 35 34.0                cu1602670
     K07D00J 7C2007 02 25.27962 09 18 58.74 +08 37 06.7                ou1602696
     K07D00J 7C2007 02 25.28063 09 18 59.39 +08 37 14.7                ou1602696
     K07D00J  C2007 02 25.38963 09 20 16.44 +08 50 56.4                cu1602670
     K07D00J  C2007 02 26.16091 09 31 36.26 +10 39 59.2          17.6 Vru1602G96
     K07D00J  C2007 02 26.16986 09 31 44.14 +10 41 23.1          17.7 Vru1602G96
     K07D00J  C2007 02 26.17660 09 31 50.05 +10 42 26.6          17.8 Vru1602G96
     K07D00J  C2007 02 26.18341 09 31 56.02 +10 43 30.7          17.8 Vru1602G96
     K07D00J  C2007 02 26.23488 09 32 41.13 +10 51 36.9          17.6 Vru1602703
