     K07D84S* C2007 02 27.34015 11 33 13.39 +52 16 25.0          18.9 Vru1659703
     K07D84S  C2007 02 27.34069 11 33 13.46 +52 16 23.7          19.1 Vru1659703
     K07D84S  C2007 02 27.34619 11 33 13.93 +52 16 29.7          18.9 Vru1659703
     K07D84S  C2007 02 27.34674 11 33 13.93 +52 16 32.0          18.9 Vru1659703
     K07D84S  C2007 02 27.35227 11 33 14.47 +52 16 35.9          19.1 Vru1659703
     K07D84S  C2007 02 27.35282 11 33 14.47 +52 16 36.6          18.8 Vru1659703
     K07D84S  C2007 02 27.35831 11 33 14.86 +52 16 43.0          18.4 Vru1659703
     K07D84S  C2007 02 27.35885 11 33 14.97 +52 16 42.4          19.0 Vru1659703
     K07D84S  C2007 02 27.45174 11 33 22.82 +52 18 08.3          18.9 Vru1659703
     K07D84S  C2007 02 27.45841 11 33 23.40 +52 18 14.3          18.9 Vru1659703
     K07D84S  C2007 02 27.46514 11 33 23.97 +52 18 19.8          18.7 Vru1659703
     K07D84S  C2007 02 27.47173 11 33 24.62 +52 18 25.4          19.1 Vru1659703
     K07D84S  C2007 02 28.30470 11 34 57.60 +52 31 51.2          18.9 Rou1659850
     K07D84S  C2007 02 28.31987 11 34 59.03 +52 32 04.7          19.0 Rou1659850
     K07D84S  C2007 02 28.33502 11 35 00.13 +52 32 18.6          18.5 Rou1659850
     K07D84S  C2007 02 28.35011 11 35 01.62 +52 32 31.5          19.0 Rou1659850
     K07D84S  C2007 02 28.42133 11 35 09.34 +52 33 40.7          18.8 Vru1659703
     K07D84S  C2007 02 28.42933 11 35 10.10 +52 33 47.6          19.1 Vru1659703
     K07D84S  C2007 02 28.43727 11 35 10.78 +52 33 55.0          18.6 Vru1659703
     K07D84S  C2007 02 28.44516 11 35 11.43 +52 34 00.9          18.9 Vru1659703
     K07D84S  C2007 03 01.85758 11 37 57.79 +52 55 08.6                ou1659J95
     K07D84S  C2007 03 01.88258 11 38 00.51 +52 55 33.8                ou1659J95
     K07D84S  C2007 03 01.88834 11 38 01.12 +52 55 39.9          18.6 Rou1659J95
     K07D84S 5C2007 03 02.39792 11 38 57.90 +53 03 29.8          18.2 Rou1659673
     K07D84S 5C2007 03 02.39965 11 38 58.28 +53 03 31.7          18.9 Rcu1659673
     K07D84S 5C2007 03 02.40486 11 38 58.73 +53 03 35.1                ou1659673
     K07D84S 5C2007 03 02.40660 11 38 58.97 +53 03 36.9                cu1659673
     K07D84S 5C2007 03 02.41215 11 38 59.42 +53 03 40.8                ou1659673
     K07D84S 5C2007 03 02.41354 11 38 59.52 +53 03 42.1                cu1659673
     K07D84S 5C2007 03 02.41910 11 39 00.08 +53 03 46.1                ou1659673
     K07D84S 5C2007 03 02.42049 11 39 00.28 +53 03 48.4                cu1659673
     K07D84S  C2007 03 03.36325 11 40 54.78 +53 17 04.4          18.2 Rru1659H45
     K07D84S  C2007 03 03.36904 11 40 55.37 +53 17 07.7          18.2 Rru1659H45
     K07D84S  C2007 03 03.37044 11 40 55.52 +53 17 09.8          18.2 Rru1659H45
     K07D84S  C2007 03 03.37170 11 40 55.63 +53 17 09.9          18.3 Rru1659H45
     K07D84S  C2007 03 03.37303 11 40 55.72 +53 17 11.9          18.0 Rru1659H45
     K07D84S  C2007 03 03.37419 11 40 55.90 +53 17 12.2          17.8 Rru1659H45
     K07D84S  C2007 03 03.37775 11 40 56.29 +53 17 14.9          17.8 Rru1659H45
     K07D84S  C2007 03 05.07602 11 44 34.57 +53 39 22.3          18.5 Rou2390461
     K07D84S  C2007 03 05.08065 11 44 35.10 +53 39 25.5                ou2390461
     K07D84S  C2007 03 05.08526 11 44 35.67 +53 39 28.3                ou2390461
     K07D84S  C2007 03 05.37913 11 45 15.02 +53 43 18.5          18.2 Rru2390H45
     K07D84S  C2007 03 05.38128 11 45 15.23 +53 43 19.6          18.0 Rru2390H45
     K07D84S  C2007 03 05.38224 11 45 15.31 +53 43 19.9          18.0 Rru2390H45
     K07D84S  C2007 03 05.38629 11 45 15.78 +53 43 22.7          17.7 Rru2390H45
     K07D84S  C2007 03 05.38727 11 45 15.88 +53 43 23.4          17.7 Rru2390H45
     K07D84S  C2007 03 05.38864 11 45 16.13 +53 43 24.3          17.8 Rru2390H45
     K07D84S  C2007 03 05.39033 11 45 16.22 +53 43 25.6          17.9 Rru2390H45
     K07D84S  C2007 03 05.39139 11 45 16.31 +53 43 25.9          17.9 Rru2390H45
     K07D84S  C2007 03 05.89168 11 46 29.72 +53 49 13.9          18.8 Vou2390198
     K07D84S  C2007 03 05.89274 11 46 29.85 +53 49 14.8          18.8 Vou2390198
     K07D84S  C2007 03 05.89752 11 46 30.39 +53 49 18.9          19.0 Vou2390198
     K07D84S  C2007 03 07.14380 11 49 21.39 +54 03 17.6          18.1 Rcu2390118
     K07D84S  C2007 03 07.14643 11 49 21.71 +54 03 18.4          18.3 Rcu2390118
