     K07D40Y* C2007 02 21.39017 11 17 10.03 +03 52 40.0          21.6 Vru0524G96
     K07D40Y  C2007 02 21.39674 11 17 09.56 +03 52 46.0          21.7 Vru0524G96
     K07D40Y  C2007 02 21.40324 11 17 09.06 +03 52 52.0          21.2 Vru0524G96
     K07D40Y  C2007 02 21.40974 11 17 08.59 +03 52 57.8          21.7 Vru0524G96
     K07D40Y  C2007 02 21.45963 11 17 04.92 +03 53 42.0          21.8 Vru0524G96
     K07D40Y  C2007 02 21.46443 11 17 04.56 +03 53 46.7          22.0 Vru0524G96
     K07D40Y  C2007 02 21.47887 11 17 03.61 +03 53 57.4                ru0524G96
     K07D40Y  C2007 02 21.48067 11 17 03.44 +03 54 00.3          21.6 Vru0524G96
     K07D40Y  C2007 02 21.48249 11 17 03.30 +03 54 02.0                ru0524G96
     K07D40Y  C2007 02 21.48438 11 17 03.16 +03 54 03.6          21.6 Vru0524G96
     K07D40Y  C2007 02 23.30391 11 14 52.98 +04 22 20.7          20.3 Vru0524G96
     K07D40Y  C2007 02 23.30583 11 14 52.80 +04 22 23.4          20.5 Vru0524G96
     K07D40Y  C2007 02 23.30775 11 14 52.62 +04 22 25.3          20.8 Vru0524G96
     K07D40Y  C2007 02 23.30970 11 14 52.54 +04 22 27.1          20.8 Vru0524G96
     K07D40Y 7C2007 02 23.32141 11 14 51.64 +04 22 37.3                ou1621696
     K07D40Y 7C2007 02 23.34172 11 14 49.94 +04 22 56.6                ou1621696
     K07D40Y  C2007 02 23.44322 11 14 41.56 +04 24 37.6          20.8 Vru0524G96
     K07D40Y  C2007 02 23.44517 11 14 41.53 +04 24 38.9                ru0524G96
     K07D40Y  C2007 02 23.44711 11 14 41.24 +04 24 40.5          21.4 Vru0524G96
     K07D40Y  C2007 02 23.44905 11 14 41.12 +04 24 43.0          20.8 Vru0524G96
     K07D40Y  C2007 02 25.34112 11 12 08.68 +04 57 10.9                ou1621291
     K07D40Y  C2007 02 25.34492 11 12 08.35 +04 57 15.2                ou1621291
     K07D40Y  C2007 02 25.34868 11 12 07.99 +04 57 18.7                ou1621291
     K07D40Y  C2007 02 27.29205911 09 13.64 +05 33 46.7          21.3  ou1621H55
     K07D40Y  C2007 02 27.30074411 09 12.72 +05 33 56.7          21.1  ou1621H55
     K07D40Y  C2007 03 07.30146 10 53 56.43 +08 40 35.8          19.1 Vru2387G96
     K07D40Y  C2007 03 07.30302 10 53 56.18 +08 40 38.5          19.8 Vru2387G96
     K07D40Y  C2007 03 07.30458 10 53 55.96 +08 40 40.8          18.8 Vru2387G96
     K07D40Y  C2007 03 07.30618 10 53 55.75 +08 40 42.9          19.2 Vru2387G96
     K07D40Y  C2007 03 11.33858 10 44 01.36 +10 38 26.5          20.1 Rru3190448
     K07D40Y  C2007 03 11.36025 10 43 57.84 +10 39 04.5          19.3 Rru3190448
     K07D40Y  C2007 03 11.37750 10 43 54.90 +10 39 36.9          20.5 Rru3190448
     K07D40Y  C2007 03 11.89462 10 42 32.99 +10 55 52.0          19.9 Vru3190A13
     K07D40Y  C2007 03 11.91442 10 42 29.71 +10 56 29.3          20.3 Vru3190A13
     K07D40Y  C2007 03 11.93440 10 42 26.28 +10 57 07.6          20.2 Vru3190A13
     K07D40Y  C2007 03 12.25168 10 41 34.65 +11 07 20.1          19.9 Vru3190G96
     K07D40Y  C2007 03 12.26027 10 41 33.14 +11 07 37.1          19.7 Vru3190G96
     K07D40Y  C2007 03 12.26883 10 41 31.63 +11 07 53.9          19.5 Vru3190G96
     K07D40Y  C2007 03 12.27743 10 41 30.19 +11 08 09.9          19.9 Vru3190G96
     K07D40Y  C2007 03 12.86794 10 39 52.55 +11 27 14.4          20.0 Vru3190A13
     K07D40Y  C2007 03 12.88653 10 39 49.35 +11 27 50.5          20.2 Vru3190A13
     K07D40Y  C2007 03 12.90517 10 39 46.02 +11 28 27.0          19.8 Vru3190A13
     K07D40Y  C2007 03 15.29917 10 32 45.82 +12 49 43.6          20.1 Rru3190448
     K07D40Y  C2007 03 15.32049 10 32 41.79 +12 50 28.3          18.5 Rru3190448
