     K07E26E* C2007 03 10.27303 10 27 39.49 +08 08 50.8          21.7 Vru3244G96
     K07E26E  C2007 03 10.28141 10 27 40.68 +08 08 34.7          21.1 Vru3244G96
     K07E26E  C2007 03 10.28970 10 27 41.86 +08 08 18.6          21.2 Vru3244G96
     K07E26E  C2007 03 10.29795 10 27 42.98 +08 08 02.5          21.8 Vru3244G96
     K07E26E  C2007 03 10.34755 10 27 50.04 +08 06 26.6          20.4 Vru3244G96
     K07E26E  C2007 03 10.35468 10 27 51.12 +08 06 12.7          20.6 Vru3244G96
     K07E26E  C2007 03 10.36175 10 27 52.09 +08 05 58.7          21.2 Vru3244G96
     K07E26E  C2007 03 10.36887 10 27 53.13 +08 05 44.7          20.2 Vru3244G96
     K07E26E  C2007 03 11.22272 10 30 33.33 +07 39 39.6          21.3 Vru3244G96
     K07E26E  C2007 03 11.23108 10 30 34.38 +07 39 25.2          21.8 Vru3244G96
     K07E26E  C2007 03 11.24101 10 30 35.67 +07 39 07.6          21.9 Vru3244G96
     K07E26E  C2007 03 11.24933 10 30 36.72 +07 38 53.3          21.6 Vru3244G96
     K07E26E  C2007 03 11.30883 10 30 44.39 +07 37 09.6                ou3244291
     K07E26E  C2007 03 11.31262 10 30 44.85 +07 37 03.1                ou3244291
     K07E26E  C2007 03 11.31642 10 30 45.35 +07 36 56.4                ou3244291
     K07E26E  C2007 03 12.18845 10 33 13.45 +07 12 13.8          21.2 Rru3244734
     K07E26E  C2007 03 12.19452 10 33 14.17 +07 12 03.9          21.0 Rru3244734
     K07E26E  C2007 03 12.20060 10 33 14.87 +07 11 54.3          21.6 Rru3244734
     K07E26E  C2007 03 13.86154110 37 23.983+06 32 16.75         20.9 Vou5963B31
     K07E26E  C2007 03 13.86846310 37 24.691+06 32 06.87         21.0 Vou5963B31
     K07E26E  C2007 03 13.87540010 37 25.390+06 31 57.35         21.1 Vou5963B31
     K07E26E  C2007 03 13.88403010 37 26.262+06 31 44.74         21.0 Vou5963B31
     K07E26E  C2007 03 13.89266310 37 27.125+06 31 32.78         20.9 Vou5964B31
     K07E26E  C2007 03 13.91067510 37 28.963+06 31 08.13         21.2 Vou5964B31
     K07E26E  C2007 03 13.91420510 37 29.307+06 31 03.31         21.2 Vou5964B31
     K07E26E  C2007 03 13.91858610 37 29.721+06 30 57.41         21.3 Vou5964B31
     K07E26E  C2007 03 13.92720610 37 30.539+06 30 44.28         21.0 Vou5964B31
     K07E26E  C2007 03 13.93980410 37 31.834+06 30 26.85               ou5964B31
     K07E26E  C2007 03 13.94239710 37 32.067+06 30 23.24               ou5964B31
     K07E26E  C2007 03 13.95015710 37 32.801+06 30 11.80               ou5964B31
