     K07G00C* C2007 04 07.24035 11 39 29.52 +01 17 14.9          20.4 Vru6299G96
     K07G00C  C2007 04 07.24704 11 39 29.26 +01 17 27.6          20.3 Vru6299G96
     K07G00C  C2007 04 07.25370 11 39 28.94 +01 17 40.0          20.4 Vru6299G96
     K07G00C  C2007 04 07.26043 11 39 28.65 +01 17 52.3          20.6 Vru6299G96
     K07G00C  C2007 04 07.28869 11 39 27.48 +01 18 45.5          20.3 Vru6299G96
     K07G00C  C2007 04 07.29815 11 39 27.09 +01 19 03.2          19.8 Vru6299G96
     K07G00C  C2007 04 07.30766 11 39 26.72 +01 19 21.1          20.1 Vru6299G96
     K07G00C  C2007 04 07.31722 11 39 26.29 +01 19 39.0          20.4 Vru6299G96
     K07G00C  C2007 04 07.89321 11 39 09.19 +01 37 37.1                ru6299J95
     K07G00C  C2007 04 07.89915 11 39 08.88 +01 37 47.0                ru6299J95
     K07G00C  C2007 04 07.90475 11 39 08.65 +01 37 57.6          20.2 Rru6299J95
     K07G00C  C2007 04 07.90918 11 39 08.28 +01 38 07.2          20.2 Vru6299A17
     K07G00C  C2007 04 08.83873 11 38 40.52 +02 07 39.4                cu6299246
     K07G00C  C2007 04 08.84101 11 38 40.45 +02 07 42.7                cu6299246
     K07G00C  C2007 04 08.84404 11 38 40.31 +02 07 50.0          19.5 Rcu6299246
     K07G00C  C2007 04 08.84491 11 38 40.28 +02 07 51.4                cu6299246
     K07G00C  C2007 04 08.84674 11 38 40.25 +02 07 54.1                cu6299246
     K07G00C  C2007 04 08.84786 11 38 40.20 +02 07 59.0                cu6299246
     K07G00C  C2007 04 08.94359 11 38 36.88 +02 10 59.1                ru6300J95
     K07G00C  C2007 04 08.96993 11 38 35.97 +02 11 49.9          20.3 Rru6300J95
     K07G00C  C2007 04 09.86145 11 38 11.22 +02 40 35.6                ru6300A17
     K07G00C  C2007 04 09.87533 11 38 10.76 +02 41 01.2                ru6300A17
     K07G00C  C2007 04 09.88702 11 38 10.33 +02 41 24.3                ru6300A17
     K07G00C  C2007 04 10.88767 11 37 43.97 +03 14 08.0                cu6300246
     K07G00C  C2007 04 10.89248 11 37 43.82 +03 14 18.2                cu6300246
     K07G00C  C2007 04 10.89332 11 37 43.77 +03 14 20.2                cu6300246
     K07G00C  C2007 04 10.89483 11 37 43.70 +03 14 23.1                cu6300246
     K07G00C  C2007 04 11.85193 11 37 20.87 +03 46 04.6                cu6300246
     K07G00C  C2007 04 11.85454 11 37 20.74 +03 46 09.4                cu6300246
     K07G00C  C2007 04 11.85530 11 37 20.68 +03 46 11.4                cu6300246
     K07G00C  C2007 04 11.85626 11 37 20.65 +03 46 13.8                cu6300246
     K07G00C  C2007 04 14.85617 11 36 22.91 +05 27 41.0                cu7003246
