     K07G04U* C2007 04 14.35154 13 10 47.02 +17 55 32.2          18.5 Vru7006703
     K07G04U  C2007 04 14.35828 13 10 45.98 +17 55 01.8          18.8 Vru7006703
     K07G04U  C2007 04 14.36497 13 10 44.97 +17 54 31.8          18.8 Vru7006703
     K07G04U  C2007 04 14.38845 13 10 41.26 +17 52 46.2          18.9 Vru7006703
     K07G04U  C2007 04 14.39613 13 10 40.08 +17 52 11.7          19.1 Vru7006703
     K07G04U  C2007 04 14.40381 13 10 38.89 +17 51 36.8          18.9 Vru7006703
     K07G04U  C2007 04 14.41146 13 10 37.74 +17 51 03.0          18.6 Vru7006703
     K07G04U  C2007 04 14.80518 13 09 55.79 +17 22 32.0          18.5 Rru7006024
     K07G04U  C2007 04 14.80982 13 09 55.17 +17 22 13.0          18.7 Rru7006024
     K07G04U  C2007 04 14.81231 13 09 55.00 +17 22 04.4          19.1 Vou7006151
     K07G04U  C2007 04 14.81275 13 09 54.84 +17 22 06.4          19.1 Vcu7006595
     K07G04U  C2007 04 14.81461 13 09 54.52 +17 21 53.4          18.6 Rru7006024
     K07G04U  C2007 04 14.81567 13 09 54.50 +17 21 51.1          19.0 Vou7006151
     K07G04U  C2007 04 14.81706 13 09 54.19 +17 21 43.7                ru7006A17
     K07G04U  C2007 04 14.81851 13 09 54.08 +17 21 39.3          19.0 Vou7006198
     K07G04U  C2007 04 14.81872 13 09 54.07 +17 21 39.1          18.9 Vou7006151
     K07G04U  C2007 04 14.81882 13 09 53.98 +17 21 41.9          18.0 Vcu7007595
     K07G04U  C2007 04 14.82028 13 09 53.84 +17 21 31.9          18.9 Vou7007198
     K07G04U  C2007 04 14.82453 13 09 53.25 +17 21 14.1          19.0 Vou7007198
     K07G04U  C2007 04 14.82489 13 09 53.14 +17 21 16.8          19.1 Vcu7007595
     K07G04U  C2007 04 14.82630 13 09 53.01 +17 21 06.9          18.9 Vou7007198
     K07G04U  C2007 04 14.82645 13 09 52.70 +17 21 04.6          18.6 Rru7007113
     K07G04U  C2007 04 14.82797 13 09 52.49 +17 20 58.5          18.8 Rru7007113
     K07G04U  C2007 04 14.82807 13 09 52.71 +17 20 59.1                ru7007A17
     K07G04U  C2007 04 14.82951 13 09 52.26 +17 20 52.6          18.9 Rru7007113
     K07G04U  C2007 04 14.83759 13 09 51.40 +17 20 19.9                ru7007A17
     K07G04U  C2007 04 14.85377 13 09 49.44 +17 19 19.3          18.6 Rcu7007A24
     K07G04U  C2007 04 14.85591 13 09 49.13 +17 19 10.2          18.7 Rcu7007A24
     K07G04U  C2007 04 14.86000 13 09 48.59 +17 18 53.3          18.5 Rcu7007A24
     K07G04U  C2007 04 14.86273 13 09 48.19 +17 18 41.4          18.5 Rcu7007A24
     K07G04U  C2007 04 14.86484 13 09 47.92 +17 18 32.9          18.4 Rcu7007A24
     K07G04U  C2007 04 15.12018 13 09 13.29 +17 01 05.2                ru7007J95
     K07G04U  C2007 04 15.12599 13 09 12.55 +17 00 41.8                ru7007J95
     K07G04U  C2007 04 15.13178 13 09 11.79 +17 00 18.6          19.3 Rru7007J95
     K07G04U  C2007 04 15.81849 13 08 03.87 +16 16 33.8          19.0 Vru7007A17
     K07G04U  C2007 04 15.83236 13 08 02.26 +16 15 44.3          19.0 Vru7007A17
     K07G04U  C2007 04 15.84516 13 08 00.74 +16 14 58.2          18.9 Vru7007A17
     K07G04U  C2007 04 15.87759 13 07 56.64 +16 13 03.1                cu7007246
     K07G04U  C2007 04 15.87844 13 07 56.56 +16 13 00.4                cu7007246
     K07G04U  C2007 04 15.87906 13 07 56.48 +16 12 58.0                cu7007246
     K07G04U  C2007 04 15.88028 13 07 56.34 +16 12 53.6                cu7007246
     K07G04U  C2007 04 15.88132 13 07 56.20 +16 12 49.7                cu7007246
     K07G04U  C2007 04 15.88271 13 07 56.05 +16 12 44.8                cu7007246
     K07G04U  C2007 04 15.88337 13 07 55.93 +16 12 42.3                cu7007246
     K07G04U  C2007 04 15.92788 13 07 50.93 +16 10 03.0          18.9 Vru7007A13
     K07G04U  C2007 04 15.94950 13 07 48.29 +16 08 45.3          18.9 Vru7007A13
     K07G04U  C2007 04 15.97102 13 07 45.66 +16 07 28.0          19.0 Vru7007A13
     K07G04U  C2007 04 16.22877 13 07 21.35 +15 52 25.0          18.7 Rru7007649
     K07G04U  C2007 04 16.23054 13 07 21.12 +15 52 19.0          18.8 Rru7007649
     K07G04U  C2007 04 16.23232 13 07 20.90 +15 52 12.8          18.9 Rru7007649
     K07G04U  C2007 04 16.23410 13 07 20.70 +15 52 06.4          18.8 Rru7007649
     K07G04U  C2007 04 16.81370 13 06 30.60 +15 19 18.3          19.7 Vou7007151
     K07G04U  C2007 04 16.82353 13 06 29.62 +15 18 47.1          19.7 Vou7007151
     K07G04U  C2007 04 16.82984 13 06 28.97 +15 18 27.4          19.4 Vou7007151
     K07G04U  C2007 04 16.83337 13 06 28.63 +15 18 16.0          19.5 Vou7007151
     K07G04U  C2007 04 16.83689 13 06 28.29 +15 18 04.7          19.6 Vou7007151
     K07G04U  C2007 04 17.84568 13 05 07.36 +14 26 21.5          19.0 Vru7007A13
     K07G04U  C2007 04 17.86238 13 05 05.90 +14 25 33.9          19.0 Vru7007A13
     K07G04U  C2007 04 17.87709 13 05 04.58 +14 24 50.4          18.8 Vru7007A13
     K07G04U  C2007 04 21.94725 13 01 20.11 +11 41 42.2          20.1 Vru8179941
     K07G04U  C2007 04 21.94959 13 01 19.99 +11 41 37.8          20.0 Vru8179941
     K07G04U  C2007 04 21.95115 13 01 19.92 +11 41 34.6          20.3 Vru8179941
     K07G04U  C2007 04 21.95272 13 01 19.83 +11 41 31.4          20.2 Vru8179941
     K07G04U  C2007 04 21.95584 13 01 19.66 +11 41 25.7          20.1 Vru8179941
     K07G04U  C2007 05 10.21964 13 00 09.11 +05 13 09.1          20.9 Vru9064G96
     K07G04U  C2007 05 10.22833 13 00 09.18 +05 13 01.5          22.0 Vru9064G96
     K07G04U  C2007 05 10.23720 13 00 09.32 +05 12 53.4          20.9 Vru9064G96
     K07G04U  C2007 05 10.24600 13 00 09.34 +05 12 45.2          22.1 Vru9064G96
     K07G04U  C2007 05 22.09430813 06 05.57 +02 29 25.2          22.9  ov0179H55
     K07G04U  C2007 05 22.11518413 06 06.21 +02 29 08.4          22.7  ov0179H55
     K07G04U  C2007 05 22.13274013 06 06.85 +02 28 54.2          22.7  ov0179H55
