Y1050K07H00Z & 1984 04 05.51791 12 09 39.58 -10 03 34.0                cv0586260
Y1050K07H00Z & 1984 04 05.55957 12 09 37.70 -10 02 15.5                cv0586260
Y1050K07H00Z* C2007 04 18.25131 12 58 38.78 -08 13 03.7          19.0 Vru7057G96
Y1050K07H00Z  C2007 04 18.25788 12 58 38.38 -08 12 53.1          19.6 Vru7057G96
Y1050K07H00Z  C2007 04 18.26437 12 58 38.02 -08 12 42.1          19.1 Vru7057G96
Y1050K07H00Z  C2007 04 18.27108 12 58 37.63 -08 12 31.2          19.2 Vru7057G96
Y1050K07H00Z  C2007 04 18.28486 12 58 36.84 -08 12 08.3          19.1 Vru7057G96
Y1050K07H00Z  C2007 04 18.29264 12 58 36.40 -08 11 55.5          19.2 Vru7057G96
Y1050K07H00Z  C2007 04 18.30038 12 58 35.94 -08 11 42.8          19.2 Vru7057G96
Y1050K07H00Z  C2007 04 18.30824 12 58 35.50 -08 11 29.8          19.1 Vru7057G96
Y1050K07H00Z  C2007 04 18.34799 12 58 33.23 -08 10 23.9          19.3 Vru7057G96
Y1050K07H00Z  C2007 04 18.35031 12 58 33.10 -08 10 20.2          19.2 Vru7057G96
Y1050K07H00Z  C2007 04 18.35260 12 58 32.98 -08 10 16.6                ru7057G96
Y1050K07H00Z  C2007 04 18.35490 12 58 32.85 -08 10 13.2                ru7057G96
Y1050K07H00Z  C2007 04 18.83370 12 58 11.77 -07 57 15.0          19.5 Vou7057198
Y1050K07H00Z  C2007 04 18.83529 12 58 11.69 -07 57 12.3          19.3 Vou7057198
Y1050K07H00Z  C2007 04 18.83901 12 58 11.51 -07 57 06.3          19.3 Vou7057198
Y1050K07H00Z  C2007 04 18.84272 12 58 11.33 -07 56 59.7          19.4 Vou7057198
Y1050K07H00Z  C2007 04 19.22417 12 57 53.07 -07 46 39.1          19.0 Rru7057649
Y1050K07H00Z  C2007 04 19.22773 12 57 52.89 -07 46 33.5          18.9 Rru7057649
Y1050K07H00Z  C2007 04 19.23128 12 57 52.68 -07 46 28.1          19.1 Rru7057649
Y1050K07H00Z  C2007 04 20.21478 12 57 09.25 -07 20 19.9          18.5 Rru7057H36
Y1050K07H00Z  C2007 04 20.21917 12 57 09.02 -07 20 11.7          19.1 Rru7057H36
Y1050K07H00Z  C2007 04 20.22356 12 57 08.75 -07 20 06.1          19.0 Rru7057H36
Y1050K07H00Z  C2007 04 20.22796 12 57 08.51 -07 19 58.4          19.3 Rru7057H36
Y1050K07H00Z  C2007 04 20.88043 12 56 41.25 -07 03 01.9                cu8220246
Y1050K07H00Z  C2007 04 20.88137 12 56 41.21 -07 02 59.8                cu8220246
Y1050K07H00Z  C2007 04 20.88216 12 56 41.14 -07 02 58.6                cu8220246
