     K07R02F* C2007 09 05.41331 00 57 28.58 -08 26 47.9          18.8 Vrv4558703
     K07R02F  C2007 09 05.42142 00 57 29.37 -08 26 50.2          18.8 Vrv4558703
     K07R02F  C2007 09 05.42965 00 57 30.24 -08 26 52.7          18.7 Vrv4558703
     K07R02F  C2007 09 05.43808 00 57 31.24 -08 26 55.5          18.8 Vrv4558703
     K07R02F (C2007 09 05.80350 00 58 14.85 -08 28 12.9          18.5 Rov4558413
     K07R02F (C2007 09 05.80605 00 58 15.14 -08 28 13.9                ov4558413
     K07R02F (C2007 09 05.80879 00 58 15.44 -08 28 14.7                ov4558413
     K07R02F  C2007 09 06.01688 00 58 43.63 -08 30 11.0          18.3 Rov4558B04
     K07R02F  C2007 09 06.02394 00 58 44.42 -08 30 13.7          18.4 Rov4558B04
     K07R02F  C2007 09 06.02431 00 58 44.48 -08 30 14.0          18.7 Rov4558B04
     K07R02F  C2007 09 06.03210 00 58 45.37 -08 30 16.6          18.4 Rov4558B04
     K07R02F  C2007 09 06.03591 00 58 46.04 -08 30 20.0                ov4558J95
     K07R02F  C2007 09 06.04006 00 58 46.52 -08 30 21.1                ov4558J95
     K07R02F  C2007 09 06.04422 00 58 47.00 -08 30 22.6          18.6 Rov4558J95
     K07R02F  C2007 09 06.04428 00 58 46.77 -08 30 20.7          18.2 Rov4558204
     K07R02F  C2007 09 06.05135 00 58 47.58 -08 30 23.1                ov4558204
     K07R02F 5C2007 09 06.45925900 59 39.177-08 32 38.59         18.5 Rov4558673
     K07R02F 5C2007 09 06.46469900 59 39.819-08 32 40.30               ov4558673
     K07R02F 5C2007 09 06.46967600 59 40.406-08 32 41.71               ov4558673
     K07R02F 5C2007 09 06.47326400 59 40.835-08 32 43.59               ov4558673
     K07R02F  C2007 09 08.34110 01 04 07.02 -08 44 57.8                rv5218H51
     K07R02F  C2007 09 08.34432 01 04 07.47 -08 44 59.7                rv5218H51
     K07R02F  C2007 09 08.34593 01 04 07.66 -08 45 00.1                rv5218H51
     K07R02F  C2007 09 08.98669 01 05 51.50 -08 49 46.9          18.0 Rov5218B04
     K07R02F  C2007 09 08.99671 01 05 53.03 -08 49 51.6          18.0 Rov5218B04
     K07R02F  C2007 09 09.00520 01 05 54.33 -08 49 55.7          18.1 Rov5218B04
     K07R02F  C2007 09 09.01224 01 05 55.41 -08 49 58.8          17.8 Rov5218B04
     K07R02F  C2007 09 09.02880 01 05 57.74 -08 50 04.9          18.3 Rcv5218157
     K07R02F  C2007 09 09.03248 01 05 58.33 -08 50 06.6          18.3 Rcv5218157
     K07R02F  C2007 09 10.43249 01 10 09.15 -09 01 44.3          18.3 Vov5218291
     K07R02F  C2007 09 10.43637 01 10 09.84 -09 01 46.4          18.3 Vov5218291
     K07R02F  C2007 09 10.44013 01 10 10.50 -09 01 48.3          18.3 Vov5218291
     K07R02F  C2007 09 11.37277 01 13 24.46 -09 10 46.0          18.2 Vov5218291
     K07R02F  C2007 09 11.37793 01 13 25.48 -09 10 49.1          18.2 Vov5218291
     K07R02F  C2007 09 11.38371 01 13 26.64 -09 10 52.6          18.2 Vov5218291
     K07R02F  C2007 09 11.90452 01 15 27.08 -09 16 26.4          17.6 Vrv5218A78
     K07R02F  C2007 09 11.90847 01 15 27.96 -09 16 29.2          17.6 Vrv5218A78
     K07R02F  C2007 09 11.91243 01 15 28.86 -09 16 32.5          17.5 Vrv5218A78
     K07R02F  C2007 09 11.91638 01 15 29.74 -09 16 34.8          17.5 Vrv5218A78
     K07R02F  C2007 09 12.23186 01 16 45.39 -09 20 05.6          17.9 Rrv5218H51
     K07R02F  C2007 09 12.23346 01 16 45.80 -09 20 06.3          18.1 Rrv5218H51
     K07R02F  C2007 09 12.23506 01 16 46.15 -09 20 07.9          17.9 Rrv5218H51
     K07R02F  C2007 09 12.23667 01 16 46.53 -09 20 08.6          18.0 Rrv5218H51
     K07R02F  C2007 09 12.23826 01 16 46.91 -09 20 10.4          18.2 Rrv5218H51
     K07R02F  C2007 09 12.23986 01 16 47.28 -09 20 10.4          18.3 Rrv5218H51
     K07R02F  C2007 09 12.24296101 16 47.98 -09 20 10.9          18.1 Vov6315H55
     K07R02F  C2007 09 12.24611101 16 48.71 -09 20 13.0          18.2 Vov6315H55
     K07R02F  C2007 09 12.24949001 16 49.49 -09 20 15.6          18.2 Vov6315H55
     K07R02F  C2007 09 12.39362 01 17 23.00 -09 21 51.8          17.7 Rrv5218H45
