     K07R01J* C2007 09 03.29425 22 03 06.22 +16 09 32.9          21.0 Vrv4556G96
     K07R01J  C2007 09 03.30067 22 03 06.48 +16 09 34.5          20.7 Vrv4556G96
     K07R01J  C2007 09 03.30715 22 03 06.76 +16 09 36.0          20.9 Vrv4556G96
     K07R01J  C2007 09 03.31370 22 03 07.05 +16 09 37.2          20.5 Vrv4556G96
     K07R01J  C2007 09 03.33812 22 03 08.02 +16 09 43.5          20.8 Vrv4556G96
     K07R01J  C2007 09 03.34521 22 03 08.35 +16 09 45.1          20.9 Vrv4556G96
     K07R01J  C2007 09 03.35927 22 03 08.96 +16 09 48.0          20.8 Vrv4556G96
     K07R01J  C2007 09 03.91940 22 04 02.93 +16 11 54.0                rv4556J95
     K07R01J  C2007 09 03.93055 22 04 03.62 +16 11 58.0          20.6 Rrv4556J95
     K07R01J  C2007 09 04.00185 22 04 07.87 +16 12 18.2          20.5 Rrv4556J95
     K07R01J  C2007 09 04.13420 22 04 25.24 +16 13 12.2                rv4556734
     K07R01J  C2007 09 04.14131 22 04 25.64 +16 13 15.5                rv4556734
     K07R01J  C2007 09 04.14839 22 04 26.08 +16 13 17.7                rv4556734
     K07R01J  C2007 09 04.16589 22 04 28.96 +16 13 35.8          20.3 Rcv4556651
     K07R01J  C2007 09 04.16837 22 04 29.19 +16 13 35.6          20.4 Rcv4556651
     K07R01J  C2007 09 04.17086 22 04 29.29 +16 13 37.1          20.4 Rcv4556651
     K07R01J  C2007 09 04.23987 22 04 33.09 +16 13 59.3          20.8 Vrv4556G96
     K07R01J  C2007 09 04.24307 22 04 33.27 +16 14 00.4          20.7 Vrv4556G96
     K07R01J  C2007 09 04.24619 22 04 33.42 +16 14 01.2          20.8 Vrv4556G96
     K07R01J  C2007 09 04.24936 22 04 33.63 +16 14 02.1          20.1 Vrv4556G96
     K07R01J  C2007 09 04.90792 22 05 42.13 +16 16 31.6          20.0 Rov4556B04
     K07R01J  C2007 09 04.91525 22 05 42.65 +16 16 33.8          19.8 Rov4556B04
     K07R01J  C2007 09 04.92049 22 05 42.97 +16 16 35.2          19.8 Rov4556B04
     K07R01J  C2007 09 05.26047 22 06 21.34 +16 18 31.9          20.3 Vrv4556G96
     K07R01J  C2007 09 05.26358 22 06 21.56 +16 18 32.5          20.7 Vrv4556G96
     K07R01J  C2007 09 05.26665 22 06 21.74 +16 18 33.3          20.6 Vrv4556G96
     K07R01J  C2007 09 05.26975 22 06 21.96 +16 18 34.3          20.4 Vrv4556G96
     K07R01J  C2007 09 05.87504 22 07 40.95 +16 20 19.5                rv4556J95
     K07R01J  C2007 09 05.87802 22 07 41.28 +16 20 20.1                rv4556J95
     K07R01J  C2007 09 05.88075 22 07 41.61 +16 20 22.0          19.7 Rrv4556J95
     K07R01J 5C2007 09 06.37442 22 08 43.12 +16 22 57.9          20.0 Rov4556673
     K07R01J 5C2007 09 06.37789 22 08 43.46 +16 22 59.5                ov4556673
     K07R01J 5C2007 09 06.38241 22 08 43.86 +16 23 00.1                ov4556673
     K07R01J 5C2007 09 06.41459 22 08 47.24 +16 23 03.7                ov4556673
     K07R01J  C2007 09 07.93593 22 13 22.95 +16 27 59.5                rv5217J95
     K07R01J  C2007 09 07.94013 22 13 23.70 +16 28 00.2                rv5217J95
     K07R01J  C2007 09 07.94432 22 13 24.34 +16 28 00.9          19.8 Rrv5217J95
     K07R01J  C2007 09 08.94522 22 17 20.12 +16 31 25.6          19.4 Vrv5217B38
     K07R01J  C2007 09 08.94911 22 17 20.90 +16 31 26.5          19.4 Vrv5217B38
     K07R01J  C2007 09 08.95284 22 17 21.68 +16 31 27.0          19.5 Vrv5217B38
     K07R01J  C2007 09 08.95669 22 17 22.44 +16 31 27.1          19.4 Vrv5217B38
     K07R01J  C2007 09 08.96047 22 17 23.22 +16 31 27.7          19.5 Vrv5217B38
     K07R01J  C2007 09 08.96435 22 17 24.03 +16 31 28.4          19.6 Vrv5217B38
     K07R01J  C2007 09 08.96823 22 17 24.86 +16 31 28.5          19.8 Vrv5217B38
     K07R01J  C2007 09 10.09658922 23 35.15 +16 34 09.7          19.5 Vov5217H55
     K07R01J  C2007 09 10.10657822 23 38.31 +16 34 12.9          19.2 Vov5217H55
     K07R01J  C2007 09 10.11573222 23 41.17 +16 34 15.7          19.5 Vov5217H55
     K07R01J  C2007 09 10.15519 22 23 58.41 +16 34 40.9          18.8 Vrv5217703
     K07R01J  C2007 09 10.16169 22 24 00.54 +16 34 43.8          19.3 Vrv5217703
     K07R01J  C2007 09 10.16817 22 24 02.59 +16 34 46.3          19.6 Vrv5218703
     K07R01J  C2007 09 10.17466 22 24 04.50 +16 34 48.3          19.1 Vrv5218703
     K07R01J  C2007 09 11.78075 22 37 46.59 +16 34 08.7          18.6 Vrv5218A78
     K07R01J  C2007 09 11.78866 22 37 51.47 +16 34 08.5          18.4 Vrv5218A78
     K07R01J  C2007 09 11.79262 22 37 53.97 +16 34 09.8          18.4 Vrv5218A78
     K07R01J  C2007 09 11.79653 22 37 56.39 +16 34 10.8          18.2 Vrv5218A78
     K07R01J  C2007 09 11.80046 22 37 58.75 +16 34 11.3          18.2 Vrv5218A78
     K07R01J  C2007 09 11.86430 22 38 37.75 +16 34 11.2          18.8 Vcv5218560
     K07R01J  C2007 09 11.86655 22 38 39.12 +16 34 11.2          18.7 Vcv5218560
     K07R01J  C2007 09 11.86860 22 38 40.35 +16 34 11.3          18.8 Vcv5218560
     K07R01J  C2007 09 12.36524 22 44 43.05 +16 33 00.3          18.3 Rrv5218H45
     K07R01J  C2007 09 12.36831 22 44 45.37 +16 32 57.8          18.2 Rrv5218H45
     K07R01J  C2007 09 12.36905 22 44 46.01 +16 32 57.2          18.2 Rrv5218H45
     K07R01J  C2007 09 12.36973 22 44 46.52 +16 32 57.1          18.0 Rrv5218H45
     K07R01J  C2007 09 12.37094 22 44 47.48 +16 32 56.0          18.1 Rrv5218H45
     K07R01J  C2007 09 12.37194 22 44 48.27 +16 32 55.8          17.9 Rrv5218H45
     K07R01J  C2007 09 12.37294 22 44 49.11 +16 32 55.1          18.4 Rrv5218H45
     K07R01J  C2007 09 12.37407 22 44 49.92 +16 32 54.1          18.1 Rrv5218H45
     K07R01J  C2007 09 12.37491 22 44 50.57 +16 32 53.6          18.0 Rrv5218H45
     K07R01J  C2007 09 12.37622 22 44 51.62 +16 32 52.5          18.1 Rrv5218H45
     K07R01J  C2007 09 12.84954 22 52 55.39 +16 28 30.9          18.2 Vrv5218240
     K07R01J  C2007 09 12.85111 22 52 56.95 +16 28 30.2          18.2 Vrv5218240
     K07R01J  C2007 09 12.85268 22 52 58.52 +16 28 29.6          18.1 Vrv5218240
     K07R01J  C2007 09 12.85740 22 53 03.19 +16 28 28.0          18.4 Vrv5218240
     K07R01J  C2007 09 12.85835 22 53 04.11 +16 28 27.6          18.4 Vrv5218240
     K07R01J  C2007 09 12.85898 22 53 04.73 +16 28 27.4          18.3 Vrv5218240
     K07R01J  C2007 09 12.86150 22 53 07.23 +16 28 26.7          17.9 Vrv5218240
     K07R01J  C2007 09 12.86307 22 53 08.79 +16 28 26.3          18.0 Vrv5218240
     K07R01J  C2007 09 12.86402 22 53 09.74 +16 28 25.9          17.8 Vrv5218240
     K07R01J  C2007 09 12.86889 22 53 14.46 +16 28 56.1          17.8 Vrv5218B38
     K07R01J  C2007 09 12.87258 22 53 18.10 +16 28 54.3          17.7 Vrv5218B38
     K07R01J  C2007 09 12.87651 22 53 21.94 +16 28 52.8          18.0 Vrv5218B38
     K07R01J  C2007 09 12.88044 22 53 25.78 +16 28 50.9          18.0 Vrv5218B38
     K07R01J  C2007 09 12.88535 22 53 30.61 +16 28 49.2          18.0 Vrv5218B38
     K07R01J  C2007 09 12.89021 22 53 35.44 +16 28 47.5          17.8 Vrv5218B38
     K07R01J  C2007 09 12.89727 22 53 42.37 +16 28 43.7          17.7 Vrv5218B38
     K07R01J  C2007 09 12.90010 22 53 45.07 +16 28 43.3          17.6 Vrv5218B38
     K07R01J  C2007 09 12.91964 22 54 07.88 +16 27 41.9                rv5218J95
     K07R01J  C2007 09 12.92182 22 54 10.09 +16 27 40.9                rv5218J95
     K07R01J  C2007 09 12.92398 22 54 12.29 +16 27 39.9          18.0 Rrv5218J95
     K07R01J  C2007 09 13.89025923 17 56.17 +16 08 42.6                rv5218J95
     K07R01J  C2007 09 13.89139923 17 58.23 +16 08 40.9                rv5218J95
     K07R01J  C2007 09 13.89254523 18 00.28 +16 08 39.0          17.3 Rrv5218J95
     K07R01J  C2007 09 13.89483 23 18 01.363+16 10 01.17         17.3 Vrv5218A81
     K07R01J  C2007 09 13.90223 23 18 14.441+16 09 48.70         17.3 Vrv5218A81
     K07R01J  C2007 09 13.91245 23 18 32.616+16 09 30.51         17.5 Vrv5218A81
     K07R01J  C2007 09 13.92177 23 18 49.214+16 09 13.81         17.4 Vrv5218A81
     K07R01J  C2007 09 13.93094 23 19 05.669+16 08 56.60         17.3 Vrv5218A81
     K07R01J  C2007 09 13.95444 23 19 48.75 +16 07 40.9          17.4 Rcv5218A53
     K07R01J  C2007 09 13.95612 23 19 51.81 +16 07 37.4          17.4 Rcv5218A53
     K07R01J  C2007 09 13.95903 23 19 57.18 +16 07 31.1          17.4 Rcv5218A53
     K07R01J  C2007 09 13.96338 23 20 05.25 +16 07 22.7          17.4 Rcv5218A53
