     K07S11P* C2007 09 25.46397 08 24 14.61 +45 11 26.3          20.7 Vrv8166G96
     K07S11P  C2007 09 25.47042 08 24 15.73 +45 11 27.9          20.9 Vrv8166G96
     K07S11P  C2007 09 25.47674 08 24 17.13 +45 11 28.5          19.8 Vrv8166G96
     K07S11P  C2007 09 25.48311 08 24 18.25 +45 11 30.0          20.7 Vrv8166G96
     K07S11P  C2007 09 26.46788 08 27 28.09 +45 14 13.6          20.7 Vrv8166G96
     K07S11P  C2007 09 26.47228 08 27 28.96 +45 14 15.7          20.2 Vrv8166G96
     K07S11P  C2007 09 26.47669 08 27 29.77 +45 14 15.0          20.8 Vrv8166G96
     K07S11P  C2007 09 26.48108 08 27 30.60 +45 14 16.3          20.9 Vrv8166G96
     K07S11P  C2007 09 27.47672 08 30 42.33 +45 16 44.8          20.4 Vrv8166G96
     K07S11P  C2007 09 27.48155 08 30 43.30 +45 16 42.7          20.4 Vrv8166G96
     K07S11P  C2007 09 27.48639 08 30 44.31 +45 16 43.2          21.6 Vrv8166G96
     K07S11P  C2007 09 27.49121 08 30 45.14 +45 16 43.6          20.8 Vrv8166G96
     K07S11P  C2007 10 14.47861 09 24 11.01 +45 40 14.7          21.1 Vrw0693G96
     K07S11P  C2007 10 14.48817 09 24 12.70 +45 40 14.6          20.3 Vrw0693G96
     K07S11P  C2007 10 14.49786 09 24 14.47 +45 40 15.0          20.9 Vrw0693G96
     K07S11P  C2007 10 14.50743 09 24 16.20 +45 40 16.3          20.1 Vrw0693G96
     K07S11P  C2007 10 15.46510 09 27 11.73 +45 40 39.3          21.2 Vrw0693G96
     K07S11P  C2007 10 15.46977 09 27 12.67 +45 40 39.6          21.4 Vrw0693G96
     K07S11P  C2007 10 15.47449 09 27 13.42 +45 40 39.6          21.1 Vrw0693G96
     K07S11P  C2007 10 15.47918 09 27 14.32 +45 40 40.1          21.5 Vrw0693G96
     K07S11P  C2007 11 20.46327 11 05 24.28 +45 34 58.2          19.6 Vrw9043G96
     K07S11P  C2007 11 20.46745 11 05 24.86 +45 34 58.2          19.9 Vrw9043G96
     K07S11P  C2007 11 20.47166 11 05 25.44 +45 34 58.5          19.6 Vrw9043G96
     K07S11P  C2007 11 20.47588 11 05 26.01 +45 34 58.3          19.6 Vrw9043G96
     K07S11P  C2008 01 21.37758 12 19 05.70 +50 01 18.1          20.5 Vrx5520G96
     K07S11P  C2008 01 21.38183 12 19 05.62 +50 01 20.4          19.6 Vrx5520G96
     K07S11P  C2008 01 21.38603 12 19 05.55 +50 01 22.4          19.6 Vrx5520G96
     K07S11P  C2008 01 21.39024 12 19 05.44 +50 01 24.4          19.5 Vrx5520G96
     K07S11P  C2011 11 24.28708 06 20 36.02 +67 24 51.5          19.7 Vr~1Yc1703
     K07S11P  C2011 11 24.29096 06 20 36.13 +67 24 57.2          19.8 Vr~1Yc1703
     K07S11P  C2011 11 24.29492 06 20 35.84 +67 25 02.6          19.6 Vr~1Yc1703
     K07S11P  C2011 11 24.29889 06 20 35.73 +67 25 08.0          19.4 Vr~1Yc1703
     K07S11P  C2015 09 09.48806 02 50 39.478+14 08 26.84         20.0 wL~1Yc1F51
     K07S11P  C2015 09 09.50033 02 50 39.411+14 08 36.56         20.1 wL~1Yc1F51
     K07S11P  C2015 09 09.51262 02 50 39.338+14 08 46.23         20.0 wL~1Yc1F51
     K07S11P  C2015 09 12.79502 02 50 15.74 +14 52 18.1          20.5 Rq~1Yc1D29
     K07S11P  C2015 09 12.80957 02 50 15.60 +14 52 30.3          19.6 Rq~1Yc1D29
     K07S11P  C2015 09 12.82413 02 50 15.41 +14 52 41.6          20.4 Rq~1Yc1D29
     K07S11P  C2015 09 18.41109 02 48 39.68 +16 08 58.2          19.5 Vq~1Yc1703
     K07S11P  C2015 09 18.42111 02 48 39.41 +16 09 06.0                q~1Yc1703
     K07S11P  C2015 09 18.42611 02 48 39.42 +16 09 11.0                q~1Yc1703
