f7949K07T23B 7C2007 10 03.48787 04 03 37.04 -01 06 17.3          20.0 ro~0Wj3705
f7949K07T23B 7C2007 10 03.48870 04 03 36.96 -01 06 16.4                o~0Wj3705
f7949K07T23B 7C2007 10 03.49119 04 03 36.72 -01 06 13.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48646 03 54 21.57 +00 38 10.2          19.0 ro~0Wj3705
f7949K07T23B 7C2007 10 08.48729 03 54 21.47 +00 38 11.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48977 03 54 21.13 +00 38 14.7                o~0Wj3705
f7949K07T23B 7C2007 10 09.46484 03 52 14.61 +01 00 29.0          19.2 ro~0Wj3705
f7949K07T23B 7C2007 10 09.46568 03 52 14.50 +01 00 30.2                o~0Wj3705
f7949K07T23B 7C2007 10 09.46816 03 52 14.15 +01 00 33.6                o~0Wj3705
f7949K07T23B* C2007 10 10.38885 03 50 09.34 +01 22 08.9          19.1 Vrv8881703
f7949K07T23B  C2007 10 10.40293 03 50 07.29 +01 22 28.5          19.3 Vrv8881703
f7949K07T23B  C2007 10 10.41702 03 50 05.31 +01 22 49.3          19.2 Vrv8881703
f7949K07T23B  C2007 10 10.43107 03 50 03.33 +01 23 08.9          20.3 Vrv8881703
f7949K07T23B  C2007 10 10.44048 03 50 02.00 +01 23 22.9          20.5 Vrv8881703
f7949K07T23B  C2007 10 10.45184 03 50 00.27 +01 23 39.3          19.8 Vrv8881703
f7949K07T23B  C2007 10 10.46326 03 49 58.65 +01 23 55.7          19.6 Vrv8881703
f7949K07T23B  C2007 10 10.47464 03 49 56.92 +01 24 10.9          19.7 Vrv8881703
f7949K07T23B  C2007 10 11.41281 03 47 43.36 +01 46 49.4          19.3 Rcv8882926
f7949K07T23B  C2007 10 11.41519 03 47 43.00 +01 46 53.8          19.5 Rcv8882926
f7949K07T23B  C2007 10 11.41759 03 47 42.61 +01 46 57.1          19.4 Rcv8882926
f7949K07T23B  C2007 10 11.45490 03 47 37.03 +01 47 50.7          20.2 Vrv8882G96
f7949K07T23B  C2007 10 11.45641 03 47 36.78 +01 47 53.0          19.9 Vrv8882G96
f7949K07T23B  C2007 10 11.45800 03 47 36.56 +01 47 55.2          19.6 Vrv8882G96
f7949K07T23B  C2007 10 11.45952 03 47 36.34 +01 47 57.4          20.1 Vrv8882G96
f7949K07T23B  C2007 10 12.41318 03 45 14.18 +02 11 37.1                rw0720701
f7949K07T23B  C2007 10 12.43541 03 45 10.58 +02 12 11.6                rw0720701
f7949K07T23B  C2007 10 12.45763 03 45 07.09 +02 12 44.4                rw0720701
f7949K07T23B  C2007 10 14.33876 03 40 08.43 +03 01 17.6          19.1 Vrw0720G96
f7949K07T23B  C2007 10 14.35029 03 40 06.49 +03 01 36.0          19.3 Vrw0720G96
f7949K07T23B  C2007 10 14.36189 03 40 04.51 +03 01 54.2          19.5 Vrw0720G96
f7949K07T23B  C2007 10 14.37360 03 40 02.49 +03 02 13.0          19.9 Vrw0720G96
f7949K07T23B  C2007 10 15.03789 03 38 10.87 +03 19 54.8                ow0720246
f7949K07T23B  C2007 10 15.03905 03 38 10.67 +03 19 56.8                ow0720246
f7949K07T23B  C2007 10 15.03970 03 38 10.55 +03 19 57.8                ow0720246
f7949K07T23B  C2007 10 15.04064 03 38 10.34 +03 19 59.3                ow0720246
f7949K07T23B  C2007 10 15.04149 03 38 10.26 +03 20 01.7                ow0720246
f7949K07T23B  C2007 10 15.04240 03 38 10.13 +03 20 03.3                ow0720246
f7949K07T23B  C2007 10 15.04311 03 38 09.98 +03 20 03.5                ow0720246
f7949K07T23B  C2007 10 15.39569 03 37 09.51 +03 29 39.0          19.8 Vrw0720G96
f7949K07T23B  C2007 10 15.40474 03 37 07.89 +03 29 53.7          19.6 Vrw0720G96
f7949K07T23B  C2007 10 15.41380 03 37 06.31 +03 30 08.7          19.4 Vrw0720G96
f7949K07T23B  C2007 10 15.42287 03 37 04.69 +03 30 23.4          19.1 Vrw0720G96
f7949K07T23B tC2007 10 15.42505 03 37 04.22 +03 30 28.0          19.7 Vow0720291
f7949K07T23B tC2007 10 15.42900 03 37 03.55 +03 30 33.8          19.8 Vow0720291
f7949K07T23B tC2007 10 15.43277 03 37 02.82 +03 30 40.5          19.5 Vow0720291
f7949K07T23B  C2007 10 16.02802 03 35 19.21 +03 46 55.2                ow0720246
f7949K07T23B  C2007 10 16.02920 03 35 18.96 +03 46 57.3                ow0720246
f7949K07T23B  C2007 10 16.03002 03 35 18.81 +03 46 59.0                ow0720246
f7949K07T23B  C2007 10 16.03100 03 35 18.67 +03 47 00.3                ow0720246
f7949K07T23B  C2007 10 16.03212 03 35 18.43 +03 47 02.0                ow0720246
f7949K07T23B  C2007 10 16.27651 03 34 35.49 +03 53 51.7                ow0720291
f7949K07T23B  C2007 10 16.28028 03 34 34.81 +03 53 58.1                ow0720291
f7949K07T23B  C2007 10 16.28405 03 34 34.11 +03 54 04.0                ow0720291
f7949K07T23B  C2007 10 16.43409 03 34 06.49 +03 58 14.9          19.1 Vrw0720703
