     K07T66E* C2007 10 12.45462 03 39 23.32 +11 07 19.3          20.1 Vrw0771G96
     K07T66E  C2007 10 12.46002 03 39 23.07 +11 07 07.5          20.1 Vrw0771G96
     K07T66E  C2007 10 12.46545 03 39 22.82 +11 06 55.5          20.0 Vrw0771G96
     K07T66E  C2007 10 12.47087 03 39 22.57 +11 06 43.8          20.0 Vrw0771G96
     K07T66E  C2007 10 12.49265 03 39 21.49 +11 05 56.0          20.3 Vrw0771G96
     K07T66E  C2007 10 12.49553 03 39 21.38 +11 05 49.4          20.4 Vrw0771G96
     K07T66E  C2007 10 12.49839 03 39 21.20 +11 05 43.2          20.4 Vrw0771G96
     K07T66E  C2007 10 13.34248 03 38 47.95 +10 34 38.5          20.8 Rcw0771651
     K07T66E  C2007 10 13.34392 03 38 47.95 +10 34 35.8          20.6 Rcw0771651
     K07T66E  C2007 10 13.34536 03 38 47.88 +10 34 32.7          20.6 Rcw0771651
     K07T66E  C2007 10 13.39665 03 38 45.09 +10 32 37.8          20.0 Vrw0771G96
     K07T66E  C2007 10 13.39840 03 38 45.02 +10 32 34.0                rw0771G96
     K07T66E  C2007 10 13.40019 03 38 44.97 +10 32 29.6                rw0771G96
     K07T66E  C2007 10 13.40197 03 38 44.82 +10 32 26.6          19.9 Vrw0771G96
     K07T66E  C2007 10 15.03166 03 37 27.36 +09 30 09.3                ow0771246
     K07T66E  C2007 10 15.03280 03 37 27.20 +09 30 07.1                ow0771246
     K07T66E  C2007 10 15.03443 03 37 27.14 +09 30 03.5                ow0771246
     K07T66E  C2007 10 15.03553 03 37 27.11 +09 30 01.0                ow0771246
     K07T66E  C2007 10 15.39508 03 37 08.00 +09 16 03.0          19.6 Vrw0771G96
     K07T66E  C2007 10 15.40411 03 37 07.42 +09 15 41.5          19.6 Vrw0771G96
     K07T66E  C2007 10 15.41316 03 37 06.85 +09 15 20.1          19.7 Vrw0771G96
     K07T66E  C2007 10 15.42226 03 37 06.24 +09 14 58.8          19.7 Vrw0771G96
     K07T66E  C2007 10 15.45275 03 37 04.29 +09 13 46.6          20.6 Vow0771291
     K07T66E  C2007 10 15.45669 03 37 04.02 +09 13 37.1          20.5 Vow0771291
     K07T66E  C2007 10 15.46051 03 37 03.79 +09 13 28.3          20.6 Vow0771291
     K07T66E  C2007 10 20.32884403 31 42.26 +05 50 20.3          20.1 Vow2604H55
     K07T66E  C2007 10 20.33094003 31 42.18 +05 50 14.7          20.1 Vow2604H55
     K07T66E  C2007 10 20.33348703 31 41.99 +05 50 07.9          20.1 Vow2604H55
     K07T66E  C2007 10 20.35560 03 31 40.62 +05 49 12.8          19.8 Vrw2604G96
     K07T66E  C2007 10 20.36058 03 31 40.18 +05 48 59.6          19.8 Vrw2604G96
