     K07T24U* C2007 10 11.26838 00 43 17.43 -14 27 58.9          20.3 Vrv8884703
     K07T24U  C2007 10 11.27553 00 43 16.68 -14 28 08.5          19.7 Vrv8884703
     K07T24U  C2007 10 11.28268 00 43 16.06 -14 28 18.8          19.8 Vrv8884703
     K07T24U  C2007 10 11.28980 00 43 15.42 -14 28 28.5          19.7 Vrv8884703
     K07T24U  C2007 10 11.32526 00 43 12.24 -14 29 17.7          18.9 Rcv8884651
     K07T24U  C2007 10 11.32635 00 43 12.11 -14 29 19.5          19.0 Rcv8884651
     K07T24U  C2007 10 11.32745 00 43 12.03 -14 29 20.6          19.1 Rcv8884651
     K07T24U  C2007 10 11.33834 00 43 10.82 -14 29 37.3          19.3 Rrv8884649
     K07T24U  C2007 10 11.34012 00 43 10.66 -14 29 39.1          19.4 Rrv8884649
     K07T24U  C2007 10 11.34189 00 43 10.50 -14 29 41.7          19.4 Rrv8884649
     K07T24U  C2007 10 11.34367 00 43 10.35 -14 29 44.1          19.6 Rrv8884649
     K07T24U  C2007 10 11.34406 00 43 10.54 -14 29 43.5          19.5 Vrv8884703
     K07T24U  C2007 10 11.34535 00 43 10.42 -14 29 45.2          19.4 Vrv8884703
     K07T24U  C2007 10 11.34660 00 43 10.36 -14 29 46.8          19.4 Vrv8884703
     K07T24U  C2007 10 11.34788 00 43 10.21 -14 29 48.5          19.4 Vrv8884703
     K07T24U  C2007 10 12.04776 00 42 11.75 -14 45 49.7          19.7 Rov8884204
     K07T24U VC2007 10 12.07418 00 42 09.39 -14 46 25.7                ov8884204
     K07T24U 5C2007 10 12.24792 00 41 55.90 -14 50 21.4          19.8 Rov8884673
     K07T24U 5C2007 10 12.25556 00 41 55.16 -14 50 31.8                ov8884673
     K07T24U 5C2007 10 12.25939 00 41 54.83 -14 50 37.1                ov8884673
     K07T24U 5C2007 10 12.26366 00 41 54.40 -14 50 43.3                ov8884673
     K07T24U  C2007 10 12.32721 00 41 48.44 -14 52 09.6          20.4 Vrv8884G96
     K07T24U  C2007 10 12.33012 00 41 48.19 -14 52 13.3          20.3 Vrv8884G96
     K07T24U  C2007 10 12.33315 00 41 47.90 -14 52 17.6          20.4 Vrv8884G96
     K07T24U  C2007 10 12.33612 00 41 47.61 -14 52 21.7          20.4 Vrv8884G96
     K07T24U  C2007 10 12.48461 00 41 35.54 -14 55 20.1          19.1 Rov8884474
     K07T24U  C2007 10 12.49065 00 41 35.05 -14 55 28.2          19.3 Rov8884474
     K07T24U  C2007 10 12.49456 00 41 34.63 -14 55 33.5          19.6 Rov8884474
     K07T24U  C2007 10 13.94584 00 39 30.06 -15 28 58.1          19.4 Vdw0723A56
     K07T24U  C2007 10 13.95316 00 39 29.36 -15 29 08.8          19.6 Vdw0723A56
     K07T24U  C2007 10 13.95392 00 39 29.28 -15 29 09.8          19.6 Vdw0723A56
     K07T24U  C2007 10 13.96040 00 39 28.69 -15 29 19.5          19.5 Vdw0723A56
     K07T24U  C2007 10 14.25071 00 39 03.70 -15 35 51.4          20.6 Vrw0723G96
     K07T24U  C2007 10 14.25557 00 39 03.27 -15 35 57.8          20.7 Vrw0723G96
     K07T24U  C2007 10 14.26049 00 39 02.80 -15 36 04.5          20.5 Vrw0723G96
     K07T24U  C2007 10 14.26536 00 39 02.34 -15 36 11.2          20.6 Vrw0723G96
     K07T24U  C2007 10 14.95147 00 38 01.83 -15 51 43.5                ow0723246
     K07T24U  C2007 10 14.95244 00 38 01.79 -15 51 45.2                ow0723246
     K07T24U  C2007 10 14.95340 00 38 01.66 -15 51 46.5                ow0723246
     K07T24U  C2007 10 14.95420 00 38 01.56 -15 51 46.8                ow0723246
     K07T24U  C2007 10 14.95505 00 38 01.52 -15 51 49.1                ow0723246
     K07T24U  C2007 10 15.25542 00 37 35.27 -15 58 30.3          19.7 Vow0723291
