     K07V03C* C2007 11 02.26874 02 39 55.65 -09 17 40.1          19.4 Vrw5170703
     K07V03C  C2007 11 02.27523 02 39 54.97 -09 18 13.3          19.4 Vrw5170703
     K07V03C  C2007 11 02.28174 02 39 54.28 -09 18 47.2          19.5 Vrw5170703
     K07V03C  C2007 11 02.28824 02 39 53.49 -09 19 19.8          19.7 Vrw5170703
     K07V03C  C2007 11 02.32788 02 39 49.16 -09 22 40.9          19.4 Vrw5170703
     K07V03C  C2007 11 02.33295 02 39 48.74 -09 23 04.3          19.3 Vrw5170703
     K07V03C  C2007 11 02.33801 02 39 48.20 -09 23 28.7          20.1 Vrw5170703
     K07V03C  C2007 11 02.34307 02 39 47.60 -09 23 55.6          19.4 Vrw5170703
     K07V03C  C2007 11 02.94468 02 39 25.57 -10 10 24.7          19.4 Rrw5170176
     K07V03C  C2007 11 02.94554 02 39 25.53 -10 10 28.8          19.1 Rrw5170176
     K07V03C  C2007 11 02.95553 02 39 24.58 -10 11 10.6          19.5 Rrw5170176
     K07V03C  C2007 11 02.95639 02 39 24.51 -10 11 14.3          19.3 Rrw5170176
     K07V03C  C2007 11 03.31598 02 39 07.92 -10 35 18.3          19.8 Rcw5170651
     K07V03C  C2007 11 03.31708 02 39 07.87 -10 35 22.7          19.8 Rcw5170651
     K07V03C  C2007 11 03.31817 02 39 07.72 -10 35 26.8          19.8 Rcw5170651
     K07V03C  C2007 11 03.31974 02 39 07.59 -10 35 35.1          20.2 Vrw5170G96
     K07V03C  C2007 11 03.32627 02 39 07.02 -10 36 00.0          19.7 Vrw5170G96
     K07V03C  C2007 11 03.33281 02 39 06.40 -10 36 25.3          19.9 Vrw5170G96
     K07V03C  C2007 11 03.33937 02 39 05.79 -10 36 50.5          19.6 Vrw5170G96
     K07V03C  C2007 11 04.42958 02 38 25.08 -11 38 14.1          20.1 Vrw5170G96
     K07V03C  C2007 11 04.43013 02 38 25.08 -11 38 16.0          20.3 Vrw5170G96
     K07V03C  C2007 11 04.43066 02 38 25.04 -11 38 17.5          20.3 Vrw5170G96
     K07V03C  C2007 11 04.43120 02 38 25.00 -11 38 18.7          20.6 Vrw5170G96
     K07V03C  C2007 11 06.29903 02 37 42.18 -12 53 57.1                ow5170291
     K07V03C HC2007 11 06.30286 02 37 41.96 -12 54 04.2                ow5170291
     K07V03C  C2007 11 07.30454 02 37 21.78 -13 23 41.1          20.8 Vow5170291
     K07V03C  C2007 11 07.30845 02 37 21.56 -13 23 47.0          21.0 Vow5170291
     K07V03C  C2007 11 07.31244 02 37 21.35 -13 23 53.4          20.7 Vow5170291
     K07V03C  C2007 11 08.24485 02 37 07.95 -13 46 23.4                ow5170291
     K07V03C  C2007 11 08.24901 02 37 07.73 -13 46 28.9          20.9 Vow5170291
     K07V03C  C2007 11 08.25284 02 37 07.52 -13 46 34.0          20.7 Vow5170291
