     K07V12D* C2007 11 05.37916 05 27 03.31 -17 17 13.1          18.4 Vrw5185703
     K07V12D  C2007 11 05.38456 05 27 03.52 -17 17 11.6          18.0 Vrw5185703
     K07V12D  C2007 11 05.38998 05 27 03.81 -17 17 09.7          18.1 Vrw5185703
     K07V12D  C2007 11 05.39542 05 27 03.99 -17 17 07.9          18.1 Vrw5185703
     K07V12D  C2007 11 05.46724 05 27 07.20 -17 16 46.5          18.0 Vrw5185703
     K07V12D  C2007 11 05.47397 05 27 07.48 -17 16 44.2          18.0 Vrw5185703
     K07V12D  C2007 11 05.48067 05 27 07.77 -17 16 41.9          18.1 Vrw5185703
     K07V12D  C2007 11 05.48732 05 27 08.10 -17 16 39.3          18.0 Vrw5185703
     K07V12D  C2007 11 07.33119805 29 04.15 -17 04 39.6          19.5 Vow5185H55
     K07V12D  C2007 11 07.33507605 29 04.36 -17 04 37.6          18.4 Vow5185H55
     K07V12D  C2007 11 07.33833005 29 04.51 -17 04 36.1          18.7 Vow5185H55
     K07V12D  C2007 11 07.36513 05 29 06.57 -17 04 18.3          18.6 Rcw5185711
     K07V12D  C2007 11 07.36715 05 29 05.76 -17 04 19.7          18.2 Rrw5185850
     K07V12D  C2007 11 07.37278 05 29 06.90 -17 04 14.5          18.8 Rcw5185711
     K07V12D  C2007 11 07.38042 05 29 07.26 -17 04 10.8          18.5 Rcw5185711
     K07V12D  C2007 11 07.38200 05 29 06.43 -17 04 12.5          17.9 Rrw5185850
     K07V12D  C2007 11 07.38248 05 29 07.69 -17 04 10.7          18.1 Vrw5185703
     K07V12D  C2007 11 07.38698 05 29 07.90 -17 04 09.0          18.2 Vrw5185703
     K07V12D  C2007 11 07.39142 05 29 08.08 -17 04 06.8          18.1 Vrw5185703
     K07V12D  C2007 11 07.39587 05 29 08.23 -17 04 04.4          18.1 Vrw5185703
     K07V12D  C2007 11 07.39688 05 29 07.13 -17 04 05.0          18.3 Rrw5185850
     K07V12D  C2007 11 07.41176 05 29 07.85 -17 03 57.5          18.1 Rrw5185850
     K07V12D  C2007 11 08.31187 05 30 08.71 -16 55 55.7          18.2 Rrw5185H45
     K07V12D  C2007 11 08.31275 05 30 08.69 -16 55 55.8          18.3 Rrw5185H45
     K07V12D  C2007 11 08.31478 05 30 08.84 -16 55 53.9          18.3 Rrw5185H45
     K07V12D  C2007 11 08.31673 05 30 08.97 -16 55 53.2          17.9 Rrw5185H45
