     K07VJ1E* C2007 11 15.26603 03 01 02.42 +28 18 46.0          19.9 Vrw7170G96
     K07VJ1E  C2007 11 15.27155 03 01 01.56 +28 18 44.3          20.2 Vrw7170G96
     K07VJ1E  C2007 11 15.27714 03 01 00.69 +28 18 42.4          19.8 Vrw7170G96
     K07VJ1E  C2007 11 15.28270 03 00 59.79 +28 18 40.5          19.8 Vrw7170G96
     K07VJ1E  C2007 11 15.33135 03 00 52.16 +28 18 22.6          19.9 Vrw7170G96
     K07VJ1E  C2007 11 15.33576 03 00 51.48 +28 18 20.7          20.0 Vrw7170G96
     K07VJ1E  C2007 11 15.34309 03 00 50.32 +28 18 17.7          19.9 Vrw7170G96
     K07VJ1E  C2007 11 15.34749 03 00 49.64 +28 18 15.9          19.9 Vrw7170G96
     K07VJ1E  C2007 11 16.02018 02 59 18.86 +28 13 38.7                rw7170J95
     K07VJ1E  C2007 11 16.02435 02 59 18.17 +28 13 36.7                rw7170J95
     K07VJ1E  C2007 11 16.02853 02 59 17.44 +28 13 35.3          20.0 Rrw7170J95
     K07VJ1E  C2007 11 16.14883 02 59 04.70 +28 12 59.6          19.8 Vrw7170G96
     K07VJ1E  C2007 11 16.14942 02 59 04.63 +28 12 59.9          19.9 Vrw7170G96
     K07VJ1E  C2007 11 16.15292 02 59 04.02 +28 12 58.7          19.6 Vrw7170G96
     K07VJ1E  C2007 11 16.15352 02 59 03.94 +28 12 58.8          19.7 Vrw7170G96
     K07VJ1E  C2007 11 16.15436102 59 02.04 +28 12 56.7          20.5 Vow8380H55
     K07VJ1E  C2007 11 16.15706 02 59 03.33 +28 12 57.8          20.1 Vrw7170G96
     K07VJ1E  C2007 11 16.15765 02 59 03.26 +28 12 57.6          19.9 Vrw7170G96
     K07VJ1E  C2007 11 16.15826002 59 01.40 +28 12 55.5          20.5 Vow8380H55
     K07VJ1E  C2007 11 16.16125 02 59 02.65 +28 12 56.8          20.0 Vrw7170G96
     K07VJ1E  C2007 11 16.16185 02 59 02.54 +28 12 56.5          19.9 Vrw7170G96
     K07VJ1E  C2007 11 16.16232602 59 00.65 +28 12 53.7          20.2 Vow8380H55
     K07VJ1E  C2007 11 18.29229 02 52 41.92 +27 53 00.2          19.5 Rrw8380H45
     K07VJ1E  C2007 11 18.29409 02 52 41.32 +27 52 58.9          19.5 Rrw8380H45
     K07VJ1E  C2007 11 18.29553 02 52 41.06 +27 52 58.2          19.5 Rrw8380H45
     K07VJ1E  C2007 11 18.29719 02 52 40.70 +27 52 56.3          19.4 Rrw8380H45
     K07VJ1E  C2007 11 18.30128 02 52 39.71 +27 52 53.1          19.2 Rrw8380H45
     K07VJ1E  C2007 11 18.30282 02 52 39.33 +27 52 52.1          19.2 Rrw8380H45
     K07VJ1E  C2007 11 18.30438 02 52 38.97 +27 52 50.5          19.4 Rrw8380H45
     K07VJ1E  C2007 11 18.30593 02 52 38.55 +27 52 49.2          19.4 Rrw8380H45
     K07VJ1E !C2007 11 19.30399 02 48 46.82 +27 39 00.3                ow9214689
     K07VJ1E tC2007 11 19.39507 02 48 19.68 +27 37 26.6          19.7 Vow8380291
     K07VJ1E tC2007 11 19.39912 02 48 18.48 +27 37 22.0          19.5 Vow8380291
     K07VJ1E tC2007 11 19.40385 02 48 17.17 +27 37 16.0          19.9 Vow8380291
     K07VJ1E  C2007 11 20.11321 02 45 05.99 +27 24 24.1          19.3 Vow9214291
     K07VJ1E  C2007 11 20.11733 02 45 04.61 +27 24 20.1          19.2 Vow9214291
     K07VJ1E  C2007 11 20.12139 02 45 03.23 +27 24 16.0          19.8 Vow9214291
     K07VJ1E  C2007 11 20.15931 02 44 50.20 +27 23 36.8          19.2 Vrw9214G96
     K07VJ1E  C2007 11 20.16370 02 44 48.66 +27 23 32.1          18.7 Vrw9214G96
     K07VJ1E  C2007 11 20.16808 02 44 47.14 +27 23 27.6          18.6 Vrw9214G96
     K07VJ1E  C2007 11 20.17243 02 44 45.63 +27 23 22.9          18.9 Vrw9214G96
     K07VJ1E  C2007 11 23.85527 02 11 27.50 +24 49 24.4                rw9214J95
     K07VJ1E  C2007 11 23.85809 02 11 24.66 +24 49 10.5                rw9214J95
     K07VJ1E  C2007 11 23.86229 02 11 20.46 +24 48 51.3          17.9 Rrw9214J95
     K07VJ1E  C2007 11 23.94335 02 09 57.86 +24 42 06.1          17.4 Rrw9214J95
     K07VJ1E  C2007 11 25.95801 01 15 55.65 +19 08 13.7          17.0 Vrw9214H98
     K07VJ1E  C2007 11 25.96357 01 15 40.51 +19 06 32.8          16.5 Vrw9214H98
     K07VJ1E  C2007 11 25.96729 01 15 30.38 +19 05 25.3          17.3 Vrw9214H98
     K07VJ1E  C2007 11 26.55381 00 44 04.29 +15 20 45.5          16.8 Rcw9214D21
     K07VJ1E  C2007 11 26.70163 00 34 30.79 +13 52 00.6          16.6 Vrw9214A78
     K07VJ1E  C2007 11 26.70304 00 34 24.70 +13 51 12.4          16.9 Vrw9214A78
     K07VJ1E  C2007 11 26.70445 00 34 18.58 +13 50 24.1          17.0 Vrw9214A78
     K07VJ1E  C2007 11 26.70798 00 34 03.29 +13 48 23.7          16.7 Vrw9214A78
     K07VJ1E  C2007 11 26.71286 00 33 42.07 +13 45 35.3          16.5 Vrw9214A78
     K07VJ1E  C2007 11 26.71441 00 33 35.30 +13 44 42.1          16.5 Vrw9214A78
     K07VJ1E  C2007 11 26.96746 00 13 34.84 +10 59 57.0          15.7 Row9214204
     K07VJ1E  C2007 11 26.96817 00 13 31.23 +10 59 26.2                ow9214204
     K07VJ1E  C2007 11 26.96888 00 13 27.63 +10 58 55.0          16.2 Row9214204
     K07VJ1E  C2007 11 26.96958 00 13 24.02 +10 58 24.2                ow9214204
     K07VJ1E  C2007 11 26.97029 00 13 20.42 +10 57 53.5          15.9 Row9214204
     K07VJ1E  C2007 11 27.20222 23 52 26.33 +07 53 08.1          15.8 Rrw9214H51
     K07VJ1E  C2007 11 27.20356 23 52 18.45 +07 51 57.6          15.6 Rrw9214H51
     K07VJ1E  C2007 11 27.20581 23 52 04.98 +07 49 57.9          15.3 Rrw9214H51
     K07VJ1E  C2007 11 28.51108 20 59 05.35 -17 34 50.8          18.1 Rcw9214D21
     K07VJ1E  C2007 11 28.51193 20 58 57.62 -17 35 46.5          17.5 Rcw9214D21
     K07VJ1E  C2007 11 28.51278 20 58 49.86 -17 36 41.6          17.5 Rcw9214D21
     K07VJ1E  C2007 11 28.51448 20 58 34.45 -17 38 31.8          18.4 Rcw9214D21
     K07VJ1E  C2007 11 28.51619 20 58 18.90 -17 40 22.3          18.5 Rcw9214D21
