     K07V03H* C2007 11 02.41266 04 05 37.57 +09 54 42.2          21.0 Vrw5171G96
     K07V03H  C2007 11 02.42096 04 05 37.93 +09 54 38.7          21.3 Vrw5171G96
     K07V03H  C2007 11 02.42927 04 05 38.29 +09 54 37.0          22.2 Vrw5171G96
     K07V03H  C2007 11 02.43763 04 05 38.58 +09 54 34.3          22.0 Vrw5171G96
     K07V03H  C2007 11 03.40941 04 06 25.66 +09 49 32.3          21.3 Vrw5171G96
     K07V03H  C2007 11 03.41794 04 06 26.02 +09 49 29.7          21.4 Vrw5171G96
     K07V03H  C2007 11 03.42645 04 06 26.38 +09 49 26.7          21.2 Vrw5171G96
     K07V03H  C2007 11 03.43495 04 06 26.71 +09 49 23.8          21.6 Vrw5171G96
     K07V03H  C2007 11 04.36754 04 07 11.36 +09 44 33.0          20.9 Vrw5171G96
     K07V03H  C2007 11 04.40867 04 07 12.92 +09 44 19.7          21.5 Vrw5171G96
     K07V03H  C2007 11 04.42029 04 07 13.37 +09 44 16.1          21.3 Vrw5171G96
     K07V03H  C2007 11 05.29952 04 07 55.16 +09 39 41.2                ow5171291
     K07V03H HC2007 11 05.30327 04 07 55.35 +09 39 40.3                ow5171291
     K07V03H  C2007 11 05.30713 04 07 55.47 +09 39 39.5                ow5171291
     K07V03H HC2007 11 06.43036 04 08 45.25 +09 33 47.1                ow5171291
     K07V03H  C2007 11 06.43413 04 08 45.38 +09 33 46.1                ow5171291
     K07V03H HC2007 11 06.43802 04 08 45.51 +09 33 44.3                ow5171291
     K07V03H  C2007 11 07.26488 04 09 23.89 +09 29 25.9          21.2 Vow5171291
     K07V03H  C2007 11 07.27058104 09 23.64 +09 29 22.7          21.3 Vow5171H55
     K07V03H  C2007 11 07.27196 04 09 24.11 +09 29 23.5          21.4 Vow5171291
     K07V03H  C2007 11 07.27902 04 09 24.40 +09 29 21.7          21.7 Vow5171291
     K07V03H  C2007 11 07.28060204 09 23.96 +09 29 18.7          21.1 Vow5171H55
     K07V03H  C2007 11 07.28775704 09 24.08 +09 29 16.0          21.3 Vow5171H55
     K07V03H  C2007 11 12.33246 04 12 56.40 +09 03 48.7          20.9 Rcw7059711
     K07V03H  C2007 11 12.34508 04 12 56.82 +09 03 44.1          21.1 Rcw7059711
     K07V03H  C2007 11 12.35769 04 12 57.10 +09 03 41.7          20.9 Rcw7059711
     K07V03H  C2007 11 13.30642 04 13 35.97 +08 59 07.5          21.2 Vrw7059G96
     K07V03H  C2007 11 13.31572 04 13 36.22 +08 59 05.2          21.0 Vrw7059G96
     K07V03H  C2007 11 13.32492 04 13 36.48 +08 59 02.5          21.2 Vrw7059G96
     K07V03H  C2007 11 13.33424 04 13 36.76 +08 59 00.3          21.0 Vrw7059G96
     K07V03H  C2007 11 20.37486 04 18 10.24 +08 30 08.2          20.8 Rrw9155448
     K07V03H  C2007 11 20.41126 04 18 11.22 +08 30 00.4          20.1 Rrw9155448
     K07V03H  C2007 11 20.43373 04 18 11.83 +08 29 56.0          19.8 Rrw9155448
     K07V03H  C2007 12 04.22968 04 28 18.12 +08 20 05.3          20.3 Rrw9928448
     K07V03H  C2007 12 04.24963 04 28 18.90 +08 20 08.7          20.2 Rrw9928448
     K07V03H  C2007 12 04.26957 04 28 19.62 +08 20 11.6          19.9 Rrw9928448
     K07V03H  C2007 12 16.25806 04 42 08.97 +09 41 18.4          19.6 Rrx1361448
     K07V03H  C2007 12 16.27305 04 42 10.10 +09 41 28.6          19.5 Rrx1361448
     K07V03H  C2007 12 16.28804 04 42 11.13 +09 41 38.3          19.9 Rrx1361448
     K07V03H  C2007 12 20.21857 04 48 43.16 +10 32 17.4          19.5 Rrx1842448
     K07V03H  C2007 12 20.23354 04 48 44.47 +10 32 31.3          19.5 Rrx1842448
     K07V03H  C2007 12 20.24850 04 48 45.83 +10 32 44.2          19.8 Rrx1842448
     K07V03H  C2007 12 25.28361 04 58 56.90 +11 55 26.8          19.6 Rrx1842448
     K07V03H  C2007 12 25.29574 04 58 58.25 +11 55 39.9          19.8 Rrx1842448
     K07V03H  C2007 12 25.30857 04 58 59.79 +11 55 54.1          20.3 Rrx1842448
     K07V03H  C2007 12 28.87095 05 07 35.64 +13 05 22.8          20.1 Vox1842198
     K07V03H  C2007 12 28.88849 05 07 38.08 +13 05 44.4          20.2 Vox1842198
     K07V03H  C2007 12 28.89609 05 07 39.12 +13 05 53.7          20.0 Vox1842198
     K07V03H  C2007 12 28.89726 05 07 39.29 +13 05 55.1          20.2 Vox1842198
     K07V03H  C2007 12 28.90603 05 07 40.52 +13 06 05.9          20.0 Vox1842198
     K07V03H  C2007 12 28.91480 05 07 41.73 +13 06 16.8          20.3 Vox1842198
     K07V03H  C2007 12 31.31703 05 14 05.15 +13 58 04.4          19.6 Rrx2656H45
     K07V03H  C2007 12 31.31900 05 14 05.52 +13 58 06.3          19.6 Rrx2656H45
     K07V03H  C2007 12 31.32053 05 14 05.72 +13 58 08.2          19.6 Rrx2656H45
     K07V03H  C2007 12 31.32206 05 14 05.95 +13 58 10.4          19.5 Rrx2656H45
     K07V03H  C2007 12 31.32366 05 14 06.20 +13 58 12.2          19.5 Rrx2656H45
     K07V03H  C2007 12 31.32524 05 14 06.44 +13 58 14.5          19.5 Rrx2656H45
     K07V03H  C2008 01 09.28270 05 42 38.49 +17 32 02.2          19.6 Rrx3469H45
     K07V03H  C2008 01 09.28483 05 42 38.92 +17 32 05.3          19.5 Rrx3469H45
     K07V03H  C2008 01 09.28727 05 42 39.39 +17 32 09.3          19.5 Rrx3469H45
     K07V03H  C2008 01 11.26392 05 49 51.07 +18 21 00.9          19.6 Rrx3469H45
     K07V03H  C2008 01 11.26573 05 49 51.54 +18 21 03.7          19.5 Rrx3469H45
     K07V03H  C2008 01 11.26750 05 49 51.93 +18 21 05.8          19.6 Rrx3469H45
     K07V03H  C2008 01 11.26958 05 49 52.38 +18 21 09.3          19.7 Rrx3469H45
     K07V03H  C2008 01 11.27110 05 49 52.69 +18 21 11.0          19.6 Rrx3469H45
     K07V03H  C2008 01 15.24448 06 05 08.69 +19 57 13.3          19.6 Rrx4348H45
     K07V03H  C2008 01 15.25126 06 05 10.26 +19 57 22.2          19.6 Rrx4348H45
     K07V03H  C2008 01 15.25296 06 05 10.64 +19 57 24.3          19.5 Rrx4348H45
     K07V03H  C2008 01 15.25466 06 05 10.98 +19 57 26.4          19.5 Rrx4348H45
     K07V03H  C2008 01 15.26067 06 05 12.30 +19 57 35.2          19.5 Rrx4348H45
     K07V03H  C2008 01 15.26266 06 05 12.74 +19 57 37.5          19.6 Rrx4348H45
     K07V03H  C2008 01 23.12973006 37 32.28 +22 44 49.6          20.1 Vox5527H55
     K07V03H  C2008 01 23.13404206 37 33.25 +22 44 55.3          20.0 Vox5527H55
     K07V03H  C2008 01 23.13862206 37 34.28 +22 44 59.8          19.9 Vox5527H55
     K07V03H  C2008 02 06.15678 07 34 15.89 +25 38 03.2          20.8 Rrx6353448
     K07V03H  C2008 02 06.18404 07 34 21.62 +25 38 14.6          20.4 Rrx6353448
     K07V03H  C2008 02 06.21792 07 34 28.68 +25 38 27.2          20.2 Rrx6353448
     K07V03H  C2008 02 09.22046 07 45 34.48 +25 52 59.1          20.7 Vrx7648G96
     K07V03H  C2008 02 09.23293 07 45 36.97 +25 53 01.9          20.6 Vrx7648G96
     K07V03H  C2008 02 09.24190 07 45 38.73 +25 53 03.9          20.3 Vrx7648G96
