     K07W00A* C2007 11 16.30779 04 25 17.18 +06 58 18.0          17.4 Vrw7180703
     K07W00A  C2007 11 16.31149 04 25 17.47 +06 57 18.9          17.8 Vrw7180703
     K07W00A  C2007 11 16.31522 04 25 17.76 +06 56 21.2          17.7 Vrw7180703
     K07W00A  C2007 11 16.33723 04 25 19.70 +06 50 35.5          18.1 Vrw7180G96
     K07W00A  C2007 11 16.33755 04 25 19.74 +06 50 30.7          17.8 Vrw7180G96
     K07W00A  C2007 11 16.33785 04 25 19.77 +06 50 26.0          18.0 Vrw7180G96
     K07W00A  C2007 11 16.35419 04 25 21.17 +06 46 08.9          18.1 Vrw7180G96
     K07W00A  C2007 11 16.35451 04 25 21.19 +06 46 03.7          18.2 Vrw7180G96
     K07W00A  C2007 11 16.35484 04 25 21.23 +06 45 58.1          18.2 Vrw7180G96
     K07W00A  C2007 11 16.39112 04 25 18.82 +06 36 07.3          18.0 Rrw7180850
     K07W00A  C2007 11 16.39184 04 25 24.42 +06 36 14.2          18.1 Vrw7180703
     K07W00A  C2007 11 16.39237 04 25 24.45 +06 36 06.3          17.8 Vrw7180703
     K07W00A  C2007 11 16.39291 04 25 24.52 +06 35 57.7          18.1 Vrw7180703
     K07W00A  C2007 11 16.39343 04 25 24.56 +06 35 48.9          18.0 Vrw7180703
     K07W00A  C2007 11 16.39480 04 25 19.25 +06 35 08.5          18.0 Rrw7180850
     K07W00A  C2007 11 16.39849 04 25 19.69 +06 34 10.1          17.9 Rrw7180850
     K07W00A  C2007 11 16.40229 04 25 20.16 +06 33 09.4          17.5 Rrw7180850
     K07W00A  C2007 11 16.40622 04 25 20.61 +06 32 06.5          17.9 Rrw7180850
     K07W00A  C2007 11 16.41034 04 25 21.12 +06 31 00.8          18.0 Rrw7180850
     K07W00A  C2007 11 16.42961 04 25 28.05 +06 26 13.3          18.0 Vrw7180703
     K07W00A  C2007 11 16.43004 04 25 28.05 +06 26 05.9          18.0 Vrw7180703
     K07W00A  C2007 11 16.43045 04 25 28.16 +06 26 00.1          18.1 Vrw7180703
     K07W00A  C2007 11 16.44561 04 25 29.74 +06 21 56.9          17.8 Vrw7180G96
     K07W00A  C2007 11 16.44598 04 25 29.82 +06 21 50.8          17.8 Vrw7180G96
     K07W00A  C2007 11 16.44637 04 25 29.85 +06 21 44.5          17.9 Vrw7180G96
     K07W00A  C2007 11 16.44674 04 25 29.89 +06 21 38.7          17.8 Vrw7180G96
     K07W00A  C2007 11 16.68169 04 26 27.56 +05 23 31.4          18.6 Rcw8444D21
     K07W00A  C2007 11 16.68394 04 26 27.82 +05 22 57.2          18.6 Rcw8444D21
     K07W00A  C2007 11 16.68618 04 26 28.01 +05 22 20.4          18.5 Rcw8444D21
     K07W00A  C2007 11 17.07508 04 27 36.27 +03 27 19.1                ow9261204
     K07W00A  C2007 11 17.07660 04 27 36.45 +03 26 52.9                ow9261204
     K07W00A  C2007 11 17.07811 04 27 36.65 +03 26 26.6                ow9261204
     K07W00A  C2007 11 17.07964 04 27 36.83 +03 26 00.4                ow9261204
     K07W00A  C2007 11 17.08116 04 27 37.02 +03 25 34.1          17.7 Row9261204
     K07W00A 7C2007 11 17.25130 04 28 26.62 +02 37 10.9                ow9969696
     K07W00A 7C2007 11 17.25365 04 28 26.90 +02 36 29.5                ow9969696
     K07W00A  C2007 11 17.31186904 28 26.66 +02 18 47.9          18.0 Vow8444H55
     K07W00A  C2007 11 17.31455604 28 26.94 +02 18 00.2          18.2 Vow8444H55
     K07W00A  C2007 11 17.31759104 28 27.29 +02 17 06.7          18.3 Vow8444H55
     K07W00A  C2007 11 19.68326 04 37 52.37 -10 55 52.1          18.2 Rcw8444D21
     K07W00A  C2007 11 19.68516 04 37 52.62 -10 56 36.1          18.2 Rcw8444D21
     K07W00A  C2007 11 19.68705 04 37 52.93 -10 57 21.8          18.0 Rcw8444D21
     K07W00A  C2007 11 20.34586 04 40 55.34 -15 19 37.2          17.8 Vrw9261G96
     K07W00A  C2007 11 20.34875 04 40 55.81 -15 20 45.5          18.0 Vrw9261G96
     K07W00A  C2007 11 20.35163 04 40 56.31 -15 21 54.3          18.0 Vrw9261G96
     K07W00A  C2007 11 24.74260 05 11 07.28 -46 02 52.8          18.4 Rcw9261D21
     K07W00A  C2007 11 24.74556 05 11 08.25 -46 04 04.6          19.1 Rcw9261D21
     K07W00A  C2007 11 24.74847 05 11 09.55 -46 05 14.9          19.1 Rcw9261D21
