     K07W00C* C2007 11 16.34410 04 47 40.27 +09 30 57.4          20.7 Vrw7180G96
     K07W00C  C2007 11 16.34536 04 47 41.53 +09 31 02.2          19.4 Vrw7180G96
     K07W00C  C2007 11 16.34663 04 47 42.93 +09 31 08.3          20.3 Vrw7180G96
     K07W00C  C2007 11 16.34789 04 47 44.30 +09 31 14.1          19.9 Vrw7180G96
     K07W00C  C2007 11 16.41391 04 48 55.22 +09 36 07.1          19.7 Vrw7180G96
     K07W00C  C2007 11 16.41446 04 48 55.80 +09 36 09.7          20.0 Vrw7180G96
     K07W00C  C2007 11 16.41500 04 48 56.44 +09 36 12.2          20.0 Vrw7180G96
     K07W00C  C2007 11 16.41553 04 48 56.98 +09 36 14.2          20.1 Vrw7180G96
     K07W00C  C2007 11 16.44171 04 49 25.17 +09 38 08.5          19.9 Vrw7180G96
     K07W00C  C2007 11 16.44213 04 49 25.64 +09 38 10.2          19.6 Vrw7180G96
     K07W00C  C2007 11 16.44256 04 49 26.11 +09 38 12.1          20.0 Vrw7180G96
     K07W00C  C2007 11 16.44299 04 49 26.58 +09 38 14.1          19.9 Vrw7180G96
     K07W00C  C2007 11 17.33094205 05 58.80 +10 40 19.7          20.0 Vow8444H55
     K07W00C  C2007 11 17.33365805 06 01.52 +10 40 30.7          20.5 Vow8444H55
     K07W00C  C2007 11 17.33649105 06 04.25 +10 40 43.3          20.1 Vow8444H55
