     K07X11K* C2007 12 06.08860 01 43 49.76 -00 54 29.0          18.6 Vrw9988703
     K07X11K  C2007 12 06.09512 01 43 51.13 -00 54 17.1          18.9 Vrw9988703
     K07X11K  C2007 12 06.10161 01 43 52.57 -00 54 05.9          18.8 Vrw9988703
     K07X11K  C2007 12 06.10808 01 43 53.94 -00 53 54.2          18.8 Vrw9988703
     K07X11K  C2007 12 06.13906 01 44 00.63 -00 52 57.7          19.0 Vrw9988703
     K07X11K  C2007 12 06.14047 01 44 00.96 -00 52 55.6          18.7 Vrw9988703
     K07X11K  C2007 12 06.14189 01 44 01.28 -00 52 52.7          18.7 Vrw9988703
     K07X11K  C2007 12 06.14330 01 44 01.57 -00 52 50.0          18.9 Vrw9988703
     K07X11K  C2007 12 06.15281201 44 03.20 -00 52 35.0          18.3 Vow9988H55
     K07X11K  C2007 12 06.15625801 44 03.96 -00 52 28.6          18.7 Vow9988H55
     K07X11K  C2007 12 06.15979301 44 04.73 -00 52 22.2          19.0 Vow9988H55
     K07X11K  C2007 12 06.21882 01 44 17.99 -00 50 32.1          18.8 Rcw9988651
     K07X11K  C2007 12 06.21991 01 44 18.25 -00 50 30.5          18.7 Rcw9988651
     K07X11K  C2007 12 06.22209 01 44 18.71 -00 50 26.2          18.8 Rcw9988651
     K07X11K  C2007 12 06.24387 01 44 23.57 -00 49 47.7          18.6 Vrw9988703
     K07X11K  C2007 12 06.24441 01 44 23.68 -00 49 46.7          18.5 Vrw9988703
     K07X11K  C2007 12 06.24494 01 44 23.78 -00 49 45.1          18.4 Vrw9988703
     K07X11K  C2007 12 06.24546 01 44 23.79 -00 49 44.5          18.8 Vrw9988703
     K07X11K  C2007 12 06.30616 01 44 36.98 -00 47 53.8          19.0 Vrw9988703
     K07X11K  C2007 12 06.30669 01 44 37.13 -00 47 51.8          19.3 Vrw9988703
     K07X11K  C2007 12 06.30722 01 44 37.27 -00 47 52.6          19.7 Vrw9988703
     K07X11K  C2007 12 06.30774 01 44 37.41 -00 47 50.3          19.2 Vrw9988703
     K07X11K  C2007 12 06.76292 01 46 20.38 -00 34 13.4          19.7 Vcw9988104
     K07X11K  C2007 12 06.76557 01 46 20.91 -00 34 08.9          18.6 Vcw9988104
     K07X11K  C2007 12 06.76851 01 46 21.62 -00 34 03.8          18.7 Vcw9988104
     K07X11K  C2007 12 07.90740 01 50 29.91 -00 00 31.4                rw9988J95
     K07X11K  C2007 12 07.91211 01 50 30.84 -00 00 23.0          19.2 Rrw9988J95
