     K07Y00F* C2007 12 16.16288 01 31 22.26 +18 48 27.0          20.6 Vrx1900G96
     K07Y00F  C2007 12 16.16959 01 31 24.67 +18 48 21.5          21.0 Vrx1900G96
     K07Y00F  C2007 12 16.17637 01 31 27.12 +18 48 15.4          20.6 Vrx1900G96
     K07Y00F  C2007 12 16.18314 01 31 29.49 +18 48 09.9          20.2 Vrx1900G96
     K07Y00F  C2007 12 16.23960 01 31 49.94 +18 47 17.7          20.7 Vrx1900G96
     K07Y00F  C2007 12 16.24651 01 31 52.46 +18 47 11.0          20.2 Vrx1900G96
     K07Y00F  C2007 12 16.25330 01 31 54.98 +18 47 04.5          20.2 Vrx1900G96
     K07Y00F  C2007 12 16.26023 01 31 57.57 +18 46 57.8          20.5 Vrx1900G96
     K07Y00F  C2007 12 17.32201 01 38 58.70 +18 32 59.6          20.7 Vrx1900G96
     K07Y00F  C2007 12 17.32371 01 38 59.35 +18 32 58.3          20.9 Vrx1900G96
     K07Y00F  C2007 12 17.32535 01 38 59.92 +18 32 56.1          20.9 Vrx1900G96
     K07Y00F  C2007 12 17.32699 01 39 00.54 +18 32 54.4          20.3 Vrx1900G96
     K07Y00F  C2007 12 18.02718201 43 34.07 +18 24 17.9          20.7 Vox1900H55
     K07Y00F  C2007 12 18.03125801 43 35.34 +18 24 15.7          20.8 Vox1900H55
     K07Y00F  C2007 12 18.03554401 43 36.72 +18 24 12.7          20.8 Vox1900H55
     K07Y00F  C2007 12 28.24667 02 31 04.27 +16 53 17.3                ox1900291
     K07Y00F  C2007 12 28.25061 02 31 05.05 +16 53 14.8                ox1900291
     K07Y00F HC2007 12 28.25452 02 31 05.79 +16 53 13.9                ox1900291
     K07Y00F  C2008 01 11.16324 03 13 01.84 +16 13 26.7          21.9 Vrx9567G96
     K07Y00F  C2008 01 11.16918 03 13 02.56 +16 13 26.1          22.1 Vrx9567G96
     K07Y00F  C2008 01 11.17512 03 13 03.36 +16 13 26.3          22.0 Vrx9567G96
     K07Y00F  C2008 01 11.18107 03 13 04.15 +16 13 26.1          22.3 Vrx9567G96
