     K07Y01G* C2007 12 16.45543 08 22 57.54 +28 23 51.2          20.6 Vrx1903G96
     K07Y01G  C2007 12 16.46293 08 22 57.03 +28 23 49.9          20.7 Vrx1903G96
     K07Y01G  C2007 12 16.46976 08 22 56.49 +28 23 48.5          20.8 Vrx1903G96
     K07Y01G  C2007 12 16.47665 08 22 56.02 +28 23 47.4          20.7 Vrx1903G96
     K07Y01G  C2007 12 17.45590 08 21 47.95 +28 20 56.7          20.6 Vrx1903G96
     K07Y01G  C2007 12 17.45932 08 21 47.66 +28 20 55.8          20.5 Vrx1903G96
     K07Y01G  C2007 12 17.46267 08 21 47.41 +28 20 55.2          20.3 Vrx1903G96
     K07Y01G  C2007 12 17.46602 08 21 47.19 +28 20 54.7          20.4 Vrx1903G96
     K07Y01G  C2007 12 18.26859 08 20 49.75 +28 18 31.8                ox1903291
     K07Y01G  C2007 12 18.27330 08 20 49.40 +28 18 31.0                ox1903291
     K07Y01G  C2007 12 18.27742 08 20 49.10 +28 18 30.2                ox1903291
     K07Y01G  C2007 12 18.32464 08 20 45.56 +28 18 22.2          20.3 Vrx1903G96
     K07Y01G  C2007 12 18.33029 08 20 45.13 +28 18 21.2          20.5 Vrx1903G96
     K07Y01G  C2007 12 18.33587 08 20 44.70 +28 18 20.3          20.6 Vrx1903G96
     K07Y01G  C2007 12 18.34147 08 20 44.26 +28 18 19.2          20.5 Vrx1903G96
     K07Y01G  C2007 12 18.34976 08 20 43.56 +28 18 18.9                cx1903711
     K07Y01G  C2007 12 18.36179 08 20 42.71 +28 18 16.2          19.8 Rcx1903711
     K07Y01G  C2007 12 18.37382 08 20 41.69 +28 18 14.9                cx1903711
     K07Y01G  C2007 12 18.48823 08 20 32.97 +28 17 53.8                rx1903701
     K07Y01G  C2007 12 18.50862 08 20 31.39 +28 17 50.0                rx1903701
     K07Y01G  C2007 12 18.52985 08 20 29.73 +28 17 45.9                rx1903701
     K07Y01G  C2007 12 19.40833808 19 23.75 +28 15 06.7          20.7 Vox1903H55
     K07Y01G  C2007 12 19.41284408 19 23.42 +28 15 05.8          20.8 Vox1903H55
     K07Y01G  C2007 12 19.41734708 19 23.07 +28 15 05.0          20.7 Vox1903H55
     K07Y01G  C2007 12 20.29257 08 18 15.54 +28 12 24.6          21.1 Vox1903291
     K07Y01G  C2007 12 20.30925 08 18 14.19 +28 12 22.3          20.7 Vox1903291
     K07Y01G  C2007 12 21.10325 08 17 10.32 +28 09 51.2          19.8 Vrx1903A17
     K07Y01G  C2007 12 21.12364 08 17 08.58 +28 09 47.6          19.9 Vrx1903A17
     K07Y01G  C2007 12 21.14510 08 17 06.70 +28 09 44.8          19.8 Vrx1903A17
     K07Y01G  C2007 12 28.34307 08 06 22.01 +27 44 52.9                ox1903291
     K07Y01G  C2007 12 28.34724 08 06 21.59 +27 44 52.3                ox1903291
     K07Y01G  C2007 12 28.35146 08 06 21.11 +27 44 51.8                ox1903291
     K07Y01G  C2007 12 29.43683 08 04 34.35 +27 40 37.0          20.7 Vox2677291
