     K07Y00Z* C2007 12 17.66571 07 33 05.21 +20 25 59.4          18.4 Rox1902300
     K07Y00Z  C2007 12 17.66861 07 33 04.93 +20 26 09.9          18.8 Rox1902300
     K07Y00Z  C2007 12 17.67151 07 33 04.77 +20 26 21.2          18.5 Rox1902300
     K07Y00Z  C2007 12 17.67440 07 33 04.53 +20 26 31.4          18.8 Rox1902300
     K07Y00Z  C2007 12 17.67728 07 33 04.33 +20 26 42.5          18.4 Rox1902300
     K07Y00Z  C2007 12 17.68019 07 33 04.11 +20 26 53.1          18.7 Rox1902300
     K07Y00Z  C2007 12 17.68308 07 33 03.80 +20 27 03.8          19.1 Rox1902300
     K07Y00Z  C2007 12 17.76024 07 32 57.83 +20 31 50.7                mx1902349
     K07Y00Z  C2007 12 17.76259 07 32 57.66 +20 31 59.9                mx1902349
     K07Y00Z  C2007 12 17.76494 07 32 57.49 +20 32 08.2                mx1902349
     K07Y00Z  C2007 12 17.76729 07 32 57.29 +20 32 17.3          18.0 Vmx1902349
     K07Y00Z  C2007 12 17.85350 07 32 54.66 +20 37 31.1          17.5 Rox1902461
     K07Y00Z  C2007 12 17.85593 07 32 54.49 +20 37 40.2                ox1902461
     K07Y00Z  C2007 12 17.85838 07 32 54.33 +20 37 49.7                ox1902461
     K07Y00Z  C2007 12 17.85846 07 32 54.41 +20 37 47.0          17.8 Vrx1902A17
     K07Y00Z  C2007 12 17.86366 07 32 53.96 +20 38 09.8                ox1902461
     K07Y00Z IC2007 12 17.86531 07 32 54.03 +20 38 12.9          17.7 Vrx1902A17
     K07Y00Z  C2007 12 17.86569 07 32 53.82 +20 38 17.9                ox1902461
     K07Y00Z  C2007 12 17.87147 07 32 53.52 +20 38 37.2          17.7 Vrx1902A17
     K07Y00Z  C2007 12 17.90257 07 32 51.42 +20 40 40.0          17.2 Vcx1902595
     K07Y00Z  C2007 12 17.91591 07 32 50.47 +20 41 30.8          17.1 Vcx1902595
     K07Y00Z  C2007 12 18.20816 07 32 32.26 +21 00 15.7          17.0 Rox1902H01
     K07Y00Z  C2007 12 18.20970 07 32 32.13 +21 00 21.8          16.9 Rox1902H01
     K07Y00Z  C2007 12 18.21318 07 32 31.88 +21 00 35.5          16.9 Rox1902H01
     K07Y00Z  C2007 12 18.21514 07 32 31.73 +21 00 43.0          17.0 Rox1902H01
     K07Y00Z  C2007 12 18.31302 07 32 24.08 +21 07 08.8          17.4  cx1902704
     K07Y00Z  C2007 12 18.32120 07 32 23.42 +21 07 40.2          17.2  cx1902704
     K07Y00Z  C2007 12 18.32555 07 32 23.10 +21 07 57.4          17.4  cx1902704
     K07Y00Z  C2007 12 18.33409 07 32 22.35 +21 08 32.4          17.3  cx1902704
     K07Y00Z  C2007 12 18.33820 07 32 22.04 +21 08 47.8          17.5  cx1902704
     K07Y00Z  C2007 12 18.34697 07 32 21.31 +21 09 21.6          17.5  cx1902704
     K07Y00Z  C2007 12 18.35091 07 32 20.99 +21 09 37.9          17.4  cx1902704
     K07Y00Z  C2007 12 18.35983 07 32 20.24 +21 10 12.2          17.5  cx1902704
     K07Y00Z  C2007 12 18.36332 07 32 19.96 +21 10 26.3          17.5  cx1902704
     K07Y00Z  C2007 12 18.37268 07 32 19.18 +21 11 02.5          18.0  cx1902704
     K07Y00Z  C2007 12 18.62091 07 32 03.33 +21 27 20.6          18.0 Rox1902300
     K07Y00Z  C2007 12 18.62311 07 32 03.18 +21 27 29.9          18.1 Rox1902300
     K07Y00Z  C2007 12 18.62532 07 32 03.00 +21 27 39.6          17.9 Rox1902300
     K07Y00Z  C2007 12 18.63192 07 32 02.38 +21 28 06.6          18.2 Rox1902300
     K07Y00Z  C2007 12 18.63412 07 32 02.27 +21 28 15.1          17.8 Rox1902300
     K07Y00Z  C2007 12 18.97208 07 31 37.81 +21 50 50.8                ox1902246
     K07Y00Z  C2007 12 18.97373 07 31 37.66 +21 50 57.6                ox1902246
     K07Y00Z  C2007 12 18.97438 07 31 37.61 +21 51 00.2                ox1902246
     K07Y00Z  C2007 12 18.97501 07 31 37.55 +21 51 03.3                ox1902246
