X2446K08A04F KC2002 06 01.33892 16 11 38.23 -07 35 53.8          20.8 Vr~0CfY644
X2446K08A04F KC2002 06 01.34999 16 11 36.88 -07 35 53.5                r~0CfY644
X2446K08A04F [C2007 07 28.34900 16 33 01.60 -20 28 04.3                c~0C8N568
X2446K08A04F* C2008 01 10.39652 12 06 03.72 +08 19 17.1          15.6  cx3507704
X2446K08A04F  C2008 01 10.40941 12 05 54.14 +08 22 14.1          16.2  cx3507704
X2446K08A04F  C2008 01 10.42240 12 05 44.51 +08 25 12.4          16.1  cx3507704
X2446K08A04F  C2008 01 10.43525 12 05 34.95 +08 28 08.1          16.2  cx3507704
X2446K08A04F  C2008 01 11.05219 11 58 35.17 +10 43 18.9          15.3 Rox3507461
X2446K08A04F  C2008 01 11.05324 11 58 34.45 +10 43 31.6                ox3507461
X2446K08A04F  C2008 01 11.05376 11 58 34.08 +10 43 38.7                ox3507461
X2446K08A04F  C2008 01 11.05403 11 58 33.90 +10 43 41.6                ox3507461
X2446K08A04F  C2008 01 11.05428 11 58 33.73 +10 43 44.9                ox3507461
X2446K08A04F  C2008 01 11.05483 11 58 33.33 +10 43 52.2                ox3507461
X2446K08A04F  C2008 01 11.05508 11 58 33.15 +10 43 55.4                ox3507461
X2446K08A04F  C2008 01 11.05545 11 58 32.90 +10 44 00.2                ox3507461
X2446K08A04F  C2008 01 11.05571 11 58 32.72 +10 44 03.4                ox3507461
X2446K08A04F  C2008 01 11.05598 11 58 32.52 +10 44 06.9                ox3507461
X2446K08A04F  C2008 01 11.05650 11 58 32.17 +10 44 13.6                ox3507461
X2446K08A04F  C2008 01 11.05677 11 58 31.97 +10 44 17.0                ox3507461
X2446K08A04F  C2008 01 11.05703 11 58 31.81 +10 44 20.2                ox3507461
X2446K08A04F  C2008 01 11.05729 11 58 31.60 +10 44 23.8                ox3507461
X2446K08A04F  C2008 01 11.05783 11 58 31.25 +10 44 30.4                ox3507461
X2446K08A04F  C2008 01 11.06936 11 58 23.15 +10 46 58.2          15.5 Rox3507461
X2446K08A04F  C2008 01 11.06963 11 58 22.96 +10 47 01.5                ox3507461
X2446K08A04F  C2008 01 11.06988 11 58 22.78 +10 47 04.8                ox3507461
X2446K08A04F  C2008 01 11.07015 11 58 22.60 +10 47 08.1                ox3507461
X2446K08A04F  C2008 01 11.07041 11 58 22.42 +10 47 11.4                ox3507461
X2446K08A04F  C2008 01 11.07067 11 58 22.25 +10 47 14.8                ox3507461
X2446K08A04F  C2008 01 11.07094 11 58 22.06 +10 47 17.9                ox3507461
X2446K08A04F  C2008 01 11.07124 11 58 21.86 +10 47 21.6                ox3507461
X2446K08A04F  C2008 01 11.07152 11 58 21.66 +10 47 25.5                ox3507461
X2446K08A04F  C2008 01 11.07178 11 58 21.47 +10 47 28.9                ox3507461
X2446K08A04F  C2008 01 11.07205 11 58 21.27 +10 47 32.4                ox3507461
X2446K08A04F  C2008 01 11.07230 11 58 21.09 +10 47 35.7                ox3507461
X2446K08A04F  C2008 01 11.43030 11 54 27.25 +12 02 31.8          15.6 Vrx3507703
X2446K08A04F  C2008 01 11.43964 11 54 20.84 +12 04 26.3          15.7 Vrx3507703
X2446K08A04F  C2008 01 11.44824 11 54 14.86 +12 06 11.7          15.7 Vrx3507703
X2446K08A04F  C2008 01 11.45669 11 54 09.03 +12 07 55.0          15.8 Vrx3507703
X2446K08A04F  C2008 01 11.48199 11 53 51.47 +12 13 03.9          15.7 Vrx3507G96
X2446K08A04F  C2008 01 11.49141 11 53 44.93 +12 14 58.3          15.8 Vrx3507G96
X2446K08A04F  C2008 01 11.49977 11 53 37.30 +12 16 25.3          15.7 Rrx3507734
X2446K08A04F  C2008 01 11.50086 11 53 38.22 +12 16 50.6                rx3507G96
X2446K08A04F  C2008 01 11.50152 11 53 36.10 +12 16 46.3          15.7 Rrx3507734
X2446K08A04F  C2008 01 11.50328 11 53 34.90 +12 17 07.4          15.7 Rrx3507734
X2446K08A04F  C2008 01 11.50503 11 53 33.68 +12 17 28.6          15.6 Rrx3507734
X2446K08A04F  C2008 01 11.51032 11 53 31.84 +12 18 47.5          15.8 Vrx3507G96
X2446K08A04F  C2008 01 14.38921 11 25 49.45 +20 30 30.0          15.4 Rrx4373H45
X2446K08A04F  C2008 01 14.38990 11 25 49.09 +20 30 36.1          15.3 Rrx4373H45
X2446K08A04F  C2008 01 14.39095 11 25 48.50 +20 30 44.9          15.4 Rrx4373H45
X2446K08A04F  C2008 01 14.39214 11 25 47.82 +20 30 55.1          15.3 Rrx4373H45
X2446K08A04F  C2008 01 14.39291 11 25 47.39 +20 31 01.6          15.4 Rrx4373H45
X2446K08A04F  C2008 01 14.39338 11 25 47.13 +20 31 05.7          15.4 Rrx4373H45
X2446K08A04F  C2008 01 14.39387 11 25 46.86 +20 31 09.9          15.5 Rrx4373H45
X2446K08A04F  C2008 01 14.39442 11 25 46.55 +20 31 14.8          15.5 Rrx4373H45
X2446K08A04F  C2008 01 14.39500 11 25 46.23 +20 31 19.5          15.3 Rrx4373H45
X2446K08A04F  C2008 01 14.39571 11 25 45.83 +20 31 25.8          15.5 Rrx4373H45
X2446K08A04F  C2008 01 14.39627 11 25 45.51 +20 31 30.6          15.5 Rrx4373H45
X2446K08A04F  C2008 01 14.39689 11 25 45.17 +20 31 35.9          15.5 Rrx4373H45
X2446K08A04F  C2008 01 14.49328 11 24 58.24 +20 46 49.0          16.1 Vrx4373F84
X2446K08A04F  C2008 01 14.50248 11 24 53.09 +20 48 07.5          16.1 Vrx4373F84
X2446K08A04F  C2008 01 14.51234 11 24 47.57 +20 49 31.5          15.9 Vrx4373F84
X2446K08A04F  C2008 01 15.00556 11 20 39.92 +21 54 40.6          15.5 Rcx4373B49
X2446K08A04F  C2008 01 15.01065 11 20 37.16 +21 55 21.6          15.5 Rcx4373B49
X2446K08A04F  C2008 01 15.20178 11 18 55.00 +22 20 13.0          16   Rox4373461
X2446K08A04F  C2008 01 15.20214 11 18 54.83 +22 20 15.4                ox4373461
X2446K08A04F  C2008 01 15.20285 11 18 54.46 +22 20 21.1                ox4373461
X2446K08A04F  C2008 01 15.31847011 18 04.20 +22 35 25.2          16.4 Vox4373H55
X2446K08A04F  C2008 01 15.32045311 18 03.16 +22 35 40.5          16.6 Vox4373H55
X2446K08A04F  C2008 01 15.32219811 18 02.25 +22 35 54.0          16.5 Vox4373H55
X2446K08A04F  C2008 01 15.32431411 18 01.15 +22 36 10.2          16.6 Vox4373H55
X2446K08A04F  C2008 01 15.33980 11 17 53.66 +22 38 16.5          15.5 Rrx4373H45
X2446K08A04F  C2008 01 15.34080 11 17 53.15 +22 38 23.8          15.5 Rrx4373H45
X2446K08A04F  C2008 01 15.34138 11 17 52.87 +22 38 28.6          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34214 11 17 52.48 +22 38 34.3          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34332 11 17 51.86 +22 38 43.4          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34398 11 17 51.50 +22 38 48.4          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34462 11 17 51.17 +22 38 53.4          15.7 Rrx4373H45
X2446K08A04F  C2008 01 15.34526 11 17 50.84 +22 38 58.3          15.7 Rrx4373H45
X2446K08A04F  C2008 01 15.34583 11 17 50.54 +22 39 02.7          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34643 11 17 50.23 +22 39 07.3          15.7 Rrx4373H45
X2446K08A04F  C2008 01 15.34708 11 17 49.89 +22 39 12.3          15.5 Rrx4373H45
X2446K08A04F  C2008 01 15.34764 11 17 49.59 +22 39 16.6          15.5 Rrx4373H45
X2446K08A04F tC2008 01 16.32581 11 10 12.86 +24 35 49.8          16.1 Vox4373291
X2446K08A04F tC2008 01 16.32984 11 10 10.89 +24 36 17.3          16.2 Vox4373291
X2446K08A04F tC2008 01 16.33396 11 10 08.96 +24 36 45.8          16.2 Vox4373291
X2446K08A04F  C2008 01 16.35168111 09 57.90 +24 38 40.0          16.6 Vox5543H55
X2446K08A04F  C2008 01 16.35461011 09 56.47 +24 38 59.7          16.5 Vox5543H55
X2446K08A04F  C2008 01 16.35793911 09 54.85 +24 39 22.2          16.6 Vox5543H55
X2446K08A04F  C2008 01 16.35979011 09 53.94 +24 39 34.6          16.6 Vox5543H55
X2446K08A04F  C2008 01 16.65485 11 07 44.49 +25 11 57.0          16.0 Vrx4373379
X2446K08A04F  C2008 01 16.66608 11 07 39.15 +25 13 10.3          15.8 Vrx4373379
X2446K08A04F  C2008 01 16.66735 11 07 38.50 +25 13 19.5          15.5 Vrx4373379
X2446K08A04F  C2008 01 16.66862 11 07 37.91 +25 13 27.5          15.8 Vrx4373379
X2446K08A04F  C2008 01 17.02457 11 05 02.36 +25 50 40.1          15.8 Rcx4373B49
X2446K08A04F  C2008 01 17.02932 11 05 00.13 +25 51 10.1          15.8 Rcx4373B49
X2446K08A04F  C2008 01 18.37112 10 55 43.54 +27 58 45.8          16.0 Rrx5082448
