     K08A33N* C2008 01 15.45910 13 20 58.23 +16 02 58.8          19.9 Vrx4408703
     K08A33N  C2008 01 15.46623 13 20 57.84 +16 03 00.6          19.5 Vrx4408703
     K08A33N  C2008 01 15.47340 13 20 57.40 +16 03 01.0          19.8 Vrx4408703
     K08A33N  C2008 01 15.48057 13 20 57.12 +16 03 04.3          19.6 Vrx4408703
     K08A33N  C2008 01 15.50562 13 20 55.48 +16 03 09.8          19.1 Rrx4408734
     K08A33N  C2008 01 15.50719 13 20 55.39 +16 03 10.1          19.5 Rrx4408734
     K08A33N  C2008 01 15.50870 13 20 55.28 +16 03 10.4          19.3 Rrx4408734
     K08A33N  C2008 01 15.51021 13 20 55.24 +16 03 10.9          19.5 Rrx4408734
     K08A33N  C2008 01 15.51035 13 20 55.45 +16 03 13.4          19.6 Vrx4408703
     K08A33N  C2008 01 15.51324 13 20 55.06 +16 03 11.8          19.6 Rrx4408734
     K08A33N  C2008 01 15.51472 13 20 55.24 +16 03 14.1          19.0 Vrx4408703
     K08A33N  C2008 01 15.51476 13 20 54.95 +16 03 12.3          19.5 Rrx4408734
     K08A33N  C2008 01 15.51913 13 20 55.00 +16 03 15.8          20.0 Vrx4408703
     K08A33N  C2008 01 15.52354 13 20 54.71 +16 03 17.0          19.1 Vrx4408703
     K08A33N  C2008 01 16.15024 13 20 24.21 +16 06 12.8                rx4408J95
     K08A33N  C2008 01 16.15771 13 20 23.82 +16 06 14.4                rx4408J95
     K08A33N  C2008 01 16.16517 13 20 23.45 +16 06 17.3          20.2 Rrx4408J95
     K08A33N  C2008 01 16.38937813 20 12.25 +16 07 26.6          20.5 Vox4408H55
     K08A33N  C2008 01 16.39769713 20 11.81 +16 07 29.0          20.4 Vox4408H55
     K08A33N  C2008 01 16.40621613 20 11.32 +16 07 31.3          20.4 Vox4408H55
     K08A33N  C2008 01 16.49652 13 20 06.61 +16 08 00.8                rx4408701
     K08A33N  C2008 01 16.50716 13 20 06.00 +16 08 03.6          19.9 Vrx4408G96
     K08A33N  C2008 01 16.51060 13 20 05.82 +16 08 04.9          20.0 Vrx4408G96
     K08A33N  C2008 01 16.51406 13 20 05.60 +16 08 05.6          20.0 Vrx4408G96
     K08A33N  C2008 01 16.51754 13 20 05.42 +16 08 06.7          19.8 Vrx4408G96
     K08A33N  C2008 01 16.51874 13 20 05.34 +16 08 07.6                rx4408701
     K08A33N  C2008 01 16.54096 13 20 04.09 +16 08 14.0                rx4408701
     K08A33N  C2008 01 17.42785 13 19 17.85 +16 12 44.4                ox4408291
     K08A33N  C2008 01 17.43409 13 19 17.48 +16 12 46.5                ox4408291
     K08A33N  C2008 01 17.43790 13 19 17.25 +16 12 47.6                ox4408291
     K08A33N  C2008 01 18.55050 13 18 14.29 +16 18 43.2                ox4408291
     K08A33N  C2008 01 18.55441 13 18 14.04 +16 18 44.6                ox4408291
     K08A33N  C2008 01 18.55835 13 18 13.80 +16 18 45.6                ox4408291
     K08A33N  C2008 01 19.39006 13 17 25.33 +16 23 20.6                ox5084291
     K08A33N  C2008 01 19.39411 13 17 25.09 +16 23 22.2                ox5084291
     K08A33N  C2008 01 19.39790 13 17 24.84 +16 23 23.4                ox5084291
     K08A33N  C2008 01 20.42162713 16 20.56 +16 29 14.4          20.3 Vox5552H55
     K08A33N  C2008 01 20.42758913 16 20.13 +16 29 16.3          20.2 Vox5552H55
     K08A33N  C2008 01 20.43379513 16 19.70 +16 29 18.8          20.3 Vox5552H55
     K08A33N  C2008 01 20.45056 13 16 18.88 +16 29 26.2                ox5084291
     K08A33N  C2008 01 20.45481 13 16 18.57 +16 29 28.1                ox5084291
     K08A33N  C2008 01 20.45873 13 16 18.30 +16 29 29.1                ox5084291
     K08A33N  C2008 01 23.34109313 12 59.17 +16 47 05.5          19.9 Vox5552H55
     K08A33N  C2008 01 23.34804213 12 58.65 +16 47 08.7          20.6 Vox5552H55
     K08A33N  C2008 01 23.35502613 12 58.12 +16 47 11.4          20.5 Vox5552H55
     K08A33N  C2008 01 25.35714713 10 22.60 +17 00 21.2          19.7 Vox5552H55
     K08A33N  C2008 01 25.36418713 10 22.03 +17 00 23.9          20.2 Vox5552H55
     K08A33N  C2008 01 25.37116513 10 21.39 +17 00 26.8          19.7 Vox5552H55
     K08A33N  C2008 01 25.37572313 10 21.01 +17 00 29.3          19.8 Vox5552H55
     K08A33N  C2008 01 27.38345513 07 30.89 +17 14 19.3          20.3 Vox5552H55
     K08A33N  C2008 01 27.38860413 07 30.38 +17 14 21.4          20.6 Vox5552H55
     K08A33N  C2008 01 27.39382613 07 29.89 +17 14 23.1          20.3 Vox5552H55
     K08A33N  C2008 01 30.43319 13 02 45.45 +17 36 19.5          19.6 Rrx5552448
     K08A33N  C2008 01 30.44976 13 02 43.72 +17 36 26.9          19.8 Rrx5552448
     K08A33N  C2008 01 30.46899 13 02 41.69 +17 36 35.3          19.6 Rrx5552448
     K08A33N  C2008 02 02.46919 12 57 29.25 +17 58 59.2          19.4 Rcx6372711
     K08A33N  C2008 02 02.47750 12 57 28.31 +17 59 02.8                cx6372711
     K08A33N  C2008 02 02.48580 12 57 27.31 +17 59 06.8          19.6 Rcx6372711
     K08A33N  C2008 02 06.42026 12 49 53.42 +18 28 41.3          19.6 Rrx6372448
     K08A33N  C2008 02 06.43872 12 49 51.08 +18 28 49.6          19.6 Rrx6372448
     K08A33N  C2008 02 06.45754 12 49 48.67 +18 28 57.8          19.8 Rrx6372448
     K08A33N  C2008 02 06.46153 12 49 48.12 +18 29 01.3          19.8 Rcx6372711
     K08A33N  C2008 02 06.46924 12 49 47.19 +18 29 04.4          19.4 Rcx6372711
     K08A33N  C2008 02 06.47701 12 49 46.17 +18 29 08.1          19.6 Rcx6372711
     K08A33N  C2008 02 08.33604 12 45 55.87 +18 42 50.5          19.9 Vrx7671703
     K08A33N  C2008 02 08.34405 12 45 54.82 +18 42 53.2          20.2 Vrx7671703
     K08A33N  C2008 02 08.35199 12 45 53.78 +18 42 57.8          20.0 Vrx7671703
