     K08D22X* C2008 02 29.28655 08 43 31.47 +29 29 59.6          20.1 Vry0910G96
     K08D22X  C2008 02 29.29331 08 43 38.31 +29 31 19.0          20.1 Vry0910G96
     K08D22X  C2008 02 29.30016 08 43 45.22 +29 32 39.0          19.9 Vry0910G96
     K08D22X  C2008 02 29.30694 08 43 52.10 +29 33 57.6          20.0 Vry0910G96
     K08D22X  C2008 02 29.34437 08 44 29.94 +29 41 07.2          20.4 Vry0910G96
     K08D22X  C2008 02 29.34882 08 44 34.40 +29 41 57.0          19.7 Vry0910G96
     K08D22X  C2008 02 29.35339 08 44 39.04 +29 42 49.6          19.9 Vry0910G96
     K08D22X  C2008 02 29.35781 08 44 43.51 +29 43 39.8          20.0 Vry0910G96
     K08D22X  C2008 03 01.10225608 56 57.09 +31 51 03.3                oy0910H55
     K08D22X  C2008 03 01.10563308 57 00.08 +31 51 32.8          19.6 Voy0910H55
     K08D22X  C2008 03 01.10889608 57 02.87 +31 52 03.0          19.8 Voy0910H55
     K08D22X  C2008 03 01.11214208 57 05.60 +31 52 32.9          19.9 Voy0910H55
     K08D22X  C2008 03 01.27332 08 59 21.23 +32 16 18.9          20.0 Rry0910649
     K08D22X  C2008 03 01.27575 08 59 23.24 +32 16 40.6          19.6 Rry0910649
     K08D22X  C2008 03 01.27818 08 59 25.35 +32 17 00.9          20.3 Rry0910649
     K08D22X  C2008 03 01.28061 08 59 27.40 +32 17 21.1          19.6 Rry0910649
     K08D22X  C2008 03 01.28305 08 59 29.38 +32 17 42.9          19.6 Rry0910649
     K08D22X  C2008 03 01.28758 08 59 34.89 +32 18 39.3          20.5 Vry0910G96
     K08D22X  C2008 03 01.28981 08 59 36.72 +32 18 58.3          20.4 Vry0910G96
     K08D22X  C2008 03 01.29205 08 59 38.54 +32 19 17.5          20.5 Vry0910G96
     K08D22X  C2008 03 09.18043610 02 03.49 +40 08 02.8          22.3 Voy2293H55
     K08D22X  C2008 03 09.19016510 02 05.78 +40 08 13.5          22.3 Voy2293H55
     K08D22X  C2008 03 09.20082810 02 08.25 +40 08 27.6          22.3 Voy2293H55
