     K08E69C & 1994 05 04.17639 12 27 28.01 +50 16 06.1                cy9840261
     K08E69C & 1994 05 04.20903 12 27 25.79 +50 15 44.8                cy9840261
     K08E69C KC2004 10 10.44429704 40 39.743+01 08 18.92         21.4 Rt~1UFZ645
     K08E69C KC2004 10 10.44471104 40 39.733+01 08 19.24         20.9 Rt~1UFZ645
     K08E69C KC2004 10 20.48434804 34 17.303+00 37 45.51         21.1 Rt~1UFZ645
     K08E69C  C2004 10 20.48669804 34 17.219+00 37 44.71         21.4 Rt~1UFZ645
     K08E69C  C2008 02 18.47490 15 17 49.88 +22 04 30.3          19.5 Vry4145703
     K08E69C  C2008 02 18.48149 15 17 50.92 +22 04 33.8          19.8 Vry4145703
     K08E69C  C2008 02 18.48809 15 17 51.68 +22 04 38.3          20.0 Vry4145703
     K08E69C  C2008 02 18.49471 15 17 52.65 +22 04 41.2          19.6 Vry4145703
     K08E69C* C2008 03 11.49608 16 13 58.22 +25 45 27.5          19.0 Vry2381703
     K08E69C  C2008 03 11.50102 16 13 59.01 +25 45 29.9          18.8 Vry2382703
     K08E69C  C2008 03 11.50598 16 13 59.80 +25 45 34.0          18.9 Vry2382703
     K08E69C  C2008 03 11.51090 16 14 00.56 +25 45 37.5          18.9 Vry2382703
     K08E69C  C2008 03 11.53373 16 14 04.13 +25 45 52.1          18.8 Vry2382703
     K08E69C  C2008 03 11.53464 16 14 04.24 +25 45 52.9          19.1 Vry2382703
     K08E69C  C2008 03 11.53556 16 14 04.44 +25 45 53.7          19.2 Vry2382703
     K08E69C  C2008 03 11.53648 16 14 04.55 +25 45 53.4          19.1 Vry2382703
     K08E69C  C2008 03 12.37299916 16 21.21 +25 54 58.3          19.1 Voy2382H55
     K08E69C  C2008 03 12.37655916 16 21.79 +25 55 00.6          19.2 Voy2382H55
     K08E69C  C2008 03 12.38079616 16 22.46 +25 55 03.4          19.2 Voy2382H55
     K08E69C 5C2008 03 12.43744 16 16 31.87 +25 55 41.0          19.0 Roy2382673
     K08E69C 5C2008 03 12.44556 16 16 33.13 +25 55 46.4                oy2382673
     K08E69C 5C2008 03 12.45273 16 16 34.21 +25 55 50.9                oy2382673
     K08E69C  C2008 03 12.45587 16 16 34.68 +25 55 53.5          18.9 Vry2382703
     K08E69C  C2008 03 12.45812 16 16 35.11 +25 55 56.0          19.1 Vry2382703
     K08E69C 5C2008 03 12.45967 16 16 35.34 +25 55 55.9                oy2382673
     K08E69C  C2008 03 12.46039 16 16 35.43 +25 55 57.5          18.4 Vry2382703
     K08E69C  C2008 03 12.46267 16 16 35.72 +25 55 58.9          18.4 Vry2382703
     K08E69C  C2008 03 12.48610 16 16 39.50 +25 56 13.3          18.8 Vry2382G96
     K08E69C  C2008 03 12.49291 16 16 40.58 +25 56 17.8          18.8 Vry2382G96
     K08E69C  C2008 03 12.49970 16 16 41.66 +25 56 22.1          18.9 Vry2382G96
     K08E69C  C2008 03 12.50653 16 16 42.78 +25 56 26.7          18.9 Vry2382G96
     K08E69C  C2008 03 15.36708 16 24 35.08 +26 27 31.0          19.3 Voy3628291
     K08E69C  C2008 03 15.37111 16 24 35.75 +26 27 33.7          19.2 Voy3628291
     K08E69C  C2008 03 15.37548 16 24 36.48 +26 27 36.7          19.3 Voy3628291
     K08E69C  C2008 03 15.40397 16 24 40.94 +26 27 54.0          18.9 Roy3628H51
     K08E69C  C2008 03 15.40562 16 24 41.21 +26 27 55.4          18.7 Roy3628H51
     K08E69C  C2008 03 15.40722 16 24 41.42 +26 27 56.4          18.8 Roy3628H51
     K08E69C  C2008 03 15.40882 16 24 41.70 +26 27 57.7          18.8 Roy3628H51
     K08E69C  C2008 03 15.41203 16 24 42.26 +26 28 00.0          18.9 Roy3628H51
     K08E69C  C2008 03 15.41362 16 24 42.45 +26 28 00.6          18.5 Roy3628H51
     K08E69C  C2008 03 15.41523 16 24 42.75 +26 28 01.5          18.8 Roy3628H51
     K08E69C  C2008 03 15.41845 16 24 43.31 +26 28 03.9          18.7 Roy3628H51
     K08E69C  C2008 03 16.38871 16 27 25.76 +26 38 34.8          19.4 Voy3628291
     K08E69C  C2008 03 16.39286 16 27 26.46 +26 38 37.4          19.5 Voy3628291
     K08E69C  C2008 03 16.39694 16 27 27.13 +26 38 40.3          19.4 Voy3628291
     K08E69C  C2008 03 19.38111 16 35 53.27 +27 10 40.4          18.6 Roy4145H01
     K08E69C  C2008 03 19.38189 16 35 53.41 +27 10 40.9          18.8 Roy4145H01
     K08E69C  C2008 03 19.38267 16 35 53.53 +27 10 41.3          18.8 Roy4145H01
     K08E69C  C2008 03 19.38352 16 35 53.68 +27 10 42.0          18.6 Roy4145H01
     K08E69C  C2008 03 19.38432 16 35 53.81 +27 10 42.5          18.9 Roy4145H01
     K08E69C  C2008 03 20.35605216 38 40.98 +27 20 59.3          19.1 Voy4145H55
     K08E69C  C2008 03 20.36009316 38 41.67 +27 21 02.0          19.0 Voy4145H55
     K08E69C  C2008 03 20.36405216 38 42.34 +27 21 04.5          19.0 Voy4145H55
     K08E69C  C2008 03 20.47812 16 39 01.84 +27 22 18.2          18.5 Rry4145448
     K08E69C  C2008 03 20.48526 16 39 03.02 +27 22 22.9          18.3 Rry4145448
     K08E69C  C2008 03 20.49240 16 39 04.22 +27 22 27.4          18.6 Rry4145448
     K08E69C  C2008 03 23.48488 16 47 48.29 +27 53 32.8          18.8 Vry4145703
     K08E69C  C2008 03 23.49169 16 47 49.37 +27 53 36.8          18.4 Vry4145703
     K08E69C  C2008 03 29.34791 17 05 35.65 +28 50 41.2          18.6 Voy4832291
     K08E69C  C2008 03 29.35218 17 05 36.46 +28 50 43.8          18.7 Voy4832291
     K08E69C  C2008 03 29.35628 17 05 37.19 +28 50 46.3          18.6 Voy4832291
     K08E69C  C2008 03 30.38802 17 08 50.94 +29 00 09.0          18.7 Voy4832291
     K08E69C  C2008 03 30.39237 17 08 51.75 +29 00 11.4          18.6 Voy4832291
     K08E69C  C2008 03 30.39667 17 08 52.54 +29 00 13.8          18.7 Voy4832291
     K08E69C  C2008 04 03.42232 17 21 48.45 +29 34 05.5          17.6 Vry5836703
     K08E69C  C2008 04 03.42772 17 21 49.53 +29 34 08.6          18.1 Vry5836703
     K08E69C  C2008 04 03.43328 17 21 50.61 +29 34 11.8          18.1 Vry5836703
     K08E69C  C2008 04 03.43869 17 21 51.66 +29 34 14.3          18.1 Vry5836703
     K08E69C  C2008 04 06.47757 17 32 00.10 +29 56 20.9          17.9 Rry5836448
     K08E69C  C2008 04 06.48332 17 32 01.25 +29 56 22.8          17.6 Rry5836448
     K08E69C  C2008 04 06.48907 17 32 02.39 +29 56 25.5          18.1 Rry5836448
     K08E69C  C2008 04 12.33161 17 52 38.44 +30 27 40.3          17.9 Rry6829H45
     K08E69C  C2008 04 12.33226 17 52 38.56 +30 27 40.3          18.0 Rry6829H45
     K08E69C  C2008 04 12.33367 17 52 38.85 +30 27 40.6          17.9 Rry6829H45
     K08E69C  C2008 04 12.33616 17 52 39.40 +30 27 41.3          17.9 Rry6829H45
     K08E69C  C2008 04 12.33690 17 52 39.54 +30 27 41.9          18.0 Rry6829H45
     K08E69C  C2008 04 12.33766 17 52 39.71 +30 27 41.9          17.9 Rry6829H45
     K08E69C  C2008 04 12.33951 17 52 40.10 +30 27 42.2          18.0 Rry6829H45
     K08E69C  C2008 04 12.48358 17 53 11.18 +30 28 17.5          18.1 Rry6829448
     K08E69C  C2008 04 12.48787 17 53 12.08 +30 28 18.6          18.0 Rry6829448
     K08E69C  C2008 04 12.49180 17 53 12.95 +30 28 19.3          17.8 Rry6829448
     K08E69C  C2008 04 14.45566 18 00 31.64 +30 34 33.1          17.5 Vry6829703
     K08E69C  C2008 04 14.45915 18 00 32.43 +30 34 33.0          17.4 Vry6830703
     K08E69C  C2008 04 14.46266 18 00 33.12 +30 34 33.9          17.6 Vry6830703
     K08E69C  C2008 04 14.46617 18 00 33.91 +30 34 34.8          17.7 Vry6830703
     K08E69C  C2008 04 15.34461 18 03 54.63 +30 36 31.6          17.8 Rry6830H45
     K08E69C  C2008 04 15.34565 18 03 54.86 +30 36 32.1          17.9 Rry6830H45
     K08E69C  C2008 04 15.34658 18 03 55.05 +30 36 32.3          17.9 Rry6830H45
     K08E69C  C2008 04 15.34874 18 03 55.56 +30 36 32.4          17.9 Rry6830H45
     K08E69C  C2008 04 15.35129 18 03 56.13 +30 36 33.0          17.8 Rry6830H45
     K08E69C  C2008 04 15.35202 18 03 56.27 +30 36 32.9          17.9 Rry6830H45
     K08E69C  C2008 04 15.35425 18 03 56.79 +30 36 33.2          17.9 Rry6830H45
     K08E69C  C2008 04 17.31996 18 11 34.79 +30 39 03.9          17.8 Rry6830H45
     K08E69C  C2008 04 17.32111 18 11 35.03 +30 39 03.9          17.8 Rry6830H45
     K08E69C  C2008 04 17.32319 18 11 35.53 +30 39 04.0          17.9 Rry6830H45
     K08E69C  C2008 04 17.32414 18 11 35.73 +30 39 04.0          17.7 Rry6830H45
     K08E69C  C2008 04 17.32720 18 11 36.47 +30 39 04.5          17.8 Rry6830H45
     K08E69C  C2008 04 17.32797 18 11 36.61 +30 39 04.6          17.7 Rry6830H45
     K08E69C  C2008 04 18.47219 18 16 08.97 +30 39 16.7          17.5 Rry7639448
     K08E69C  C2008 04 18.47507 18 16 09.65 +30 39 16.7          17.5 Rry7639448
     K08E69C  C2008 04 18.47795 18 16 10.32 +30 39 16.7          17.8 Rry7639448
     K08E69C  C2008 04 18.48514 18 16 12.00 +30 39 16.6          17.7 Rry7639448
     K08E69C  C2008 04 19.36825 18 19 46.74 +30 38 39.6          17.7 Rry7639H45
     K08E69C  C2008 04 19.37065 18 19 47.30 +30 38 39.4          17.9 Rry7639H45
     K08E69C  C2008 04 19.37247 18 19 47.74 +30 38 39.4          17.6 Rry7639H45
     K08E69C  C2008 04 19.37446 18 19 48.21 +30 38 39.4          17.8 Rry7639H45
     K08E69C  C2008 04 19.37518 18 19 48.38 +30 38 39.0          17.7 Rry7639H45
     K08E69C  C2008 04 19.37678 18 19 48.80 +30 38 39.4          18.0 Rry7639H45
     K08E69C  C2008 04 19.38163 18 19 49.88 +30 38 39.2          17.6 Rry7639H45
     K08E69C  C2008 04 22.37983 18 32 20.85 +30 31 38.2          17.4 Rry7783H45
     K08E69C  C2008 04 22.38177 18 32 21.33 +30 31 38.0          17.4 Rry7783H45
     K08E69C  C2008 04 22.38259 18 32 21.54 +30 31 38.0          17.4 Rry7783H45
     K08E69C  C2008 04 22.38554 18 32 22.27 +30 31 37.4          17.4 Rry7783H45
     K08E69C  C2008 04 22.39122 18 32 23.71 +30 31 36.2          17.5 Rry7783H45
     K08E69C  C2008 04 22.39316 18 32 24.16 +30 31 35.6          17.4 Rry7783H45
     K08E69C  C2008 04 25.00539 18 43 50.89 +30 18 21.6          17.6 Rry7783473
     K08E69C  C2008 04 25.00948 18 43 51.97 +30 18 20.2          17.6 Rry7783473
     K08E69C  C2008 04 25.01651 18 43 53.83 +30 18 17.6          17.4 Rry7783473
     K08E69C  C2008 04 25.99395 18 48 18.99 +30 11 28.8                oy9024B66
     K08E69C  C2008 04 26.03612 18 48 30.35 +30 11 11.8                cy9024B66
     K08E69C  C2008 04 27.07342918 53 16.67 +30 02 41.9          17.6 Voy8202198
     K08E69C  C2008 04 27.07402718 53 16.83 +30 02 41.6          17.6 Voy8202198
     K08E69C  C2008 04 27.08238518 53 19.11 +30 02 37.4          17.7 Voy8202198
     K08E69C  C2008 04 27.08417718 53 19.60 +30 02 36.5          17.6 Voy8202198
     K08E69C  C2008 04 27.08477418 53 19.77 +30 02 36.2          17.6 Voy8202198
     K08E69C  C2008 04 29.34017 19 04 01.99 +29 39 34.0          17.2 Rry8202H45
     K08E69C  C2008 04 29.34108 19 04 02.25 +29 39 33.5          17.3 Rry8202H45
     K08E69C  C2008 04 29.34270 19 04 02.70 +29 39 32.3          17.3 Rry8202H45
     K08E69C  C2008 04 29.34407 19 04 03.11 +29 39 31.5          17.3 Rry8202H45
     K08E69C  C2008 04 29.34524 19 04 03.42 +29 39 30.6          17.3 Rry8202H45
     K08E69C  C2008 04 29.34633 19 04 03.74 +29 39 29.7          17.3 Rry8202H45
     K08E69C  C2008 04 30.33242 19 08 52.88 +29 27 15.0          17.7 Rry8202H45
     K08E69C  C2008 04 30.33329 19 08 53.13 +29 27 14.5          17.7 Rry8202H45
     K08E69C  C2008 04 30.33418 19 08 53.40 +29 27 13.9          17.5 Rry8202H45
     K08E69C  C2008 04 30.33601 19 08 53.92 +29 27 12.5          17.7 Rry8202H45
     K08E69C  C2008 04 30.33678 19 08 54.15 +29 27 12.0          17.6 Rry8202H45
     K08E69C  C2008 05 01.11933 19 12 46.91 +29 16 27.9                ry8202B19
     K08E69C  C2008 05 01.12209 19 12 47.73 +29 16 26.5                ry8202B19
     K08E69C  C2008 05 01.12482 19 12 48.48 +29 16 23.4                ry8202B19
     K08E69C  C2008 05 01.94960 19 16 58.63 +29 04 01.2                cy9024B66
     K08E69C  C2008 05 02.00168 19 17 14.32 +29 03 14.7                cy9024B66
     K08E69C  C2008 05 03.03040 19 22 30.87 +28 46 20.6          17.1 Rry9024B67
     K08E69C  C2008 05 03.03456 19 22 32.14 +28 46 16.3          16.9 Rry9024B67
     K08E69C  C2008 05 03.03836 19 22 33.30 +28 46 12.6          17.3 Rry9024B67
     K08E69C cC2008 05 04.05425 19 27 51.90 +28 27 49.2          17.2 Rry9024204
     K08E69C cC2008 05 04.05645 19 27 52.55 +28 27 46.8                ry9024204
     K08E69C cC2008 05 04.05848 19 27 53.21 +28 27 44.5                ry9024204
     K08E69C cC2008 05 04.09518 19 28 04.58 +28 27 03.8          17.4 Rry9024204
     K08E69C cC2008 05 04.09674 19 28 05.11 +28 27 02.1                ry9024204
     K08E69C  C2008 05 10.97152 20 06 44.40 +25 30 45.9          19.0 Voy9840151
     K08E69C  C2008 05 10.97269 20 06 44.81 +25 30 43.6          18.9 Voy9840151
     K08E69C  C2008 05 10.97385 20 06 45.23 +25 30 41.1          18.8 Voy9840151
     K08E69C  C2008 05 10.97467 20 06 45.52 +25 30 39.7          19.0 Voy9840151
     K08E69C  C2008 05 10.97619 20 06 46.09 +25 30 36.9          18.9 Voy9840151
     K08E69C  C2008 05 10.97701 20 06 46.37 +25 30 35.0          18.9 Voy9840151
     K08E69C  C2008 05 10.97817 20 06 46.77 +25 30 32.4          18.8 Voy9840151
     K08E69C  C2008 05 12.35458 20 15 05.10 +24 43 14.0          17.4 Rry9840H45
     K08E69C  C2008 05 12.35542 20 15 05.40 +24 43 12.1          17.4 Rry9840H45
     K08E69C  C2008 05 12.35626 20 15 05.70 +24 43 10.2          17.5 Rry9840H45
     K08E69C  C2008 05 12.35767 20 15 06.21 +24 43 07.5          17.4 Rry9840H45
     K08E69C  C2008 05 12.35844 20 15 06.46 +24 43 06.2          17.5 Rry9840H45
     K08E69C  C2008 05 12.35935 20 15 06.81 +24 43 03.6          17.5 Rry9840H45
     K08E69C  C2008 05 13.00918 20 19 06.23 +24 18 57.6          16.9 Rry9840113
     K08E69C  C2008 05 13.01000 20 19 06.47 +24 18 55.9          17.1 Rry9840113
     K08E69C  C2008 05 13.01659 20 19 08.91 +24 18 40.8          17.5 Rry9840113
     K08E69C  C2008 05 13.01740 20 19 09.24 +24 18 39.2          17.5 Rry9840113
     K08E69C  C2008 05 13.01821 20 19 09.51 +24 18 37.5          17.6 Rry9840113
     K08E69C  C2008 05 16.34565 20 40 13.58 +21 59 28.6          17.1 Rry9840H51
     K08E69C  C2008 05 16.34633 20 40 13.85 +21 59 26.4          16.8 Rry9840H51
     K08E69C  C2008 05 16.34770 20 40 14.34 +21 59 23.1          17.5 Rry9840H51
     K08E69C  C2008 05 16.34838 20 40 14.63 +21 59 21.3          17.4 Rry9840H51
     K08E69C  C2008 05 16.34906 20 40 14.88 +21 59 19.3          17.2 Rry9840H51
     K08E69C  C2008 05 16.34973 20 40 15.14 +21 59 17.6          17.2 Rry9840H51
     K08E69C  C2008 05 16.35042 20 40 15.40 +21 59 15.8          17.3 Rry9840H51
     K08E69C  C2008 05 16.35110 20 40 15.65 +21 59 13.8          17.3 Rry9840H51
     K08E69C  C2008 05 16.35178 20 40 15.91 +21 59 11.8          17.2 Rry9840H51
