     K08E84W* C2008 03 12.23466 09 33 51.86 +12 51 46.8          21.1 Vry3631G96
     K08E84W  C2008 03 12.24249 09 33 48.09 +12 52 24.8          21.1 Vry3631G96
     K08E84W  C2008 03 12.25031 09 33 44.41 +12 53 02.4          21.3 Vry3631G96
     K08E84W  C2008 03 12.25813 09 33 40.64 +12 53 40.0                ry3631G96
     K08E84W  C2008 03 13.20740 09 26 05.64 +14 14 41.8          21.1 Vry3631G96
     K08E84W  C2008 03 13.20802 09 26 05.24 +14 14 46.0          22.1 Vry3631G96
     K08E84W  C2008 03 13.20856 09 26 04.95 +14 14 48.9          20.5 Vry3631G96
     K08E84W  C2008 03 13.20910 09 26 04.66 +14 14 51.0          20.4 Vry3631G96
     K08E84W  C2008 03 13.21469 09 26 01.64 +14 15 22.6          22.3 Vry3631G96
     K08E84W  C2008 03 13.21535 09 26 01.21 +14 15 25.0          20.3 Vry3631G96
     K08E84W  C2008 03 13.21600 09 26 00.99 +14 15 28.5          21.9 Vry3631G96
     K08E84W  C2008 03 13.21664 09 26 00.63 +14 15 32.5          20.9 Vry3631G96
     K08E84W  C2008 03 14.21933 09 16 49.04 +15 51 28.4          21.0 Vry3631G96
     K08E84W  C2008 03 14.22531 09 16 45.30 +15 52 05.0          21.0 Vry3631G96
     K08E84W  C2008 03 14.23129 09 16 41.59 +15 52 41.5          21.1 Vry3631G96
     K08E84W  C2008 03 14.24612 09 16 32.30 +15 54 11.8          20.9 Vry3631G96
