     K08E07Z* C2008 03 07.48916 06 27 32.79 -22 36 44.9          18.4 Vry2318E12
     K08E07Z  C2008 03 07.49568 06 27 39.38 -22 36 38.6          18.3 Vry2318E12
     K08E07Z  C2008 03 07.50220 06 27 45.93 -22 36 31.5          18.7 Vry2318E12
     K08E07Z  C2008 03 07.50875 06 27 52.77 -22 36 23.5          18.2 Vry2318E12
     K08E07Z  C2008 03 07.51845 06 28 03.05 -22 36 10.8          18.3 Vry2318E12
     K08E07Z  C2008 03 07.51887 06 28 03.50 -22 36 10.0          18.5 Vry2318E12
     K08E07Z  C2008 03 07.53928 06 28 26.32 -22 35 39.1          18.8 Vry2318E12
     K08E07Z  C2008 03 07.53970 06 28 26.83 -22 35 39.1          18.1 Vry2318E12
     K08E07Z  C2008 03 07.54012 06 28 27.26 -22 35 38.1          18.7 Vry2318E12
     K08E07Z  C2008 03 07.54052 06 28 27.76 -22 35 37.5          18.2 Vry2318E12
     K08E07Z  C2008 03 07.54094 06 28 28.23 -22 35 36.2          18.4 Vry2318E12
     K08E07Z  C2008 03 07.57759 06 29 13.44 -22 34 27.3          17.9 Vry2318E12
     K08E07Z  C2008 03 07.58131 06 29 18.31 -22 34 18.9          18.7 Vry2318E12
     K08E07Z  C2008 03 07.58505 06 29 23.32 -22 34 11.4          17.1 Vry2318E12
     K08E07Z  C2008 03 07.61600 06 30 07.16 -22 33 00.5          17.7 Vry2318E12
     K08E07Z  C2008 03 07.61641 06 30 07.70 -22 32 59.8          18.8 Vry2318E12
     K08E07Z  C2008 03 07.61683 06 30 08.46 -22 32 59.5          18.1 Vry2318E12
     K08E07Z bC2008 03 07.88961 06 40 05.69 -23 08 07.2                ry2318J95
     K08E07Z bC2008 03 07.89282 06 40 12.22 -23 08 07.4          17.0 Rry2318J95
     K08E07Z  C2008 03 07.89416 06 40 14.96 -23 08 07.0          17.3 Rry2318J95
     K08E07Z bC2008 03 07.90635 06 40 40.50 -23 08 11.9          17.3 Rry2318J95
     K08E07Z IC2008 03 08.12076 06 52 13.16 -23 08 49.0                cy2318711
     K08E07Z  C2008 03 08.12321 06 52 20.61 -23 08 50.9          18.2 Rcy2318711
     K08E07Z  C2008 03 08.12567 06 52 28.08 -23 08 51.8                cy2318711
     K08E07Z IC2008 03 08.12826 06 52 35.86 -23 08 53.1                cy2318711
     K08E07Z IC2008 03 08.13070 06 52 43.44 -23 08 53.0                cy2318711
     K08E07Z  C2008 03 08.17032 06 55 06.31 -23 09 44.7          17.4 Vry2318703
     K08E07Z  C2008 03 08.17056 06 55 07.08 -23 09 44.8          17.1 Vry2318703
     K08E07Z  C2008 03 08.17080 06 55 07.96 -23 09 45.0                ry2318703
     K08E07Z  C2008 03 08.17106 06 55 08.78 -23 09 44.6          17.1 Vry2318703
     K08E07Z  C2008 03 08.19379 06 56 27.66 -23 09 13.0          17.0 Rcy2318651
     K08E07Z  C2008 03 08.19513 06 56 32.36 -23 09 11.7          17.1 Rcy2318651
     K08E07Z  C2008 03 08.19600 06 56 35.53 -23 09 10.6          17.1 Rcy2318651
     K08E07Z  C2008 03 08.35397007 11 26.88 -22 19 36.2          16.8 Roy2318474
