     K08K05Z* C2008 05 29.22802 16 23 31.01 +04 06 01.4          20.1 Voz0620691
     K08K05Z  C2008 05 29.24561 16 23 29.48 +04 06 14.8          20.2 Voz0620691
     K08K05Z  C2008 05 29.26318 16 23 28.05 +04 06 28.1          19.7 Voz0620691
     K08K05Z  C2008 05 29.30908916 23 23.51 +04 07 00.8          20.0 Voz0620H55
     K08K05Z  C2008 05 29.31490016 23 23.04 +04 07 05.3          19.9 Voz0620H55
     K08K05Z  C2008 05 29.32070616 23 22.53 +04 07 09.6          20.3 Voz0620H55
     K08K05Z 4C2008 05 29.35602 16 23 20.58 +04 07 41.8          19.3 Roz0620F65
     K08K05Z  C2008 05 29.35916 16 23 19.48 +04 07 40.7                oz0620291
     K08K05Z 4C2008 05 29.36247 16 23 20.02 +04 07 46.6          19.4 Roz0620F65
     K08K05Z  C2008 05 29.36294 16 23 19.15 +04 07 43.4                oz0620291
     K08K05Z  C2008 05 29.36672 16 23 18.81 +04 07 46.4                oz0620291
     K08K05Z 4C2008 05 29.36884 16 23 19.46 +04 07 51.5          19.5 Roz0620F65
     K08K05Z  C2008 05 29.37515 16 23 18.10 +04 07 51.6          19.9 Rcz0620854
     K08K05Z  C2008 05 29.38951 16 23 16.86 +04 08 04.1          19.9 Rcz0620854
     K08K05Z  C2008 05 29.42617 16 23 13.62 +04 08 30.9                oz0620291
     K08K05Z  C2008 05 29.42991 16 23 13.27 +04 08 34.0                oz0620291
     K08K05Z  C2008 05 29.43369 16 23 12.96 +04 08 36.7                oz0620291
     K08K05Z  C2008 05 30.27338316 22 03.90 +04 19 02.4          20.5 Voz0620H55
     K08K05Z  C2008 05 30.27977416 22 03.31 +04 19 07.1          19.8 Voz0620H55
     K08K05Z  C2008 05 30.28611116 22 02.79 +04 19 11.6          20.1 Voz0620H55
     K08K05Z  C2008 05 30.29012 16 22 02.90 +04 19 14.1                rz1053701
     K08K05Z  C2008 05 30.31233 16 22 00.75 +04 19 32.9                rz1053701
     K08K05Z  C2008 05 30.32922 16 21 59.25 +04 19 45.4          20.0 Vrz0620G96
     K08K05Z 4C2008 05 30.33514 16 21 59.58 +04 19 53.2          19.7 Roz0620F65
     K08K05Z  C2008 05 30.33671 16 21 58.57 +04 19 50.9          20.0 Vrz0620G96
     K08K05Z 4C2008 05 30.34146 16 21 59.01 +04 19 57.8          19.9 Roz0620F65
     K08K05Z  C2008 05 30.34414 16 21 57.92 +04 19 56.3          20.1 Vrz0620G96
     K08K05Z 4C2008 05 30.34737 16 21 58.48 +04 20 02.3          19.7 Roz0620F65
     K08K05Z  C2008 05 30.35164 16 21 57.24 +04 20 02.0          20.0 Vrz0620G96
     K08K05Z  C2008 05 30.35676 16 21 56.72 +04 20 06.2                rz1053701
     K08K05Z  C2008 05 30.36905 16 21 55.66 +04 20 14.1          20.0 Rrz1053682
     K08K05Z  C2008 05 30.37902 16 21 54.69 +04 20 21.9                rz1053701
     K08K05Z  C2008 05 30.41311 16 21 51.81 +04 20 46.3          20.0 Rrz1053682
     K08K05Z  C2008 05 30.41477 16 21 51.53 +04 20 47.9          20.1 Voz0620291
     K08K05Z  C2008 05 30.41846 16 21 51.25 +04 20 51.3          20.4 Voz0620291
     K08K05Z  C2008 05 30.42214 16 21 50.91 +04 20 53.9          20.3 Voz0620291
     K08K05Z  C2008 05 30.51782 16 21 43.62 +04 22 26.6          19.6 Roz0620474
     K08K05Z  C2008 05 30.52280 16 21 43.17 +04 22 30.3          19.4 Roz0620474
     K08K05Z  C2008 05 30.52801 16 21 42.71 +04 22 34.3          19.1 Roz0620474
     K08K05Z  C2008 05 30.99223 16 21 03.46 +04 27 45.6                rz1053J95
     K08K05Z  C2008 05 31.00379 16 21 02.42 +04 27 53.9                rz1053J95
     K08K05Z  C2008 05 31.01534 16 21 01.35 +04 28 01.7          20.4 Rrz1053J95
     K08K05Z  C2008 05 31.33587 16 20 33.86 +04 31 58.0          20.0 Vrz1053G96
     K08K05Z  C2008 05 31.34420 16 20 33.10 +04 32 03.9          20.1 Vrz1053G96
     K08K05Z  C2008 05 31.35249 16 20 32.35 +04 32 09.8          20.0 Vrz1053G96
     K08K05Z  C2008 05 31.36076 16 20 31.59 +04 32 15.7          19.9 Vrz1053G96
     K08K05Z 4C2008 05 31.37164 16 20 31.43 +04 32 27.7          19.4 Roz1053F65
     K08K05Z 4C2008 05 31.38225 16 20 30.45 +04 32 35.3          19.5 Roz1053F65
     K08K05Z 4C2008 05 31.39115 16 20 29.63 +04 32 41.6          19.4 Roz1053F65
     K08K05Z  C2008 05 31.91115 16 19 44.81 +04 38 43.7          20.1 Voz1053151
     K08K05Z  C2008 05 31.91721 16 19 44.23 +04 38 48.5          20.3 Voz1053151
     K08K05Z  C2008 06 01.36738 16 19 04.27 +04 44 07.0          20.0 Voz1053291
     K08K05Z  C2008 06 01.37121 16 19 03.97 +04 44 10.1          20.4 Voz1053291
     K08K05Z  C2008 06 01.37488 16 19 03.64 +04 44 12.7          20.4 Voz1053291
     K08K05Z  C2008 06 02.20190016 17 51.39 +04 53 38.2          20.2 Voz1053H55
     K08K05Z  C2008 06 02.20605316 17 50.99 +04 53 41.2          20.3 Voz1053H55
     K08K05Z  C2008 06 02.21072716 17 50.56 +04 53 44.1          20.0 Voz1053H55
     K08K05Z  C2008 06 02.40100 16 17 32.86 +04 55 52.9          20.1 Voz1053291
     K08K05Z  C2008 06 02.40465 16 17 32.50 +04 55 56.6          20.3 Voz1053291
     K08K05Z  C2008 06 02.40948 16 17 32.03 +04 55 59.8          20.3 Voz1053291
     K08K05Z  C2008 06 03.29029 16 16 13.66 +05 05 42.9          20.1 Voz1053291
     K08K05Z  C2008 06 03.29413 16 16 13.29 +05 05 44.8          20.4 Voz1053291
     K08K05Z  C2008 06 03.29789 16 16 12.90 +05 05 47.1          20.4 Voz1053291
     K08K05Z  C2008 06 04.17430 16 14 53.87 +05 15 06.5          20.5 Voz1053291
     K08K05Z  C2008 06 04.17809 16 14 53.49 +05 15 09.0          20.5 Voz1053291
     K08K05Z  C2008 06 06.31302 16 11 34.15 +05 36 26.4          19.9 Voz1053291
     K08K05Z  C2008 06 06.31679 16 11 33.88 +05 36 28.0          19.9 Voz1053291
     K08K05Z  C2008 06 06.32055 16 11 33.47 +05 36 29.7          20.3 Voz1053291
     K08K05Z 4C2008 06 06.36429 16 11 29.95 +05 36 58.2          19.6 Roz1053F65
     K08K05Z 4C2008 06 06.37325 16 11 29.03 +05 37 03.3          19.7 Roz1053F65
     K08K05Z 4C2008 06 06.38204 16 11 28.15 +05 37 08.2          19.6 Roz1053F65
     K08K05Z  C2008 06 07.26495 16 10 04.50 +05 45 12.3          19.9 Rrz1447448
     K08K05Z  C2008 06 07.28550 16 10 02.40 +05 45 23.7          19.7 Rrz1447448
     K08K05Z  C2008 06 07.30654 16 10 00.25 +05 45 35.0          19.9 Rrz1447448
     K08K05Z  C2008 06 08.20067616 08 35.45 +05 53 22.3          20.0 Voz1447H55
     K08K05Z  C2008 06 08.20560416 08 34.96 +05 53 24.8          20.1 Voz1447H55
     K08K05Z  C2008 06 08.21351316 08 34.14 +05 53 28.9          20.0 Voz1447H55
     K08K05Z  C2008 06 09.31871 16 06 47.79 +06 02 36.0          20.2 Voz1447291
     K08K05Z  C2008 06 09.32241 16 06 47.41 +06 02 37.6          20.2 Voz1447291
     K08K05Z  C2008 06 09.32690 16 06 46.97 +06 02 39.6          20.2 Voz1447291
     K08K05Z  C2008 06 10.38314 16 05 04.70 +06 10 42.8          20.5 Voz1447291
     K08K05Z  C2008 06 10.38691 16 05 04.32 +06 10 44.8          20.4 Voz1447291
     K08K05Z  C2008 06 10.39074 16 05 03.94 +06 10 46.3          20.4 Voz1447291
     K08K05Z  C2008 06 11.21147216 03 45.23 +06 16 34.2          20.4 Voz1447H55
     K08K05Z  C2008 06 11.21678716 03 44.69 +06 16 36.5          20.3 Voz1447H55
     K08K05Z  C2008 06 11.22307716 03 44.02 +06 16 39.1          20.3 Voz1447H55
     K08K05Z  C2008 06 11.27004 16 03 39.60 +06 17 00.5          19.8 Voz1447291
     K08K05Z  C2008 06 11.27662 16 03 38.91 +06 17 03.5          20.5 Voz1447291
     K08K05Z  C2008 06 11.28045 16 03 38.52 +06 17 05.0          20.5 Voz1447291
     K08K05Z  C2008 06 12.29192 16 02 00.34 +06 23 41.6          20.6 Voz1447291
     K08K05Z  C2008 06 12.29582 16 01 59.94 +06 23 43.4          20.5 Voz1447291
     K08K05Z  C2008 06 12.31412 16 01 58.00 +06 23 50.0          20.3 Voz1447291
     K08K05Z  C2008 06 13.14087916 00 38.55 +06 28 45.7          20.0 Voz1654H55
     K08K05Z  C2008 06 13.14476016 00 38.19 +06 28 47.1          19.9 Voz1654H55
     K08K05Z  C2008 06 13.14896316 00 37.72 +06 28 47.5          20.0 Voz1654H55
     K08K05Z  C2008 06 17.20165815 54 06.69 +06 47 00.6          20.1 Voz1698H55
     K08K05Z  C2008 06 17.20675615 54 06.14 +06 47 01.3          20.1 Voz1698H55
     K08K05Z  C2008 06 17.21179315 54 05.68 +06 47 02.7          20.2 Voz1698H55
     K08K05Z  C2008 06 17.21719015 54 05.09 +06 47 03.5          20.1 Voz1698H55
     K08K05Z  C2008 06 18.12782215 52 39.18 +06 49 42.9          19.7 Voz1698H55
     K08K05Z  C2008 06 18.13407415 52 38.53 +06 49 43.6          19.8 Voz1698H55
     K08K05Z  C2008 06 18.14032815 52 37.90 +06 49 44.4          19.7 Voz1698H55
     K08K05Z  C2008 06 19.15149015 51 02.54 +06 52 00.8                oz1698H55
     K08K05Z  C2008 06 19.15787515 51 01.93 +06 52 03.3                oz1698H55
     K08K05Z  C2008 06 21.21187615 47 51.28 +06 54 36.9          19.5 Voz1698H55
     K08K05Z  C2008 06 21.21464715 47 50.99 +06 54 36.7          20.1 Voz1698H55
     K08K05Z  C2008 06 21.21893015 47 50.59 +06 54 36.4          19.3 Voz1698H55
     K08K05Z  C2008 06 26.19361415 40 34.56 +06 48 47.0          19.7 Voz2099H55
     K08K05Z  C2008 06 27.22842215 39 08.94 +06 45 23.3          20.1 Voz2099H55
     K08K05Z  C2008 06 27.23409215 39 08.45 +06 45 22.2          20.1 Voz2099H55
     K08K05Z  C2008 06 27.24030015 39 07.92 +06 45 20.4          20.4 Voz2099H55
     K08K05Z  C2008 06 29.13516015 36 38.35 +06 37 09.9          20.3 Voz2099H55
     K08K05Z  C2008 06 29.13944615 36 37.99 +06 37 08.6          20.2 Voz2099H55
     K08K05Z  C2008 06 29.14415815 36 37.59 +06 37 07.3          20.1 Voz2099H55
     K08K05Z  C2008 06 29.97076 15 35 34.18 +06 32 40.3                rz2099J95
     K08K05Z  C2008 06 29.97649 15 35 33.75 +06 32 37.9                rz2099J95
     K08K05Z  C2008 06 29.98218 15 35 33.31 +06 32 35.9          20.0 Rrz2099J95
     K08K05Z  C2008 07 01.14784015 34 07.68 +06 25 39.8          19.4 Voz2099H55
     K08K05Z  C2008 07 01.15120515 34 07.40 +06 25 38.7          19.3 Voz2099H55
     K08K05Z  C2008 07 01.15457015 34 07.12 +06 25 37.3          19.4 Voz2099H55
     K08K05Z  C2008 07 11.15705 15 24 24.56 +04 46 18.5          19.9 Voz2702H55
     K08K05Z  C2008 07 11.16093 15 24 24.40 +04 46 15.3          19.8 Voz2702H55
     K08K05Z  C2008 07 11.16480 15 24 24.26 +04 46 12.0          20.0 Voz2702H55
     K08K05Z  C2008 07 14.09729 15 22 32.11 +04 04 11.8          19.7 Voz2702H55
     K08K05Z  C2008 07 14.10391 15 22 31.84 +04 04 06.5          19.9 Voz2702H55
     K08K05Z  C2008 07 14.10785 15 22 31.67 +04 04 02.7          20.0 Voz2702H55
     K08K05Z  C2008 07 14.11345 15 22 31.43 +04 03 57.5          19.7 Voz2702H55
     K08K05Z  C2008 07 15.17019 15 21 57.14 +03 47 24.1          20.2 Voz2843H55
     K08K05Z  C2008 07 15.17611 15 21 56.89 +03 47 19.2                oz2843H55
     K08K05Z  C2008 07 15.18115 15 21 56.71 +03 47 14.0          19.8 Voz2843H55
     K08K05Z  C2008 07 15.18640 15 21 56.44 +03 47 09.5          19.5 Voz2843H55
     K08K05Z  C2008 07 17.19468 15 21 02.13 +03 13 40.2          19.9 Voz2843H55
     K08K05Z  C2008 07 17.20119 15 21 01.90 +03 13 33.7          19.5 Voz2843H55
     K08K05Z  C2008 07 17.21337 15 21 01.52 +03 13 21.1                oz2843H55
     K08K05Z  C2008 07 21.14640 15 19 52.94 +02 00 01.7          19.4 Voz2843H55
     K08K05Z  C2008 07 21.15246 15 19 52.85 +01 59 54.9          19.3 Voz2843H55
     K08K05Z  C2008 07 21.15806 15 19 52.73 +01 59 47.9          19.5 Voz2843H55
     K08K05Z  C2008 07 21.16367 15 19 52.63 +01 59 41.7          19.4 Voz2843H55
     K08K05Z  C2008 07 24.13588 15 19 33.50 +00 57 21.6          20.1 Voz2843H55
     K08K05Z  C2008 07 24.14261 15 19 33.44 +00 57 12.6          20.1 Voz2843H55
     K08K05Z  C2008 07 24.14934 15 19 33.38 +00 57 04.0          20.1 Voz2843H55
     K08K05Z  C2008 08 01.12963 15 21 01.61 -02 21 26.0                oz3631H55
     K08K05Z  C2008 08 01.13428 15 21 01.68 -02 21 33.6          20.0 Voz3631H55
     K08K05Z  C2008 08 01.13892 15 21 01.74 -02 21 41.6          19.6 Voz3631H55
     K08K05Z  C2008 08 01.14356 15 21 01.84 -02 21 50.2          19.8 Voz3631H55
     K08K05Z  C2008 08 03.15557 15 21 56.71 -03 19 34.6          20.7 Voz3631H55
     K08K05Z  C2008 08 03.16022 15 21 56.79 -03 19 42.0          21.1 Voz3631H55
     K08K05Z  C2008 08 03.16486 15 21 56.86 -03 19 50.0          21.0 Voz3631H55
     K08K05Z  C2008 08 14.07373 15 30 48.16 -09 36 35.1          19.7 Voz4366H55
     K08K05Z  C2008 08 14.07694 15 30 48.32 -09 36 42.4          19.4 Voz4366H55
     K08K05Z  C2008 08 14.08011 15 30 48.47 -09 36 50.1          19.5 Voz4366H55
     K08K05Z  C2008 08 18.11758 15 35 48.20 -12 29 01.1          19.6 Voz4613H55
     K08K05Z  C2008 08 18.12456 15 35 48.74 -12 29 19.4          18.6 Voz4613H55
     K08K05Z  C2008 08 18.12890 15 35 49.10 -12 29 33.1          19.8 Voz4613H55
     K08K05Z  C2008 08 31.06615 16 00 17.72 -24 33 43.1          19.8 Voz5251H55
     K08K05Z  C2008 08 31.06853 16 00 18.00 -24 33 52.4          19.5 Voz5251H55
     K08K05Z  C2008 08 31.07488 16 00 18.92 -24 34 17.9          19.2 Voz5251H55
     K08K05Z  C2008 09 26.44863 19 31 38.545-63 07 40.47         18.4 Vrz8034E12
     K08K05Z  C2008 09 26.45043 19 31 40.598-63 07 45.96         18.4 Vrz8034E12
     K08K05Z  C2008 09 29.42034 20 35 49.48 -64 56 45.3          18.2 Vrz8034E12
     K08K05Z  C2008 09 29.43212 20 36 04.82 -64 56 57.8          18.1 Vrz8034E12
     K08K05Z  C2008 09 29.44385 20 36 20.01 -64 57 09.0          18.6 Vrz8034E12
     K08K05Z  C2008 09 29.45560 20 36 35.31 -64 57 20.3          18.4 Vrz8034E12
     K08K05Z  C2008 10 18.18987 00 52 31.43 -47 59 15.8          18.1 Ro~00Ab304
     K08K05Z  C2008 10 18.19494 00 52 32.93 -47 58 53.2          18.5 Ro~00Ab304
     K08K05Z  C2008 10 18.19694 00 52 33.49 -47 58 44.8          18.1 Ro~00Ab304
     K08K05Z  C2008 10 18.19894 00 52 34.08 -47 58 35.7          18.5 Ro~00Ab304
     K08K05Z  C2008 10 18.20094 00 52 34.64 -47 58 27.2          18.2 Ro~00Ab304
     K08K05Z  C2008 10 18.20293 00 52 35.23 -47 58 18.4          18.2 Ro~00Ab304
     K08K05Z  C2008 10 18.20492 00 52 35.81 -47 58 09.6          18.3 Ro~00Ab304
     K08K05Z  C2008 10 18.20692 00 52 36.38 -47 58 00.9          18.3 Ro~00Ab304
     K08K05Z  C2008 10 18.20891 00 52 36.97 -47 57 52.0          18.2 Ro~00Ab304
     K08K05Z  C2008 10 18.21090 00 52 37.54 -47 57 43.2          18.2 Ro~00Ab304
