     K08L16W* C2008 06 15.38141 21 13 15.56 -05 16 26.4          18.6 Vrz1702703
     K08L16W  C2008 06 15.38685 21 13 15.99 -05 16 55.0          18.5 Vrz1702703
     K08L16W  C2008 06 15.39227 21 13 16.39 -05 17 23.2          18.9 Vrz1702703
     K08L16W  C2008 06 15.39771 21 13 16.75 -05 17 51.7          18.7 Vrz1702703
     K08L16W  C2008 06 16.34100 21 14 35.62 -06 43 24.3          19.1 Vrz1702703
     K08L16W  C2008 06 16.34637 21 14 35.91 -06 43 54.4          18.8 Vrz1702703
     K08L16W  C2008 06 16.35177 21 14 36.31 -06 44 23.6          18.7 Vrz1702703
     K08L16W  C2008 06 16.35718 21 14 36.74 -06 44 54.4          18.5 Vrz1702703
     K08L16W  C2008 06 16.39812 21 14 39.66 -06 48 45.1          18.5 Vrz1702703
     K08L16W  C2008 06 16.40316 21 14 40.02 -06 49 10.8          18.5 Vrz1702703
     K08L16W  C2008 06 16.40814 21 14 40.38 -06 49 40.1          18.6 Vrz1702703
     K08L16W  C2008 06 16.41311 21 14 40.74 -06 50 07.9          18.4 Vrz1702703
     K08L16W 6C2008 06 16.59543621 14 55.14 -07 07 06.6          18.0 Roz1702F65
     K08L16W 6C2008 06 16.59631021 14 55.21 -07 07 11.5          18.3 Roz1702F65
     K08L16W 6C2008 06 16.59712021 14 55.26 -07 07 16.2          17.9 Roz1702F65
     K08L16W  C2008 06 17.31231021 15 55.81 -08 16 00.2          18.7 Voz1702H55
     K08L16W  C2008 06 17.31455421 15 55.99 -08 16 13.7          18.7 Voz1702H55
     K08L16W  C2008 06 17.31678921 15 56.18 -08 16 26.3          18.8 Voz1702H55
     K08L16W  C2008 06 17.32095121 15 56.48 -08 16 50.9          19.0 Voz1702H55
     K08L16W  C2008 06 18.26358721 17 15.70 -09 51 09.2          18.8 Voz1702H55
     K08L16W  C2008 06 18.26641821 17 15.83 -09 51 26.8          18.9 Voz1702H55
     K08L16W  C2008 06 18.26913021 17 15.99 -09 51 44.5          18.5 Voz1702H55
     K08L16W  C2008 06 18.27144921 17 16.12 -09 51 58.6          19.0 Voz1702H55
     K08L16W  C2008 06 18.27417221 17 16.25 -09 52 15.1          18.9 Voz1702H55
     K08L16W  C2008 06 18.52114 21 17 36.30 -10 17 09.2          18.6 Vrz1702F85
     K08L16W  C2008 06 18.54019 21 17 37.60 -10 19 08.1          18.4 Vrz1702F85
     K08L16W  C2008 06 19.27515221 18 40.15 -11 37 21.0          18.7 Voz1702H55
     K08L16W  C2008 06 19.27828121 18 40.35 -11 37 41.1          17.5 Voz1702H55
     K08L16W  C2008 06 19.28142221 18 40.62 -11 38 03.3          18.4 Voz1702H55
     K08L16W  C2008 06 19.28490621 18 40.85 -11 38 25.6          18.3 Voz1702H55
     K08L16W  C2008 06 19.28728921 18 40.99 -11 38 41.6          18.8 Voz1702H55
     K08L16W  C2008 06 19.37293 21 18 47.89 -11 47 53.3          18.3 Roz1702H01
     K08L16W  C2008 06 19.37519 21 18 48.03 -11 48 08.2          18.3 Roz1702H01
     K08L16W  C2008 06 19.37831 21 18 48.26 -11 48 28.5          18.4 Roz1702H01
     K08L16W  C2008 06 21.26428221 21 27.73 -15 21 38.6          18.6 Voz1702H55
     K08L16W  C2008 06 21.27011621 21 28.15 -15 22 20.2          18.8 Voz1702H55
     K08L16W  C2008 06 21.27695721 21 28.69 -15 23 08.1          18.7 Voz1702H55
     K08L16W  C2008 06 25.45285 21 27 27.41 -24 19 13.6          18.3 Vrz1702F85
     K08L16W  C2008 06 25.49064 21 27 30.04 -24 24 29.7          18.1 Vrz1702F85
