f4287K08O09B* C2008 07 29.34054 21 06 47.98 +04 56 16.9          20.7 Vrz3154G96
f4287K08O09B  C2008 07 29.34497 21 06 47.66 +04 56 16.5          20.8 Vrz3154G96
f4287K08O09B  C2008 07 29.34938 21 06 47.37 +04 56 16.3          20.9 Vrz3154G96
f4287K08O09B  C2008 07 29.35378 21 06 47.01 +04 56 15.6          20.9 Vrz3154G96
f4287K08O09B  C2008 07 30.24314 21 05 45.56 +04 54 37.6          20.9 Vrz3154G96
f4287K08O09B  C2008 07 30.24802 21 05 45.20 +04 54 37.3          20.6 Vrz3154G96
f4287K08O09B  C2008 07 30.25281 21 05 44.84 +04 54 36.7          20.8 Vrz3154G96
f4287K08O09B  C2008 07 30.25759 21 05 44.52 +04 54 36.6          21.0 Vrz3154G96
f4287K08O09B  C2008 07 31.23795 21 04 35.29 +04 52 33.0          20.0 Vrz3154G96
f4287K08O09B  C2008 07 31.24141 21 04 35.04 +04 52 33.1          20.2 Vrz3154G96
f4287K08O09B  C2008 07 31.24485 21 04 34.75 +04 52 32.3          21.4 Vrz3154G96
f4287K08O09B  C2008 07 31.24830 21 04 34.57 +04 52 32.1          21.7 Vrz3154G96
f4287K08O09B  C2008 08 01.20470 21 03 25.76 +04 50 15.9          21.0 Voz3637H55
f4287K08O09B  C2008 08 01.20975 21 03 25.38 +04 50 15.5                oz3637H55
f4287K08O09B  C2008 08 01.22097 21 03 24.42 +04 50 14.1                oz3637H55
f4287K08O09B  C2008 08 03.18492 21 00 59.99 +04 44 46.1          21.3 Voz3637H55
f4287K08O09B  C2008 08 03.18885 21 00 59.69 +04 44 44.7          20.9 Voz3637H55
f4287K08O09B  C2008 08 03.21214 21 00 57.46 +04 44 33.0          20.8 Voz3637H55
f4287K08O09B  C2008 08 04.21832 20 59 42.09 +04 41 28.2          21.1 Voz3637H55
f4287K08O09B  C2008 08 04.22600 20 59 41.48 +04 41 26.5          20.9 Voz3637H55
f4287K08O09B  C2008 08 04.23882 20 59 40.48 +04 41 24.0          20.6 Voz3637H55
f4287K08O09B  C2008 08 09.17514 20 53 14.50 +04 21 23.4          20.4 Voz4140H55
