     K08O01O* C2008 07 26.55201 22 24 29.80 -07 01 56.8          19.4 Vrz3145E12
     K08O01O  C2008 07 26.56023 22 24 25.16 -07 00 22.2          19.9 Vrz3145E12
     K08O01O  C2008 07 26.56845 22 24 20.59 -06 58 46.9          19.2 Vrz3145E12
     K08O01O  C2008 07 26.57663 22 24 15.94 -06 57 13.3          18.8 Vrz3145E12
     K08O01O  C2008 07 26.71172 22 22 59.90 -06 31 44.7          19.1 Rrz3145E12
     K08O01O  C2008 07 26.80639 22 22 09.15 -06 14 22.1          18.6 Rrz3145E12
     K08O01O  C2008 07 27.17935 22 19 38.13 -05 14 10.4          19.5 Voz3145H55
     K08O01O  C2008 07 27.18313 22 19 36.42 -05 13 33.6          19.5 Voz3145H55
     K08O01O  C2008 07 27.18684 22 19 34.71 -05 12 57.6          19.8 Voz3145H55
     K08O01O  C2008 07 27.63784 22 16 29.79 -04 01 17.0          19.0 Rrz3145E12
     K08O01O  C2008 07 28.00972 22 14 16.74 -03 14 13.1          19.1 Rrz3145473
     K08O01O  C2008 07 28.01944 22 14 12.89 -03 12 56.8          19.0 Rrz3145473
     K08O01O  C2008 07 28.05000 22 14 01.20 -03 09 01.2          19.1 Rrz3145473
     K08O01O  C2008 07 28.05808 22 13 59.89 -03 08 08.6          19.7 Rrz3145J95
     K08O01O  C2008 07 28.05972 22 13 57.51 -03 07 46.5          19.0 Rrz3145473
     K08O01O  C2008 07 28.10058 22 13 43.91 -03 02 45.4                rz3145J95
     K08O01O  C2008 07 28.10351 22 13 42.86 -03 02 22.9                rz3145J95
     K08O01O  C2008 07 28.10644 22 13 41.77 -03 01 59.8          19.8 Rrz3145J95
     K08O01O  C2008 07 28.12634 22 13 34.37 -02 59 30.7          19.9 Rrz3145J95
     K08O01O  C2008 07 28.36088 22 12 21.99 -02 30 19.7          19.5 Vrz3145G96
     K08O01O  C2008 07 28.36563 22 12 20.23 -02 29 46.2          19.7 Vrz3145G96
     K08O01O  C2008 07 28.37042 22 12 18.50 -02 29 12.1          19.8 Vrz3145G96
     K08O01O  C2008 07 28.37521 22 12 16.74 -02 28 38.4          19.9 Vrz3145G96
     K08O01O  C2008 07 28.54650 22 11 29.66 -02 06 15.2          19.9 Rrz3145E12
     K08O01O  C2008 07 28.75769 22 10 17.40 -01 43 07.2          19.7 Rrz3145E12
     K08O01O  C2008 08 01.24718 21 58 25.09 +02 33 40.5                oz3634H55
     K08O01O  C2008 08 01.25124 21 58 24.38 +02 33 54.1          20.7 Voz3634H55
     K08O01O  C2008 08 01.25549 21 58 23.59 +02 34 06.3                oz3634H55
     K08O01O  C2008 08 02.25807 21 56 04.01 +03 20 37.1          20.4 Voz3634H55
     K08O01O  C2008 08 02.26512 21 56 02.86 +03 20 55.3          20.6 Voz3634H55
     K08O01O  C2008 08 02.27152 21 56 01.83 +03 21 10.8                oz3634H55
     K08O01O  C2008 08 02.27749 21 56 00.84 +03 21 26.1                oz3634H55
     K08O01O  C2008 08 03.19371 21 54 12.14 +03 57 02.4          20.7 Voz3635H55
     K08O01O  C2008 08 03.20146 21 54 10.92 +03 57 18.8          20.4 Voz3635H55
     K08O01O  C2008 08 03.20896 21 54 09.88 +03 57 35.3          20.4 Voz3635H55
     K08O01O  C2008 08 03.21595 21 54 08.93 +03 57 50.1          20.4 Voz3635H55
     K08O01O  C2008 08 09.21234 21 45 54.50 +06 13 07.6          21.8 Voz4138H55
     K08O01O  C2008 08 09.22409 21 45 53.62 +06 13 16.9          21.5 Voz4138H55
     K08O01O  C2008 08 09.23622 21 45 52.61 +06 13 27.2          21.9 Voz4138H55
     K08O01O  C2008 08 27.19876 21 37 00.51 +06 57 38.9          23.6 Voz4616H55
     K08O01O  C2008 08 27.23053 21 36 59.91 +06 57 32.9          23.3 Voz4616H55
     K08O01O  C2008 08 27.26171 21 36 59.35 +06 57 27.2          23.5 Voz4616H55
