     K08O08P* C2008 07 30.40248 23 20 17.23 +11 01 59.0          18.3 Vrz3153703
     K08O08P  C2008 07 30.41557 23 20 14.10 +11 01 31.8          19.2 Vrz3153703
     K08O08P  C2008 07 30.42212 23 20 12.80 +11 01 17.5          18.6 Vrz3153703
     K08O08P  C2008 07 30.46078 23 20 05.02 +10 59 55.0          19.3 Vrz3153703
     K08O08P  C2008 07 30.46269 23 20 04.59 +10 59 51.0          19.4 Vrz3153703
     K08O08P  C2008 07 30.46459 23 20 04.23 +10 59 47.1          19.0 Vrz3153703
     K08O08P  C2008 07 30.46650 23 20 03.87 +10 59 43.0          19.3 Vrz3153703
     K08O08P  C2008 07 31.00999 23 18 20.47 +10 40 20.4                rz3153J95
     K08O08P IC2008 07 31.01261 23 18 20.01 +10 40 14.1          19.3 Rrz3153J95
     K08O08P  C2008 07 31.31280 23 17 22.33 +10 29 42.0          19.3 Voz3153H55
     K08O08P  C2008 07 31.31929 23 17 21.03 +10 29 28.6          19.4 Voz3153H55
     K08O08P  C2008 07 31.32596 23 17 19.74 +10 29 14.6          19.6 Voz3153H55
     K08O08P  C2008 07 31.36341 23 17 12.80 +10 27 57.2          19.3 Vrz3153G96
     K08O08P  C2008 07 31.36407 23 17 12.67 +10 27 55.8          19.2 Vrz3153G96
     K08O08P  C2008 07 31.36607 23 17 12.26 +10 27 51.4          19.2 Vrz3153G96
     K08O08P  C2008 07 31.36671 23 17 12.16 +10 27 50.4          19.2 Vrz3153G96
     K08O08P  C2008 07 31.36874 23 17 11.76 +10 27 45.7          19.4 Vrz3153G96
     K08O08P  C2008 07 31.36939 23 17 11.61 +10 27 44.4          19.3 Vrz3153G96
     K08O08P  C2008 07 31.36965 23 17 11.65 +10 27 45.1          20.1 Vrz3153703
     K08O08P  C2008 07 31.37052 23 17 11.32 +10 27 41.8          19.6 Vrz3153703
     K08O08P  C2008 07 31.37139 23 17 11.11 +10 27 40.5          19.5 Vrz3153703
     K08O08P  C2008 07 31.37141 23 17 11.22 +10 27 40.2          19.4 Vrz3153G96
     K08O08P  C2008 07 31.37206 23 17 11.07 +10 27 38.5          19.4 Vrz3153G96
     K08O08P  C2008 07 31.37227 23 17 11.04 +10 27 37.8          19.1 Vrz3153703
     K08O08P  C2008 07 31.97857 23 15 16.23 +10 06 10.5                vz4140204
     K08O08P  C2008 07 31.98302 23 15 15.35 +10 06 01.1          19.4  vz4140204
     K08O08P  C2008 07 31.99583 23 15 12.78 +10 05 33.8          19.2 Voz3637A74
     K08O08P  C2008 08 01.00108 23 15 11.77 +10 05 22.7          19.4 Voz3637A74
     K08O08P  C2008 08 01.00708 23 15 10.61 +10 05 10.3          19.5 Voz3637A74
     K08O08P  C2008 08 01.02281 23 15 07.52 +10 04 36.2          19.3 Voz3637A74
     K08O08P  C2008 08 01.02880 23 15 06.35 +10 04 23.6          19.2 Voz3637A74
     K08O08P  C2008 08 01.37256 23 14 01.02 +09 52 22.9          20.0 Voz3637H55
     K08O08P  C2008 08 01.37520 23 14 00.50 +09 52 17.4          19.7 Voz3637H55
     K08O08P  C2008 08 01.37792 23 13 59.97 +09 52 11.6          19.9 Voz3637H55
     K08O08P  C2008 08 03.28098 23 08 07.28 +08 45 50.6          19.8 Voz3637H55
     K08O08P  C2008 08 03.28354 23 08 06.80 +08 45 45.4          20.3 Voz3637H55
     K08O08P  C2008 08 03.28632 23 08 06.26 +08 45 39.5          19.8 Voz3637H55
     K08O08P  C2008 08 03.28908 23 08 05.75 +08 45 33.8          19.7 Voz3637H55
     K08O08P  C2008 08 03.87021 23 06 20.42 +08 25 24.7          18.7 Vrz3637A13
     K08O08P  C2008 08 03.89406 23 06 15.96 +08 24 36.8          19.5 Vrz3637A13
     K08O08P  C2008 08 03.91907 23 06 11.37 +08 23 45.4          19.1 Vrz3637A13
     K08O08P  C2008 08 06.93216 22 57 17.46 +06 41 35.4          19.4 Voz3637151
     K08O08P  C2008 08 06.93347 22 57 17.32 +06 41 32.2          19.3 Voz3637151
     K08O08P  C2008 08 06.93493 22 57 17.11 +06 41 28.8          19.3 Voz3637151
     K08O08P  C2008 08 06.93639 22 57 16.81 +06 41 26.3          19.2 Voz3637151
     K08O08P  C2008 08 06.93930 22 57 16.33 +06 41 20.3          19.3 Voz3637151
     K08O08P  C2008 08 09.15296922 51 02.08 +05 28 31.5          19.7 Coz4140H55
     K08O08P  C2008 08 09.15620022 51 01.55 +05 28 25.1          19.8 Coz4140H55
     K08O08P  C2008 08 09.16029922 51 00.83 +05 28 17.7          20.1 Coz4140H55
     K08O08P  C2008 08 09.16440622 51 00.13 +05 28 09.5          19.8 Coz4140H55
     K08O08P  C2008 08 11.03920 22 45 54.56 +04 28 09.1          18.7 Rrz4140106
     K08O08P  C2008 08 11.04880 22 45 52.98 +04 27 51.1          19.3 Rrz4140106
     K08O08P  C2008 08 11.05842 22 45 51.37 +04 27 33.1          18.7 Rrz4140106
     K08O08P  C2008 08 11.06801 22 45 49.81 +04 27 15.2          18.5 Rrz4140106
     K08O08P  C2008 08 12.15784 22 42 59.45 +03 53 13.9          19.6 Voz4140H55
     K08O08P  C2008 08 12.15946 22 42 59.18 +03 53 10.4          19.7 Voz4140H55
     K08O08P  C2008 08 12.16433 22 42 58.42 +03 53 00.9          19.8 Voz4140H55
     K08O08P  C2008 08 14.30471 22 37 33.01 +02 47 59.5          20.3 Voz4366H55
     K08O08P  C2008 08 14.30882 22 37 32.38 +02 47 52.2          20.4 Voz4366H55
     K08O08P  C2008 08 18.21294 22 28 24.18 +00 55 58.3          19.4 Voz4617H55
     K08O08P  C2008 08 18.22091 22 28 23.12 +00 55 45.2          19.1 Voz4617H55
     K08O08P  C2008 08 18.22885 22 28 21.98 +00 55 32.4          19.4 Voz4617H55
     K08O08P  C2008 08 19.16962 22 26 18.61 +00 29 57.2          19.2 Voz4617H55
     K08O08P  C2008 08 19.17337 22 26 18.11 +00 29 51.9          19.5 Voz4617H55
     K08O08P  C2008 08 19.17729 22 26 17.58 +00 29 44.9          19.7 Voz4617H55
     K08O08P  C2008 08 20.15757 22 24 12.55 +00 03 41.3          19.2 Voz4617H55
     K08O08P  C2008 08 20.16134 22 24 12.03 +00 03 35.2          20.3 Voz4617H55
     K08O08P  C2008 08 20.16509 22 24 11.47 +00 03 29.8                oz4617H55
     K08O08P  C2008 08 21.87337 22 20 42.17 -00 40 30.8          19.3 Vrz4617A13
     K08O08P  C2008 08 21.89548 22 20 39.48 -00 41 03.8          19.4 Vrz4617A13
     K08O08P  C2008 08 24.12305 22 16 23.68 -01 35 33.2          20.2 Voz4617H55
     K08O08P  C2008 08 24.12574 22 16 23.40 -01 35 36.5          19.5 Voz4617H55
     K08O08P  C2008 08 24.12843 22 16 23.08 -01 35 41.1          20.0 Voz4617H55
     K08O08P  C2008 08 24.13112 22 16 22.80 -01 35 44.3          19.9 Voz4617H55
     K08O08P  C2008 08 27.24638 22 10 56.38 -02 46 36.6          20.6 Voz4617H55
     K08O08P  C2008 08 27.25331 22 10 55.63 -02 46 45.6          20.4 Voz4617H55
     K08O08P  C2008 08 27.26050 22 10 54.94 -02 46 54.9          20.1 Voz4617H55
     K08O08P  C2008 08 30.90175 22 05 21.81 -04 01 53.8                oz5252246
     K08O08P  C2008 08 30.90271 22 05 21.74 -04 01 55.3                oz5252246
     K08O08P  C2008 08 30.90484 22 05 21.56 -04 01 57.7                oz5252246
     K08O08P  C2008 08 30.90645 22 05 21.42 -04 01 59.5                oz5252246
     K08O08P  C2008 08 30.90769 22 05 21.29 -04 02 01.2                oz5252246
     K08O08P  C2008 08 30.90873 22 05 21.14 -04 02 02.5                oz5252246
     K08O08P  C2008 08 30.90987 22 05 21.05 -04 02 02.8                oz5252246
     K08O08P  C2008 09 01.16302 22 03 38.16 -04 25 53.1          20.7 Voz5252H55
     K08O08P  C2008 09 01.16878 22 03 37.65 -04 25 59.0          20.5 Voz5252H55
     K08O08P  C2008 09 01.17490 22 03 37.14 -04 26 06.7          20.8 Voz5252H55
     K08O08P  C2008 09 02.17839 22 02 18.78 -04 44 30.6          20.2 Voz5252H55
     K08O08P  C2008 09 02.19134 22 02 17.80 -04 44 43.6                oz5252H55
     K08O08P  C2008 09 02.20253 22 02 16.92 -04 44 57.7          20.0 Voz5252H55
     K08O08P  C2008 09 10.13040 21 54 06.57 -06 49 18.5          20.9 Voz5931H55
     K08O08P  C2008 09 10.14057 21 54 06.00 -06 49 27.7          21.1 Voz5931H55
     K08O08P  C2008 09 10.15077 21 54 05.45 -06 49 35.4                oz5931H55
     K08O08P  C2008 09 27.14769 21 47 23.70 -09 31 39.6          22.3 Voz8035H55
     K08O08P  C2008 09 27.16250 21 47 23.56 -09 31 46.2          22.1 Voz8035H55
