     K08O08Q* C2008 07 30.40425 23 26 46.14 -03 51 20.7          21.3 Vrz3154G96
     K08O08Q  C2008 07 30.41064 23 26 47.18 -03 51 16.1          20.9 Vrz3154G96
     K08O08Q  C2008 07 30.41705 23 26 48.12 -03 51 12.0          21.1 Vrz3154G96
     K08O08Q  C2008 07 30.42344 23 26 49.09 -03 51 07.9          21.0 Vrz3154G96
     K08O08Q  C2008 07 30.46154 23 26 54.96 -03 50 43.7          20.7 Vrz3154G96
     K08O08Q  C2008 07 30.46808 23 26 55.96 -03 50 39.6          21.2 Vrz3154G96
     K08O08Q  C2008 07 30.47457 23 26 56.90 -03 50 35.8          20.9 Vrz3154G96
     K08O08Q  C2008 07 30.48126 23 26 57.94 -03 50 31.4          21.0 Vrz3154G96
     K08O08Q  C2008 07 31.36610 23 29 23.60 -03 41 16.1          21.5 Rrz3154682
     K08O08Q  C2008 07 31.38284 23 29 26.12 -03 41 04.5          20.2 Vrz3154G96
     K08O08Q  C2008 07 31.38348 23 29 26.19 -03 41 04.3          20.7 Vrz3154G96
     K08O08Q  C2008 07 31.38547 23 29 26.52 -03 41 03.2          20.3 Vrz3154G96
     K08O08Q  C2008 07 31.38612 23 29 26.59 -03 41 02.8          21.4 Vrz3154G96
     K08O08Q  C2008 07 31.38811 23 29 26.90 -03 41 03.0          21.6 Rrz3154682
     K08O08Q  C2008 07 31.38816 23 29 26.91 -03 41 01.5          20.8 Vrz3154G96
     K08O08Q  C2008 07 31.38883 23 29 27.06 -03 41 00.7          21.1 Vrz3154G96
     K08O08Q  C2008 07 31.39082 23 29 27.34 -03 40 59.8          21.4 Vrz3154G96
     K08O08Q  C2008 07 31.39152 23 29 27.42 -03 40 59.0          21.4 Vrz3154G96
     K08O08Q  C2008 08 03.29590 23 37 08.40 -03 12 11.7          21.5 Voz3637H55
     K08O08Q  C2008 08 03.30480 23 37 09.72 -03 12 06.6          21.4 Voz3637H55
     K08O08Q  C2008 08 03.31367 23 37 11.00 -03 12 01.4          21.5 Voz3637H55
     K08O08Q  C2008 08 09.29910223 51 49.44 -02 20 40.4          21.1 Voz4140H55
     K08O08Q  C2008 08 09.30354523 51 50.00 -02 20 38.7          20.8 Voz4140H55
     K08O08Q  C2008 08 09.30842523 51 50.62 -02 20 36.1          21.0 Voz4140H55
     K08O08Q  C2008 08 09.31372323 51 51.32 -02 20 33.9          20.9 Voz4140H55
     K08O08Q  C2008 08 17.34881 00 08 32.98 -01 30 00.1          20.8 Voz4617H55
     K08O08Q  C2008 08 17.36058 00 08 34.19 -01 29 57.4          20.6 Voz4617H55
     K08O08Q  C2008 08 17.37248 00 08 35.35 -01 29 53.8          21.0 Voz4617H55
     K08O08Q  C2008 08 18.34720 00 10 21.78 -01 25 13.9          21.0 Voz4617H55
     K08O08Q  C2008 08 18.36299 00 10 23.28 -01 25 09.0          20.8 Voz4617H55
     K08O08Q  C2008 08 18.37874 00 10 24.84 -01 25 05.8          20.9 Voz4617H55
     K08O08Q  C2008 08 27.35011 00 23 51.61 -00 57 05.4          20.9 Voz4617H55
     K08O08Q  C2008 08 27.35644 00 23 52.02 -00 57 04.2          20.6 Voz4617H55
     K08O08Q  C2008 08 27.36272 00 23 52.52 -00 57 03.3                oz4617H55
     K08O08Q  C2008 09 03.31135 00 30 47.01 -00 51 30.0          21.0 Voz5931691
     K08O08Q  C2008 09 03.32639 00 30 47.55 -00 51 29.3          20.5 Voz5931691
     K08O08Q  C2008 09 03.34144 00 30 48.09 -00 51 29.7          20.7 Voz5931691
     K08O08Q  C2008 09 04.37720 00 31 34.26 -00 51 37.1          20.3 Rcz5252711
     K08O08Q FC2008 09 04.38893 00 31 34.63 -00 51 36.7                cz5252711
     K08O08Q  C2008 09 04.40066 00 31 34.92 -00 51 36.9          20.3 Rcz5252711
     K08O08Q  C2008 09 26.23149 00 37 16.60 -01 16 42.4          21.6 Voz8035H55
     K08O08Q  C2008 09 26.24087 00 37 16.52 -01 16 43.3          21.2 Voz8035H55
     K08O08Q  C2008 09 26.24989 00 37 16.42 -01 16 43.8          21.6 Voz8035H55
     K08O08Q  C2008 10 02.31023 00 36 51.08 -01 20 49.4          21.6 Vrz9329G96
     K08O08Q  C2008 10 02.31764 00 36 51.01 -01 20 49.3          21.7 Vrz9329G96
     K08O08Q  C2008 10 02.32505 00 36 50.86 -01 20 48.9          21.3 Vrz9329G96
     K08O08Q  C2008 10 02.33249 00 36 50.76 -01 20 49.0          20.9 Vrz9329G96
     K08O08Q  C2015 07 23.50174 23 02 44.642-05 30 25.02         21.1 wL~1UayF51
     K08O08Q  C2015 07 23.51390 23 02 46.693-05 30 15.99         21.0 wL~1UayF51
     K08O08Q  C2015 07 23.52600 23 02 48.735-05 30 07.04         21.4 wL~1UayF51
     K08O08Q  C2015 07 23.53809 23 02 50.781-05 29 58.15         21.1 wL~1UayF51
     K08O08Q KC2015 07 24.31831123 05 10.95 -05 20 28.8          21.2 Vu~1UayH21
     K08O08Q KC2015 07 24.32642323 05 12.32 -05 20 22.8          21.5 Vu~1UayH21
     K08O08Q KC2015 07 24.33453223 05 13.70 -05 20 16.9          21.6 Vu~1UayH21
     K08O08Q  C2015 09 23.38391 00 37 41.807-01 13 25.07         20.7 iL~1XuoF51
     K08O08Q  C2015 09 23.39492 00 37 41.712-01 13 25.90         21.0 iL~1XuoF51
     K08O08Q  C2015 09 23.41693 00 37 41.522-01 13 27.48         20.8 iL~1XuoF51
